-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_0(0)_generation_1(16)         0.00%       0.000us         0.00%       0.000us       0.000us      84.542ms       257.85%      84.542ms      21.136ms             4  
                  execute_context_1(79)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      62.701ms       191.24%      62.701ms      62.701ms             1  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_sm...         0.00%       0.000us         0.00%       0.000us       0.000us       7.415ms        22.62%       7.415ms      14.482us           512  
                nvjet_sm90_tst_512x16_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.857ms        11.76%       3.857ms     428.565us             9  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.513ms        10.71%       3.513ms      36.592us            96  
                                               aten::mm         0.09%     625.870us         0.11%     809.310us      53.954us       2.479ms         7.56%       2.479ms     165.248us            15  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_sm...         0.00%       0.000us         0.00%       0.000us       0.000us       2.334ms         7.12%       2.334ms      15.356us           152  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.423ms         4.34%       1.423ms       2.179us           653  
                                            aten::copy_         0.69%       4.866ms         1.63%      11.490ms       4.424us       1.401ms         4.27%       1.454ms       0.560us          2597  
        vllm::qwen_gdn_attention_core_fused_norm_packed         0.02%     156.225us         5.17%      36.494ms       1.521ms       1.209ms         3.69%       1.873ms      78.054us            24  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us       1.098ms         3.35%       1.098ms       6.861us           160  
                nvjet_sm90_tst_256x16_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.050ms         3.20%       1.050ms      34.988us            30  
         nvjet_sm90_tst_64x16_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.018ms         3.11%       1.018ms      15.907us            64  
triton_red_fused__to_copy_abs_add_clamp_cutlass_scal...         0.00%       0.000us         0.00%       0.000us       0.000us     588.150us         1.79%     588.150us       3.795us           155  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     550.109us         1.68%     550.109us       1.060us           519  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     539.228us         1.64%     539.228us      13.481us            40  
                nvjet_sm90_tst_64x16_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     521.948us         1.59%     521.948us      15.351us            34  
