Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),883.98,0.00,2538.32,,,,,,698.48,,1723.00,1746.12,1899.92,664.75
Active Decode Throughput Per User (tokens/sec/user),76.82,0.00,649.08,,,,,,59.86,,133.83,139.86,262.19,58.24
Active Prefill Throughput (tokens/sec),257.55,16.83,1928.39,,,,,,181.45,,308.54,315.62,1928.39,308.63
Active Prefill Throughput Per User (tokens/sec/user),13.59,8.35,135.50,,,,,,13.20,,15.69,16.83,60.26,8.92
Active Total Throughput (tokens/sec),1072.35,70.76,1928.39,,,,,,1106.62,,1588.16,1656.88,1928.39,403.57
Credit-to-Start Latency (ms),0.99,0.76,1.32,63.30,0.76,0.78,0.81,0.85,0.99,1.09,1.19,1.25,1.30,0.15
Decode Duration (ms),3229.08,1358.31,6339.38,206661.36,1634.32,1936.20,2104.36,2322.73,2673.44,4074.76,5325.18,5594.23,6161.02,1241.10
E2E Output Token Throughput (tokens/sec/user),36.71,20.31,138.75,2349.45,22.47,24.80,27.09,30.27,35.79,39.86,43.62,46.94,83.35,14.43
Effective Concurrency,25.35,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.78
Effective Decode Concurrency,10.94,0.00,13.00,,,,,,12.00,,13.00,13.00,13.00,2.89
Effective Decode Throughput (tokens/sec),863.80,0.00,2538.32,,,,,,683.46,,1722.71,1745.60,1899.92,670.25
Effective Decode Throughput Per User (tokens/sec/user),75.07,0.00,649.08,,,,,,58.79,,133.80,139.86,262.19,58.70
Effective Latency (CO-aware) (ms),7485.23,1846.08,12604.09,479054.62,3857.11,5455.08,5869.97,6423.83,7153.02,8457.32,9451.04,10325.53,11458.63,1668.76
Effective Prefill Concurrency,14.41,0.00,32.00,,,,,,19.00,,20.00,22.00,32.00,8.52
Effective Prefill Throughput (tokens/sec),208.38,0.00,1928.39,,,,,,174.05,,301.58,315.30,1928.39,295.49
Effective Prefill Throughput Per User (tokens/sec/user),11.00,0.00,135.50,,,,,,10.68,,15.60,16.09,60.26,9.64
Effective Total Throughput (tokens/sec),1072.19,0.00,1928.39,,,,,,1106.62,,1588.16,1656.88,1928.39,403.76
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,38.41,27.00,61.00,2458.00,27.63,30.00,30.30,33.00,37.50,42.00,46.70,51.55,57.85,6.87
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.87,0.00,10.14,55.73,0.00,0.00,0.00,0.00,0.66,1.46,1.52,1.62,4.84,1.38
HTTP Connection Overhead (ms),0.87,0.00,10.14,55.73,0.00,0.00,0.00,0.00,0.66,1.46,1.52,1.62,4.84,1.38
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),10.00,7.44,15.34,640.08,7.48,7.98,8.13,8.77,9.82,10.81,11.96,13.06,14.62,1.62
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7484.10,1844.89,12602.85,478982.25,3855.93,5453.85,5868.87,6422.56,7152.00,8456.31,9449.81,10324.02,11457.30,1668.72
HTTP Receiving (ms),3229.11,1358.36,6339.43,206663.16,1634.37,1936.25,2104.41,2322.75,2673.44,4074.77,5325.22,5594.28,6161.08,1241.11
HTTP Sending (ms),1.17,0.14,10.53,74.84,0.16,0.18,0.19,0.20,0.98,1.85,1.94,2.06,5.28,1.44
HTTP Total Time (ms),7484.97,1846.31,12612.99,479037.98,3857.35,5455.24,5869.82,6423.70,7152.00,8456.31,9450.83,10325.54,11461.96,1669.24
HTTP Waiting (TTFB) (ms),4253.82,426.04,8186.22,272244.25,462.75,484.45,484.61,3694.66,4411.17,5683.28,6908.17,8006.75,8185.97,2264.13
Input Sequence Length (tokens),61.52,28.00,129.00,3937.00,29.26,34.45,38.60,45.75,59.00,70.00,91.60,101.10,118.92,20.70
Inter Chunk Latency (ms),86.32,17.86,3077.97,206661.36,22.53,50.54,51.74,53.27,54.92,58.30,120.20,124.50,133.65,231.44
Inter Token Latency (ms),12.66,5.33,24.86,810.44,6.41,7.59,8.25,9.11,10.48,15.98,20.88,21.94,24.16,4.87
Output Sequence Length (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),89.62,40.22,187.73,5735.85,41.41,45.58,47.89,62.58,95.38,109.80,121.19,131.77,158.89,29.70
Prefill Throughput Per User (tokens/sec/user),37.39,5.01,232.05,2392.95,5.02,6.13,6.91,9.44,12.26,21.63,119.27,145.32,223.09,54.63
Reasoning Token Count (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
