Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1278.93,0.00,2889.03,,,,,,1476.92,,1908.49,1973.76,2075.27,531.50
Active Decode Throughput Per User (tokens/sec/user),104.98,0.00,765.14,,,,,,121.70,,149.70,153.87,161.25,40.87
Active Prefill Throughput (tokens/sec),305.24,15.27,2593.71,,,,,,299.52,,344.67,356.05,381.93,119.06
Active Prefill Throughput Per User (tokens/sec/user),15.47,11.87,104.29,,,,,,15.22,,17.25,17.99,19.09,3.54
Active Total Throughput (tokens/sec),1578.89,16.54,2593.71,,,,,,1582.28,,1738.60,1792.16,1872.19,142.37
Credit-to-Start Latency (ms),0.78,0.57,1.98,499.31,0.60,0.63,0.65,0.69,0.77,0.84,0.92,0.98,1.07,0.12
Decode Duration (ms),2398.13,1169.62,4666.62,1534802.01,1518.75,1722.01,1827.47,2035.73,2279.85,2618.73,3190.11,3577.08,4092.35,545.03
E2E Output Token Throughput (tokens/sec/user),41.92,28.96,145.48,26830.45,30.96,33.69,35.65,37.86,40.68,43.52,46.20,48.55,103.69,10.23
Effective Concurrency,31.48,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,2.98
Effective Decode Concurrency,12.00,0.00,13.00,,,,,,12.00,,13.00,13.00,13.00,1.18
Effective Decode Throughput (tokens/sec),1276.41,0.00,2889.03,,,,,,1474.18,,1908.49,1973.76,2075.27,534.00
Effective Decode Throughput Per User (tokens/sec/user),104.77,0.00,765.14,,,,,,121.60,,149.70,153.87,161.25,41.10
Effective Latency (CO-aware) (ms),6290.12,1760.56,8840.87,4025678.59,2473.05,5274.12,5541.53,5882.96,6293.08,6762.22,7182.21,7598.48,8270.71,854.66
Effective Prefill Concurrency,19.48,0.00,32.00,,,,,,20.00,,21.00,22.00,23.00,2.87
Effective Prefill Throughput (tokens/sec),302.44,0.00,2593.71,,,,,,299.40,,344.67,356.05,381.93,122.03
Effective Prefill Throughput Per User (tokens/sec/user),15.33,0.00,104.29,,,,,,15.19,,17.23,17.99,19.09,3.82
Effective Total Throughput (tokens/sec),1578.86,0.00,2593.71,,,,,,1582.28,,1738.60,1792.16,1872.19,142.54
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,35.39,23.00,68.00,22650.00,24.00,26.00,28.00,30.00,34.00,38.00,46.10,51.00,58.00,7.51
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.54,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.05
