Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),820.42,0.00,4569.04,,,,,,937.42,,1116.47,1138.67,1306.47,335.56
Active Decode Throughput Per User (tokens/sec/user),292.71,0.00,1523.01,,,,,,322.38,,374.83,389.67,451.45,98.99
Active Prefill Throughput (tokens/sec),202.64,7.82,1551.17,,,,,,199.40,,360.22,468.39,1328.21,178.16
Active Prefill Throughput Per User (tokens/sec/user),8.48,6.04,192.78,,,,,,7.17,,12.21,16.02,42.85,4.91
Active Total Throughput (tokens/sec),1009.90,61.21,1766.78,,,,,,1023.22,,1226.81,1322.19,1573.31,220.98
Credit-to-Start Latency (ms),1.05,0.76,1.53,67.43,0.77,0.81,0.83,0.96,1.01,1.14,1.31,1.33,1.47,0.17
Decode Duration (ms),837.51,553.36,1183.12,53600.42,570.44,602.19,646.15,724.68,835.54,945.53,1024.09,1077.42,1152.30,145.83
E2E Output Token Throughput (tokens/sec/user),50.73,24.37,316.62,3246.70,24.48,24.82,25.15,25.68,26.64,45.60,94.39,134.50,280.56,55.81
Effective Concurrency,24.59,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.89
Effective Decode Concurrency,2.67,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.56
Effective Decode Throughput (tokens/sec),813.51,0.00,4569.04,,,,,,936.08,,1116.03,1138.53,1303.19,342.45
Effective Decode Throughput Per User (tokens/sec/user),290.25,0.00,1523.01,,,,,,322.11,,374.79,389.67,451.45,102.13
Effective Latency (CO-aware) (ms),7707.45,809.54,10505.07,493277.04,921.99,1905.88,2714.32,5616.65,9609.14,9968.67,10179.09,10317.17,10458.05,3008.70
Effective Prefill Concurrency,21.91,0.00,32.00,,,,,,29.00,,30.00,30.00,31.00,9.87
Effective Prefill Throughput (tokens/sec),196.25,0.00,1551.17,,,,,,198.91,,360.22,464.71,1328.21,178.87
Effective Prefill Throughput Per User (tokens/sec/user),8.21,0.00,192.78,,,,,,7.17,,12.15,15.61,42.85,5.05
Effective Total Throughput (tokens/sec),1009.76,0.00,1766.78,,,,,,1023.22,,1226.81,1322.19,1573.31,221.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,37.98,27.00,53.00,2431.00,27.63,30.00,31.00,32.00,37.00,43.00,46.00,47.85,52.37,6.29
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.09,0.00,22.29,69.56,0.00,0.00,0.00,0.00,0.67,1.50,1.61,1.82,9.45,2.78
HTTP Connection Overhead (ms),1.09,0.00,22.29,69.56,0.00,0.00,0.00,0.00,0.67,1.50,1.61,1.82,9.45,2.78
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),10.52,7.80,14.23,673.21,7.95,8.48,8.75,9.10,10.31,11.76,12.47,12.92,14.08,1.54
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7706.26,808.33,10503.71,493200.44,920.73,1904.55,2713.09,5615.19,9608.02,9967.75,10178.20,10316.08,10456.89,3008.81
HTTP Receiving (ms),837.52,553.38,1183.14,53601.04,570.46,602.20,646.16,724.68,835.55,945.54,1024.10,1077.42,1152.30,145.83
HTTP Sending (ms),1.40,0.14,22.66,89.52,0.16,0.18,0.19,0.20,0.99,1.89,2.05,2.27,9.90,2.82
HTTP Total Time (ms),7707.34,809.78,10526.00,493270.01,922.22,1905.99,2714.58,5616.67,9608.95,9967.75,10178.20,10316.08,10465.14,3008.56
HTTP Waiting (TTFB) (ms),6867.34,163.79,9434.42,439509.88,202.98,931.13,2014.25,4702.32,8714.28,9163.91,9284.15,9334.18,9390.52,2998.03
Input Sequence Length (tokens),61.52,28.00,129.00,3937.00,29.26,34.45,38.60,45.75,59.00,70.00,91.60,101.10,118.92,20.70
Inter Chunk Latency (ms),22.64,3.88,69.34,53600.42,13.47,17.92,19.91,20.37,20.65,20.97,22.00,41.69,65.43,9.30
Inter Token Latency (ms),3.28,2.17,4.64,210.20,2.24,2.36,2.53,2.84,3.28,3.71,4.02,4.23,4.52,0.57
Output Sequence Length (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),314.18,215.53,460.82,20107.56,221.39,236.69,249.02,269.69,305.21,351.88,394.70,423.51,447.26,56.88
Prefill Throughput Per User (tokens/sec/user),27.67,3.68,495.40,1770.77,3.69,4.20,4.71,5.77,8.26,13.40,44.27,61.63,379.43,75.20
Request Latency (ms),7706.40,808.54,10503.90,493209.60,920.93,1904.76,2713.29,5615.39,9608.15,9967.83,10178.28,10316.17,10457.02,3008.76
Time to First Output Token (ms),6868.89,165.95,9434.70,439609.18,205.08,933.21,2016.54,4704.42,8714.56,9164.22,9284.45,9334.49,9390.78,2997.63
Time to First Token (ms),6868.89,165.95,9434.70,439609.18,205.08,933.21,2016.54,4704.42,8714.56,9164.22,9284.45,9334.49,9390.78,2997.63
Time to Second Token (ms),21.57,3.88,66.17,1380.18,3.89,11.03,15.67,16.49,16.87,17.68,54.93,60.00,63.22,14.53
Tokens In Flight (tokens),1848.20,0.00,2700.22,,,,,,2110.36,,2416.06,2487.68,2586.56,612.05

Metric,Value
Benchmark Duration (sec),20.06
Input Token Throughput (tokens/sec),196.25
Output Token Throughput (tokens/sec),816.70
Request Count,64.00
Request Throughput (requests/sec),3.19
Total Input Sequence Length (tokens),3937.00
Total Output Sequence Length (tokens),16384.00
Total Output Tokens (tokens),16384.00
Total Token Throughput (tokens/sec),1012.95
