Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),888.66,0.00,147997.48,,,,,,1020.30,,1238.10,1285.67,1398.96,630.06
Active Decode Throughput Per User (tokens/sec/user),315.15,0.00,50962.63,,,,,,348.26,,418.14,431.89,478.11,206.83
Active Prefill Throughput (tokens/sec),211.08,7.15,1654.50,,,,,,208.59,,233.90,242.07,353.89,51.74
Active Prefill Throughput Per User (tokens/sec/user),7.39,6.06,79.83,,,,,,7.17,,8.05,8.48,12.20,1.52
Active Total Throughput (tokens/sec),1097.82,11.21,1747.58,,,,,,1131.30,,1322.85,1361.67,1436.89,204.43
Credit-to-Start Latency (ms),0.81,0.60,1.42,521.23,0.62,0.66,0.69,0.73,0.80,0.87,0.97,1.04,1.20,0.12
Decode Duration (ms),773.69,376.08,1874.63,495164.56,511.45,575.58,599.20,659.26,743.93,845.99,982.73,1090.75,1316.96,166.27
E2E Output Token Throughput (tokens/sec/user),30.93,24.20,367.09,19793.94,25.43,26.27,26.61,27.18,27.85,28.71,29.65,30.99,109.82,24.07
Effective Concurrency,31.26,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,3.84
Effective Decode Concurrency,2.69,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.52
Effective Decode Throughput (tokens/sec),887.51,0.00,147997.48,,,,,,1019.93,,1237.52,1285.61,1398.00,630.46
Effective Decode Throughput Per User (tokens/sec/user),314.75,0.00,50962.63,,,,,,348.20,,418.13,431.88,478.11,207.01
Effective Latency (CO-aware) (ms),8981.56,698.25,10580.73,5748200.18,2338.41,8260.37,8633.65,8917.78,9192.15,9420.87,9620.72,9744.29,10069.47,1147.13
Effective Prefill Concurrency,28.56,0.00,32.00,,,,,,29.00,,30.00,30.00,31.00,3.86
Effective Prefill Throughput (tokens/sec),210.30,0.00,1654.50,,,,,,208.56,,233.81,241.80,353.89,53.21
Effective Prefill Throughput Per User (tokens/sec/user),7.36,0.00,79.83,,,,,,7.17,,8.05,8.48,12.20,1.58
Effective Total Throughput (tokens/sec),1097.81,0.00,1747.58,,,,,,1131.30,,1322.85,1361.67,1436.89,204.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,34.99,22.00,66.00,22395.00,25.00,27.00,28.00,30.00,34.00,38.00,44.00,49.00,57.00,6.87
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
