# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: b71f7f9d0dec
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8271,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8271,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.4694,1.4694,1.4694,0.0000,1.4694,1.4694,1.4694,1.4694,1.4694,1.4694,1.4694,1.4694,1.4694,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_cuda_graph_time_seconds,seconds,24.4028,24.4028,24.4028,0.0000,24.4028,24.4028,24.4028,24.4028,24.4028,24.4028,24.4028,24.4028,24.4028,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.5768,1.5768,1.5768,0.0000,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,1.5768,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_time_seconds,seconds,0.3891,0.3891,0.3891,0.0000,0.3891,0.3891,0.3891,0.3891,0.3891,0.3891,0.3891,0.3891,0.3891,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_time_seconds,seconds,13.5151,13.5151,13.5151,0.0000,13.5151,13.5151,13.5151,13.5151,13.5151,13.5151,13.5151,13.5151,13.5151,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_time_seconds,seconds,45.1361,45.1361,45.1361,0.0000,45.1361,45.1361,45.1361,45.1361,45.1361,45.1361,45.1361,45.1361,45.1361,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:startup_time_seconds,seconds,54.1196,54.1196,54.1196,0.0000,54.1196,54.1196,54.1196,54.1196,54.1196,54.1196,54.1196,54.1196,54.1196,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8271,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8271,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
