Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1091.33,0.00,13429.87,,,,,,1308.60,,1352.71,1364.23,1771.80,479.08
Active Decode Throughput Per User (tokens/sec/user),68.32,0.00,671.49,,,,,,66.41,,78.22,79.97,93.78,13.70
Active Prefill Throughput (tokens/sec),322.43,25.14,5681.31,,,,,,160.45,,173.19,173.19,5681.31,912.28
Active Prefill Throughput Per User (tokens/sec/user),20.84,13.37,301.14,,,,,,14.43,,15.99,15.99,177.54,29.99
Active Total Throughput (tokens/sec),1308.40,63.94,5681.31,,,,,,1478.14,,1491.98,1491.98,5681.31,786.30
Credit-to-Start Latency (ms),5.25,0.97,32.75,335.90,0.98,1.01,1.05,1.09,1.35,9.15,14.01,19.11,25.19,6.62
Decode Duration (ms),3833.06,3271.65,3915.79,245316.06,3271.68,3360.53,3863.73,3864.16,3867.88,3877.28,3877.61,3877.77,3894.16,145.15
E2E Output Token Throughput (tokens/sec/user),49.50,31.48,63.77,3168.18,31.48,31.48,31.48,31.84,62.43,62.81,63.76,63.77,63.77,15.35
Effective Concurrency,23.87,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.94
Effective Decode Concurrency,15.84,0.00,20.00,,,,,,20.00,,20.00,20.00,20.00,7.22
Effective Decode Throughput (tokens/sec),1053.89,0.00,13429.87,,,,,,1306.58,,1351.82,1363.94,1771.80,510.98
Effective Decode Throughput Per User (tokens/sec/user),65.97,0.00,671.49,,,,,,66.36,,78.12,79.88,93.78,18.32
Effective Latency (CO-aware) (ms),5780.57,4015.46,8133.77,369956.36,4015.65,4016.08,4016.61,4079.11,4101.69,8053.86,8133.33,8133.45,8133.67,1952.32
Effective Prefill Concurrency,8.03,0.00,32.00,,,,,,12.00,,12.00,12.00,32.00,6.46
Effective Prefill Throughput (tokens/sec),254.24,0.00,5681.31,,,,,,160.45,,173.19,173.19,5681.31,820.72
Effective Prefill Throughput Per User (tokens/sec/user),16.43,0.00,301.14,,,,,,14.43,,15.99,15.99,177.54,27.96
Effective Total Throughput (tokens/sec),1308.13,0.00,5681.31,,,,,,1478.14,,1491.98,1491.98,5681.31,786.45
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.96,0.00,14.68,61.15,0.00,0.00,0.00,0.00,0.68,1.48,1.57,1.59,6.56,1.88
