Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1317.28,0.00,29757.48,,,,,,1320.23,,1357.85,1372.37,1755.88,458.34
Active Decode Throughput Per User (tokens/sec/user),65.90,0.00,1487.87,,,,,,66.01,,67.89,68.62,87.79,22.88
Active Prefill Throughput (tokens/sec),310.26,11.28,6743.38,,,,,,176.49,,200.29,238.62,3863.04,684.95
Active Prefill Throughput Per User (tokens/sec/user),18.75,11.28,653.21,,,,,,14.71,,16.69,19.89,121.87,20.96
Active Total Throughput (tokens/sec),1571.06,11.28,6743.38,,,,,,1495.18,,1517.48,1556.56,3863.04,440.87
Credit-to-Start Latency (ms),0.98,0.60,2.27,626.30,0.61,0.65,0.67,0.76,0.90,1.12,1.46,1.56,1.74,0.29
Decode Duration (ms),3868.31,3836.73,3913.08,2475717.30,3840.24,3857.70,3860.27,3863.80,3869.73,3873.23,3875.59,3878.29,3883.72,7.99
E2E Output Token Throughput (tokens/sec/user),45.25,31.75,64.42,28957.18,31.76,31.80,31.82,31.88,31.95,63.71,63.90,63.95,64.41,15.73
Effective Concurrency,31.61,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,2.15
Effective Decode Concurrency,19.27,0.00,20.00,,,,,,20.00,,20.00,20.00,20.00,3.74
Effective Decode Throughput (tokens/sec),1270.08,0.00,29757.48,,,,,,1319.00,,1356.93,1371.70,1741.03,512.35
Effective Decode Throughput Per User (tokens/sec/user),63.53,0.00,1487.87,,,,,,65.95,,67.85,68.58,87.05,25.58
Effective Latency (CO-aware) (ms),6347.43,3974.40,8063.07,4062358.01,3975.17,4003.76,4006.78,4019.18,8014.32,8030.69,8045.34,8051.16,8062.51,1980.17
Effective Prefill Concurrency,12.34,0.00,32.00,,,,,,12.00,,12.00,12.00,32.00,4.25
Effective Prefill Throughput (tokens/sec),300.95,0.00,6743.38,,,,,,174.67,,200.29,238.62,3863.04,676.66
Effective Prefill Throughput Per User (tokens/sec/user),18.19,0.00,653.21,,,,,,14.56,,16.69,19.89,120.72,20.89
Effective Total Throughput (tokens/sec),1571.02,0.00,6743.38,,,,,,1495.18,,1517.48,1556.56,3863.04,440.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,163840.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.74,4.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.06
HTTP Connection Overhead (ms),0.01,0.00,0.74,4.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.06
HTTP Connection Reused (ratio),0.99,0.00,1.00,632.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),63.08,62.90,63.34,40372.43,62.94,62.98,63.00,63.03,63.08,63.13,63.16,63.20,63.26,0.07
HTTP Data Sent (KB),0.33,0.17,0.70,210.24,0.18,0.21,0.23,0.26,0.31,0.38,0.45,0.49,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6346.38,3973.54,8061.89,4061683.68,3974.21,4002.97,4005.94,4018.33,8013.39,8029.57,8044.27,8049.90,8061.62,1980.06
HTTP Receiving (ms),3868.31,3836.73,3913.08,2475717.62,3840.24,3857.70,3860.27,3863.80,3869.73,3873.23,3875.59,3878.29,3883.72,7.99
HTTP Sending (ms),0.17,0.12,1.00,107.83,0.13,0.13,0.13,0.14,0.16,0.18,0.19,0.20,0.60,0.07
HTTP Total Time (ms),6346.39,3973.54,8061.89,4061687.70,3974.21,4002.97,4005.94,4018.33,8013.39,8029.57,8044.27,8049.90,8061.62,1980.06
