Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1441.06,0.00,5875.68,,,,,,901.16,,2349.30,2419.78,2532.62,712.16
Active Decode Throughput Per User (tokens/sec/user),110.08,0.00,839.38,,,,,,70.36,,170.59,175.84,185.71,52.34
Active Prefill Throughput (tokens/sec),343.68,17.64,2944.38,,,,,,336.50,,390.41,409.70,445.57,138.53
Active Prefill Throughput Per User (tokens/sec/user),18.25,13.84,120.39,,,,,,17.84,,20.60,21.93,24.75,4.19
Active Total Throughput (tokens/sec),1778.61,17.64,2944.38,,,,,,1773.74,,1956.40,2013.57,2424.18,170.00
Credit-to-Start Latency (ms),0.78,0.56,1.47,498.07,0.59,0.61,0.64,0.70,0.76,0.84,0.94,0.99,1.12,0.12
Decode Duration (ms),2288.00,948.85,4784.38,1464321.49,1382.69,1636.83,1730.58,1931.29,2202.01,2515.76,2984.44,3309.24,4041.31,535.78
E2E Output Token Throughput (tokens/sec/user),47.39,30.97,175.12,30328.99,33.92,37.29,39.69,42.98,45.98,48.93,51.81,55.03,120.85,12.66
Effective Concurrency,31.51,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,2.89
Effective Decode Concurrency,12.90,0.00,14.00,,,,,,13.00,,14.00,14.00,14.00,1.24
Effective Decode Throughput (tokens/sec),1437.87,0.00,5875.68,,,,,,900.16,,2349.30,2419.78,2532.62,714.59
Effective Decode Throughput Per User (tokens/sec/user),109.84,0.00,839.38,,,,,,70.35,,170.59,175.84,185.60,52.53
Effective Latency (CO-aware) (ms),5589.07,1462.97,8267.89,3577004.63,2122.19,4652.60,4941.70,5232.13,5568.26,5957.42,6450.87,6865.66,7548.48,803.88
Effective Prefill Concurrency,18.61,0.00,32.00,,,,,,19.00,,20.00,21.00,21.00,2.73
Effective Prefill Throughput (tokens/sec),340.70,0.00,2944.38,,,,,,336.20,,390.09,409.28,445.57,141.55
Effective Prefill Throughput Per User (tokens/sec/user),18.09,0.00,120.39,,,,,,17.82,,20.59,21.91,24.75,4.50
Effective Total Throughput (tokens/sec),1778.57,0.00,2944.38,,,,,,1773.74,,1956.40,2013.57,2424.18,170.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,35.21,23.00,73.00,22532.00,24.00,26.00,27.00,30.00,34.00,38.25,45.00,50.00,60.61,7.41
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.56,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.05
HTTP Connection Overhead (ms),0.01,0.00,0.56,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.05
HTTP Connection Reused (ratio),0.99,0.00,1.00,632.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),9.24,6.36,18.02,5911.22,6.67,7.11,7.41,8.05,8.91,10.00,11.53,12.72,15.21,1.73
HTTP Data Sent (KB),0.33,0.17,0.70,210.24,0.18,0.21,0.23,0.26,0.31,0.38,0.45,0.49,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5588.22,1461.74,8266.92,3576461.04,2121.10,4651.85,4940.82,5231.45,5567.38,5956.60,6450.05,6864.73,7547.69,803.89
HTTP Receiving (ms),2288.01,948.88,4784.39,1464326.68,1382.70,1636.84,1730.58,1931.30,2202.02,2515.78,2984.45,3309.25,4041.31,535.78
HTTP Sending (ms),0.16,0.12,0.74,102.90,0.12,0.12,0.13,0.14,0.15,0.17,0.18,0.19,0.57,0.06
HTTP Total Time (ms),5588.23,1461.74,8266.92,3576464.38,2121.10,4651.85,4940.82,5231.45,5567.38,5956.60,6450.05,6864.73,7547.69,803.89
HTTP Waiting (TTFB) (ms),3300.05,247.96,4411.79,2112031.46,293.86,2867.61,2997.66,3181.79,3357.76,3549.05,3708.50,3826.28,4197.23,546.02
Input Sequence Length (tokens),60.42,23.00,141.00,38670.00,26.00,32.00,36.00,44.00,57.00,73.00,91.00,101.00,122.22,21.35
Inter Chunk Latency (ms),66.89,9.39,225.11,1464321.49,41.18,43.66,44.42,45.27,46.66,112.48,116.87,119.02,124.37,32.42
Inter Token Latency (ms),8.97,3.72,18.76,5742.44,5.42,6.42,6.79,7.57,8.64,9.87,11.70,12.98,15.85,2.10
Output Sequence Length (tokens),256.00,256.00,256.00,163840.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),116.99,53.30,268.75,74872.94,63.10,77.06,85.44,101.36,115.80,132.04,147.35,155.79,184.42,25.35
