Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1035.29,14.60,4835.74,,,,,,811.79,,2312.03,2367.24,2415.34,890.41
Active Decode Throughput Per User (tokens/sec/user),86.83,2.34,690.82,,,,,,63.85,,168.16,172.07,274.19,75.86
Active Prefill Throughput (tokens/sec),306.48,21.32,3038.93,,,,,,205.15,,371.55,403.04,3038.93,429.58
Active Prefill Throughput Per User (tokens/sec/user),16.84,10.16,242.45,,,,,,16.41,,20.00,21.18,94.97,12.75
Active Total Throughput (tokens/sec),1263.76,80.11,3038.93,,,,,,1241.09,,1875.95,1931.69,3038.93,561.81
Credit-to-Start Latency (ms),1.00,0.73,1.37,64.31,0.74,0.79,0.82,0.89,1.00,1.09,1.21,1.29,1.34,0.15
Decode Duration (ms),2848.27,1135.11,5908.87,182289.21,1242.98,1689.16,1827.35,2101.53,2408.69,3362.88,4873.51,5181.82,5638.00,1163.11
E2E Output Token Throughput (tokens/sec/user),44.14,26.31,177.01,2825.21,26.97,28.94,30.29,35.50,43.21,47.91,52.28,55.41,101.80,18.51
Effective Concurrency,24.99,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.47
Effective Decode Concurrency,11.37,0.00,14.00,,,,,,13.00,,14.00,14.00,14.00,3.62
Effective Decode Throughput (tokens/sec),1017.98,0.00,4835.74,,,,,,791.78,,2308.88,2367.24,2415.34,892.86
Effective Decode Throughput Per User (tokens/sec/user),85.38,0.00,690.82,,,,,,63.82,,167.81,171.52,274.19,76.04
Effective Latency (CO-aware) (ms),6259.88,1447.22,9731.23,400632.52,3334.50,4621.65,4897.95,5344.57,5925.66,7213.12,8452.25,8846.46,9497.03,1443.83
Effective Prefill Concurrency,13.62,0.00,32.00,,,,,,18.00,,19.00,21.00,32.00,8.21
Effective Prefill Throughput (tokens/sec),245.57,0.00,3038.93,,,,,,197.80,,365.32,381.42,3038.93,403.51
Effective Prefill Throughput Per User (tokens/sec/user),13.50,0.00,242.45,,,,,,11.14,,19.94,20.45,94.97,13.24
Effective Total Throughput (tokens/sec),1263.55,0.00,3038.93,,,,,,1241.09,,1875.95,1931.69,3038.93,562.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,37.67,26.00,55.00,2411.00,26.63,28.30,31.00,32.75,37.00,41.25,45.70,50.00,53.74,6.49
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.12,0.00,18.19,71.88,0.00,0.00,0.00,0.00,0.81,1.71,1.79,1.87,7.96,2.32
HTTP Connection Overhead (ms),1.12,0.00,18.19,71.88,0.00,0.00,0.00,0.00,0.81,1.71,1.79,1.87,7.96,2.32
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),9.82,7.11,13.88,628.52,7.19,7.62,8.16,8.60,9.64,10.71,11.72,12.71,13.53,1.52
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6258.74,1446.06,9729.72,400559.19,3333.31,4620.76,4896.89,5343.42,5924.71,7211.95,8451.07,8845.17,9495.66,1443.76
HTTP Receiving (ms),2848.29,1135.15,5908.91,182290.86,1243.00,1689.21,1827.38,2101.58,2408.69,3362.88,4873.54,5181.87,5638.04,1163.11
HTTP Sending (ms),1.42,0.17,18.59,90.81,0.17,0.18,0.18,0.20,1.11,2.10,2.18,2.27,8.37,2.36
HTTP Total Time (ms),6259.86,1447.68,9731.43,400631.07,3334.98,4621.01,4897.42,5344.72,5924.71,7213.62,8452.28,8846.84,9507.75,1444.57
HTTP Waiting (TTFB) (ms),3409.02,263.11,7497.58,218177.51,291.74,308.68,308.85,2906.25,3488.59,4781.94,5896.01,6698.78,7438.44,2006.77
Input Sequence Length (tokens),61.52,28.00,129.00,3937.00,29.26,34.45,38.60,45.75,59.00,70.00,91.60,101.10,118.92,20.70
Inter Chunk Latency (ms),77.67,7.57,2947.38,182289.21,16.00,40.43,41.61,42.70,44.43,55.26,112.39,115.58,127.22,225.98
Inter Token Latency (ms),11.17,4.45,23.17,714.86,4.87,6.62,7.17,8.24,9.45,13.19,19.11,20.32,22.11,4.56
Output Sequence Length (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),103.02,43.16,224.65,6593.12,45.29,49.22,52.34,75.83,105.88,121.34,139.55,150.97,206.10,36.21
Prefill Throughput Per User (tokens/sec/user),56.64,5.92,425.75,3625.23,6.22,7.14,8.08,11.91,17.07,28.25,189.61,220.22,351.99,86.35
Reasoning Token Count (tokens),256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),6258.88,1446.24,9729.94,400568.21,3333.49,4620.85,4897.00,5343.58,5924.79,7212.15,8451.22,8845.35,9495.87,1443.78
Time to First Token (ms),3410.61,265.42,7516.43,218279.00,294.11,311.02,311.16,2906.50,3488.87,4784.42,5898.41,6701.21,7446.91,2007.28
Time to Second Token (ms),64.22,39.61,127.10,4109.88,39.62,39.73,39.76,42.80,44.81,108.54,114.64,119.61,123.34,32.28
Tokens In Flight (tokens),3141.07,0.00,4599.33,,,,,,3432.45,,4349.82,4349.82,4398.58,1099.37

Metric,Value
Benchmark Duration (sec),16.03
Input Token Throughput (tokens/sec),245.57
Output Token Throughput (tokens/sec),1021.97
Request Count,64.00
Request Throughput (requests/sec),3.99
Total Input Sequence Length (tokens),3937.00
Total Output Sequence Length (tokens),16384.00
Total Reasoning Tokens (tokens),16384.00
Total Token Throughput (tokens/sec),1267.54
