Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1789.58,0.00,11872.11,,,,,,1832.03,,1877.75,1889.52,1995.17,328.21
Active Decode Throughput Per User (tokens/sec/user),56.33,0.00,439.71,,,,,,57.25,,58.68,59.06,62.49,9.31
Active Prefill Throughput (tokens/sec),7107.03,94.14,9865.23,,,,,,6549.12,,9865.23,9865.23,9865.23,2027.51
Active Prefill Throughput Per User (tokens/sec/user),252.00,94.14,375.98,,,,,,205.98,,310.12,313.15,314.18,51.45
Active Total Throughput (tokens/sec),2150.75,57.32,9865.23,,,,,,1836.94,,1836.94,6442.18,9607.36,1352.85
Credit-to-Start Latency (ms),2.48,0.98,22.38,158.66,0.99,1.02,1.05,1.11,1.22,2.20,2.54,3.40,21.98,4.32
Decode Duration (ms),4455.88,4433.33,4528.47,285176.26,4433.36,4433.41,4433.50,4433.56,4448.71,4479.11,4493.70,4493.76,4506.65,25.39
E2E Output Token Throughput (tokens/sec/user),54.41,53.58,55.23,3482.25,53.58,53.58,54.11,54.12,54.40,54.67,54.90,55.23,55.23,0.42
Effective Concurrency,31.96,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.89
Effective Decode Concurrency,30.27,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,7.06
Effective Decode Throughput (tokens/sec),1732.04,0.00,11872.11,,,,,,1831.32,,1877.63,1889.52,1995.17,451.57
Effective Decode Throughput Per User (tokens/sec/user),54.51,0.00,439.71,,,,,,57.23,,58.68,59.05,62.35,13.51
Effective Latency (CO-aware) (ms),4707.48,4637.30,4779.10,301278.68,4637.35,4637.55,4684.08,4684.58,4698.58,4731.33,4731.94,4778.72,4778.93,35.30
Effective Prefill Concurrency,1.69,0.00,32.00,,,,,,0.00,,0.00,24.00,32.00,6.98
Effective Prefill Throughput (tokens/sec),417.86,0.00,9865.23,,,,,,0.00,,0.00,6385.32,9551.05,1742.65
Effective Prefill Throughput Per User (tokens/sec/user),14.82,0.00,375.98,,,,,,0.00,,0.00,204.66,308.29,60.58
Effective Total Throughput (tokens/sec),2149.90,0.00,9865.23,,,,,,1836.94,,1836.94,6442.18,9607.36,1353.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.72,255.00,256.00,16366.00,255.00,255.00,255.00,255.00,256.00,256.00,256.00,256.00,256.00,0.45
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.16,0.00,20.80,74.50,0.00,0.00,0.00,0.00,0.65,1.77,1.92,1.97,9.13,2.62
HTTP Connection Overhead (ms),1.16,0.00,20.80,74.50,0.00,0.00,0.00,0.00,0.65,1.77,1.92,1.97,9.13,2.62
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),59.66,59.42,59.85,3818.04,59.42,59.44,59.50,59.55,59.69,59.75,59.79,59.82,59.84,0.12
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4704.85,4634.76,4777.88,301110.66,4634.86,4635.16,4663.36,4682.71,4696.82,4730.01,4730.63,4777.40,4777.62,36.49
