Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1780.72,0.00,4254.40,,,,,,1833.45,,1881.57,1898.04,1978.21,303.02
Active Decode Throughput Per User (tokens/sec/user),56.08,0.00,132.95,,,,,,57.30,,58.80,59.32,61.91,7.34
Active Prefill Throughput (tokens/sec),7822.01,178.34,11839.74,,,,,,9420.27,,10850.60,11423.57,11839.74,3190.61
Active Prefill Throughput Per User (tokens/sec/user),334.02,178.34,871.95,,,,,,332.37,,369.06,404.46,616.21,62.75
Active Total Throughput (tokens/sec),2165.81,57.43,11839.74,,,,,,1825.61,,1833.82,2314.20,10727.32,1568.54
Credit-to-Start Latency (ms),1.04,0.63,1.98,667.74,0.66,0.72,0.76,0.82,1.00,1.19,1.44,1.64,1.80,0.28
Decode Duration (ms),4471.07,4439.52,4531.30,2861487.96,4439.78,4447.19,4447.50,4461.27,4473.27,4476.96,4486.29,4494.13,4524.10,14.99
E2E Output Token Throughput (tokens/sec/user),54.97,54.34,55.38,35179.53,54.34,54.42,54.78,54.91,54.95,55.14,55.18,55.19,55.37,0.21
Effective Concurrency,31.98,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.58
Effective Decode Concurrency,30.70,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,5.90
Effective Decode Throughput (tokens/sec),1750.87,0.00,4254.40,,,,,,1832.68,,1881.27,1897.68,1976.33,377.53
Effective Decode Throughput Per User (tokens/sec/user),55.14,0.00,132.95,,,,,,57.27,,58.79,59.31,61.82,10.23
Effective Latency (CO-aware) (ms),4658.34,4624.17,4712.63,2981335.14,4624.54,4639.58,4640.82,4643.72,4659.53,4663.30,4674.48,4705.23,4712.10,17.76
Effective Prefill Concurrency,1.28,0.00,32.00,,,,,,0.00,,0.00,1.00,32.00,5.85
Effective Prefill Throughput (tokens/sec),414.87,0.00,11839.74,,,,,,0.00,,0.00,607.16,10706.88,1900.77
Effective Prefill Throughput Per User (tokens/sec/user),17.72,0.00,871.95,,,,,,0.00,,0.00,236.89,356.14,76.24
Effective Total Throughput (tokens/sec),2165.74,0.00,11839.74,,,,,,1825.61,,1833.82,2314.20,10727.32,1568.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,163840.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.69,59.48,59.95,38201.00,59.54,59.58,59.61,59.65,59.69,59.73,59.78,59.80,59.86,0.07
HTTP Data Sent (KB),0.33,0.17,0.70,210.24,0.18,0.21,0.23,0.26,0.31,0.38,0.45,0.49,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4657.22,4622.95,4711.25,2980618.82,4623.45,4638.45,4639.67,4642.57,4658.35,4662.16,4673.35,4704.31,4711.09,17.79
HTTP Receiving (ms),4471.08,4439.52,4531.31,2861492.48,4439.79,4447.20,4447.51,4461.27,4473.28,4476.96,4486.30,4494.14,4524.11,14.99
