Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3426.59,0.00,6405.36,,,,,,3146.30,,5927.57,6081.31,6124.67,1848.07
Active Decode Throughput Per User (tokens/sec/user),144.45,0.00,1009.36,,,,,,150.47,,190.53,307.44,351.29,67.28
Active Prefill Throughput (tokens/sec),1438.63,48.86,4026.69,,,,,,1690.09,,1919.83,3752.95,4026.69,816.89
Active Prefill Throughput Per User (tokens/sec/user),255.16,45.53,682.41,,,,,,275.30,,530.48,562.61,682.41,189.92
Active Total Throughput (tokens/sec),3571.86,72.64,6807.36,,,,,,4189.37,,5151.13,5246.23,6807.36,1694.69
Credit-to-Start Latency (ms),0.99,0.66,1.34,63.63,0.68,0.74,0.75,0.84,1.03,1.12,1.23,1.30,1.34,0.18
Decode Duration (ms),1800.18,1000.95,2708.29,115211.75,1025.46,1237.86,1353.22,1462.16,1729.47,2106.50,2422.71,2600.97,2686.34,429.31
E2E Output Token Throughput (tokens/sec/user),111.40,67.75,184.43,7129.59,67.75,72.96,80.58,94.52,102.83,126.91,152.63,163.04,176.68,27.39
Effective Concurrency,27.44,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,8.47
Effective Decode Concurrency,20.31,0.00,32.00,,,,,,28.00,,32.00,32.00,32.00,12.59
Effective Decode Throughput (tokens/sec),2876.12,0.00,6405.36,,,,,,2504.15,,5865.03,6041.85,6124.67,2109.48
Effective Decode Throughput Per User (tokens/sec/user),121.25,0.00,1009.36,,,,,,133.70,,189.55,215.81,349.34,81.32
Effective Latency (CO-aware) (ms),2433.96,1388.94,3779.89,155773.74,1451.53,1571.17,1678.30,2017.97,2490.81,2709.50,3178.26,3510.41,3779.65,571.54
Effective Prefill Concurrency,7.14,0.00,32.00,,,,,,0.00,,32.00,32.00,32.00,12.31
Effective Prefill Throughput (tokens/sec),693.87,0.00,4026.69,,,,,,0.00,,1762.74,1762.74,4026.69,915.76
Effective Prefill Throughput Per User (tokens/sec/user),123.07,0.00,682.41,,,,,,0.00,,399.35,530.48,682.41,183.45
Effective Total Throughput (tokens/sec),3569.99,0.00,6807.36,,,,,,4189.37,,5151.13,5246.23,6807.36,1696.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,49.20,32.00,80.00,3149.00,32.63,34.00,37.00,40.00,47.00,57.00,67.00,70.70,78.74,11.95
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.01,0.00,18.93,64.94,0.00,0.00,0.00,0.00,0.68,1.46,1.53,1.62,8.18,2.37
HTTP Connection Overhead (ms),1.01,0.00,18.93,64.94,0.00,0.00,0.00,0.00,0.68,1.46,1.53,1.62,8.18,2.37
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),12.48,8.44,19.64,798.70,8.62,8.91,9.66,10.38,11.93,14.36,16.59,17.55,19.31,2.77
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2432.84,1387.96,3778.66,155701.54,1450.46,1570.30,1677.34,2017.09,2489.70,2708.25,3176.81,3509.22,3778.43,571.42
HTTP Receiving (ms),1800.21,1001.00,2708.30,115213.41,1025.50,1237.87,1353.22,1462.17,1729.51,2106.53,2422.76,2600.98,2686.37,429.31
HTTP Sending (ms),1.31,0.17,19.30,83.79,0.17,0.17,0.18,0.19,0.99,1.85,1.93,2.04,8.63,2.42
HTTP Total Time (ms),2433.85,1387.96,3780.15,155766.47,1450.46,1570.30,1677.34,2017.09,2490.45,2709.42,3183.72,3510.70,3779.90,572.27
HTTP Waiting (TTFB) (ms),631.32,121.09,1103.40,40404.34,121.39,124.83,129.59,163.09,562.12,1102.45,1102.97,1103.16,1103.36,465.77
Input Sequence Length (tokens),61.52,28.00,129.00,3937.00,29.26,34.45,38.60,45.75,59.00,70.00,91.60,101.10,118.92,20.70
Inter Chunk Latency (ms),37.35,3.56,196.67,115211.75,11.07,29.94,30.74,31.32,32.26,36.76,61.74,65.50,76.15,13.17
Inter Token Latency (ms),7.06,3.93,10.62,451.84,4.02,4.85,5.31,5.73,6.78,8.26,9.50,10.20,10.53,1.68
Output Sequence Length (tokens),255.98,255.00,256.00,16383.00,255.63,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Throughput Per User (tokens/sec/user),149.90,94.16,254.76,9593.77,94.93,98.04,105.25,121.10,147.44,174.41,188.51,206.03,248.75,36.04
Prefill Throughput Per User (tokens/sec/user),218.93,25.33,682.41,14011.74,26.48,37.12,39.39,53.41,131.56,354.77,519.34,566.10,662.84,189.97
Reasoning Token Count (tokens),255.98,255.00,256.00,16383.00,255.63,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Request Latency (ms),2432.97,1388.04,3778.86,155710.11,1450.53,1570.37,1677.42,2017.17,2489.83,2708.44,3177.02,3509.40,3778.62,571.47
Time to First Token (ms),632.79,121.37,1105.54,40498.36,121.68,125.15,129.87,163.35,563.40,1104.66,1105.05,1105.32,1105.47,466.96
Time to Second Token (ms),42.06,30.90,196.67,2692.03,30.91,30.96,31.02,31.10,31.28,44.02,63.31,69.65,117.24,23.97
Tokens In Flight (tokens),4271.00,0.00,7860.19,,,,,,4658.72,,7077.73,7495.15,7737.79,1910.02

Metric,Value
Benchmark Duration (sec),5.67
Input Token Throughput (tokens/sec),693.87
Output Token Throughput (tokens/sec),2887.40
Request Count,64.00
Request Throughput (requests/sec),11.28
Total Input Sequence Length (tokens),3937.00
Total Output Sequence Length (tokens),16383.00
Total Reasoning Tokens (tokens),16383.00
Total Token Throughput (tokens/sec),3581.27
