Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3314.42,151.05,6780.16,,,,,,2593.82,,5147.05,5457.39,6026.91,1255.93
Active Decode Throughput Per User (tokens/sec/user),112.69,50.63,681.67,,,,,,87.35,,169.37,176.14,189.95,43.05
Active Prefill Throughput (tokens/sec),896.93,141.67,9102.12,,,,,,814.77,,1459.53,1718.51,2113.72,692.23
Active Prefill Throughput Per User (tokens/sec/user),377.22,141.67,1029.05,,,,,,351.12,,536.86,612.06,770.21,124.06
Active Total Throughput (tokens/sec),4086.54,164.76,9102.12,,,,,,4035.38,,4705.07,5005.85,5302.68,604.43
Credit-to-Start Latency (ms),0.81,0.59,4.83,520.21,0.62,0.65,0.67,0.72,0.78,0.87,0.98,1.07,1.23,0.20
Decode Duration (ms),2270.86,792.17,5217.87,1453350.80,1146.21,1360.79,1558.65,1807.51,2121.84,2633.49,3220.21,3562.02,4350.41,673.25
E2E Output Token Throughput (tokens/sec/user),112.49,47.54,257.99,71991.99,56.47,69.15,75.67,91.06,111.39,129.81,147.66,166.13,196.07,29.75
Effective Concurrency,31.63,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,2.51
Effective Decode Concurrency,29.42,0.00,32.00,,,,,,30.00,,31.00,32.00,32.00,3.19
Effective Decode Throughput (tokens/sec),3303.54,0.00,6780.16,,,,,,2593.81,,5144.74,5457.39,6026.91,1268.12
Effective Decode Throughput Per User (tokens/sec/user),112.32,0.00,681.67,,,,,,87.27,,169.34,176.14,189.95,43.46
Effective Latency (CO-aware) (ms),2442.59,993.62,5385.77,1563255.52,1306.76,1541.56,1734.50,1972.96,2299.04,2812.14,3383.67,3702.74,4534.06,674.65
Effective Prefill Concurrency,2.21,0.00,32.00,,,,,,2.00,,4.00,5.00,6.00,2.33
Effective Prefill Throughput (tokens/sec),782.79,0.00,9102.12,,,,,,737.45,,1390.47,1670.57,2077.54,712.42
Effective Prefill Throughput Per User (tokens/sec/user),329.22,0.00,1029.05,,,,,,330.31,,517.03,602.06,770.21,170.98
Effective Total Throughput (tokens/sec),4086.33,0.00,9102.12,,,,,,4035.38,,4705.07,5005.85,5302.68,605.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.65,24.00,98.00,29856.00,26.39,30.95,33.00,37.00,43.00,53.00,65.00,72.00,84.61,12.93
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.87,6.52,23.70,7594.81,7.17,8.13,8.63,9.63,11.04,13.43,16.18,17.78,20.69,3.00
HTTP Data Sent (KB),0.33,0.17,0.70,210.24,0.18,0.21,0.23,0.26,0.31,0.38,0.45,0.49,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2441.70,992.20,5384.84,1562686.72,1305.84,1540.89,1733.58,1972.09,2298.23,2811.18,3382.89,3701.97,4533.29,674.65
HTTP Receiving (ms),2270.87,792.18,5217.87,1453355.06,1146.21,1360.81,1558.65,1807.52,2121.86,2633.50,3220.21,3562.03,4350.42,673.25
HTTP Sending (ms),0.16,0.12,0.25,100.76,0.12,0.13,0.13,0.14,0.16,0.17,0.19,0.20,0.23,0.02
HTTP Total Time (ms),2441.70,992.20,5384.84,1562686.72,1305.84,1540.89,1733.58,1972.09,2298.23,2811.18,3382.89,3701.97,4533.29,674.65
HTTP Waiting (TTFB) (ms),170.67,119.44,280.19,109230.89,124.24,130.26,134.21,151.17,168.96,192.72,203.29,209.50,243.18,26.74
Input Sequence Length (tokens),60.42,23.00,141.00,38670.00,26.00,32.00,36.00,44.00,57.00,73.00,91.00,101.00,122.22,21.35
Inter Chunk Latency (ms),49.75,8.92,107.51,1453350.80,30.70,32.07,32.86,34.40,37.73,66.85,70.17,71.94,76.05,16.90
Inter Token Latency (ms),8.91,3.11,20.46,5699.57,4.49,5.34,6.11,7.09,8.32,10.33,12.63,13.97,17.06,2.64
Output Sequence Length (tokens),255.99,255.00,257.00,163835.00,255.39,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Throughput Per User (tokens/sec/user),121.91,48.87,321.90,78022.36,58.62,71.59,79.19,96.83,120.18,141.08,163.60,187.39,222.49,35.51
Prefill Throughput Per User (tokens/sec/user),362.97,119.83,1029.05,232298.46,149.73,184.17,205.35,257.59,332.91,439.36,549.77,636.12,797.05,145.48
Reasoning Token Count (tokens),255.99,255.00,257.00,163835.00,255.39,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Request Latency (ms),2441.77,992.29,5384.93,1562735.31,1305.92,1540.95,1733.67,1972.16,2298.30,2811.25,3382.96,3702.03,4533.35,674.65
Time to First Token (ms),170.91,119.70,280.41,109384.51,124.48,130.46,134.46,151.38,169.17,192.95,203.49,209.72,243.41,26.74
Time to Second Token (ms),49.06,29.56,80.55,31399.95,29.71,30.61,32.03,34.06,37.72,66.92,70.06,71.58,74.47,16.70
Tokens In Flight (tokens),5645.87,0.00,7353.51,,,,,,5715.82,,6312.15,6476.14,6788.38,664.86

Metric,Value
Benchmark Duration (sec),49.40
Input Token Throughput (tokens/sec),782.79
Output Token Throughput (tokens/sec),3316.49
Request Count,640.00
Request Throughput (requests/sec),12.96
Total Input Sequence Length (tokens),38670.00
Total Output Sequence Length (tokens),163835.00
Total Reasoning Tokens (tokens),163835.00
Total Token Throughput (tokens/sec),4099.29


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
