Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),4175.70,60.44,69980.50,,,,,,5259.33,,5930.95,6093.88,7196.08,2675.96
Active Decode Throughput Per User (tokens/sec/user),221.55,57.31,2799.22,,,,,,233.27,,274.01,314.33,1015.49,162.56
Active Prefill Throughput (tokens/sec),1296.21,124.69,5262.23,,,,,,1013.92,,5136.55,5262.23,5262.23,1439.93
Active Prefill Throughput Per User (tokens/sec/user),109.44,42.75,211.98,,,,,,120.41,,165.70,180.53,210.05,48.33
Active Total Throughput (tokens/sec),4903.53,125.69,6896.37,,,,,,5573.36,,6512.64,6600.38,6812.19,1755.97
Credit-to-Start Latency (ms),1.03,0.69,1.43,66.07,0.70,0.76,0.80,0.94,1.05,1.11,1.22,1.31,1.39,0.16
Decode Duration (ms),1159.01,692.40,2274.27,74176.69,713.11,791.03,811.18,959.10,1128.85,1311.11,1500.59,1606.55,2062.82,287.70
E2E Output Token Throughput (tokens/sec/user),162.16,94.92,254.38,10378.31,97.43,111.15,117.30,141.33,154.61,181.71,202.72,228.07,247.03,34.32
Effective Concurrency,25.58,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.74
Effective Decode Concurrency,17.94,0.00,25.00,,,,,,21.00,,25.00,25.00,25.00,8.12
Effective Decode Throughput (tokens/sec),3947.52,0.00,69980.50,,,,,,5158.30,,5911.70,6065.44,7108.43,2769.51
Effective Decode Throughput Per User (tokens/sec/user),209.44,0.00,2799.22,,,,,,231.64,,273.52,293.66,1015.49,165.88
Effective Latency (CO-aware) (ms),1653.48,1007.48,2698.33,105823.02,1037.98,1123.92,1263.69,1409.73,1656.81,1812.48,2184.07,2304.29,2629.74,363.73
Effective Prefill Concurrency,7.64,0.00,32.00,,,,,,7.00,,12.00,32.00,32.00,8.06
Effective Prefill Throughput (tokens/sec),952.29,0.00,5262.23,,,,,,405.36,,2076.06,5262.23,5262.23,1360.43
Effective Prefill Throughput Per User (tokens/sec/user),80.40,0.00,211.98,,,,,,76.04,,164.44,173.00,210.05,63.65
Effective Total Throughput (tokens/sec),4899.81,0.00,6896.37,,,,,,5573.36,,6512.64,6600.38,6812.19,1760.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,51.39,32.00,98.00,3289.00,32.63,34.00,37.00,42.75,50.00,58.25,64.70,68.70,89.81,12.35
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.99,0.00,16.78,63.31,0.00,0.00,0.00,0.00,0.67,1.44,1.61,1.69,7.34,2.13
HTTP Connection Overhead (ms),0.99,0.00,16.78,63.31,0.00,0.00,0.00,0.00,0.67,1.44,1.61,1.69,7.34,2.13
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),13.77,8.94,25.27,881.33,9.15,9.52,10.26,11.67,13.47,15.52,17.07,18.00,23.18,3.04
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1652.31,1006.18,2696.67,105748.01,1036.66,1122.42,1262.73,1408.76,1655.61,1811.33,2182.55,2303.21,2628.28,363.67
HTTP Receiving (ms),1159.02,692.42,2274.29,74177.35,713.11,791.03,811.20,959.11,1128.86,1311.11,1500.61,1606.57,2062.83,287.70
HTTP Sending (ms),1.28,0.15,17.14,82.18,0.15,0.17,0.18,0.20,0.98,1.86,2.00,2.14,7.75,2.17
HTTP Total Time (ms),1653.30,1007.61,2698.36,105811.32,1038.18,1123.97,1262.73,1408.76,1656.32,1811.67,2184.07,2303.42,2629.78,364.42
HTTP Waiting (TTFB) (ms),492.01,220.54,1412.41,31488.48,261.05,311.94,312.07,312.37,389.90,494.40,1045.91,1192.72,1412.18,296.39
Input Sequence Length (tokens),61.52,28.00,129.00,3937.00,29.26,34.45,38.60,45.75,59.00,70.00,91.60,101.10,118.92,20.70
Inter Chunk Latency (ms),23.00,1.38,93.75,74176.69,3.29,8.25,18.07,20.00,21.24,22.14,33.54,46.21,63.84,10.41
Inter Token Latency (ms),4.55,2.72,8.92,290.90,2.80,3.10,3.18,3.76,4.43,5.14,5.88,6.30,8.09,1.13
Output Sequence Length (tokens),256.00,255.00,257.00,16384.00,255.63,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.37,0.18
Output Token Count (tokens),256.00,255.00,257.00,16384.00,255.63,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.37,0.18
Output Token Throughput Per User (tokens/sec/user),232.75,112.12,368.28,14895.95,124.35,158.66,169.94,194.50,225.91,265.90,314.45,322.37,357.77,54.33
Prefill Throughput Per User (tokens/sec/user),154.72,29.69,359.16,9902.00,32.60,42.75,58.27,94.35,154.01,199.21,242.88,328.96,354.25,79.27
Request Latency (ms),1652.45,1006.37,2696.90,105756.95,1036.86,1122.65,1262.81,1408.84,1655.75,1811.44,2182.77,2303.30,2628.49,363.68
Time to First Output Token (ms),493.44,222.78,1415.19,31580.25,262.09,313.97,314.10,314.50,390.15,494.75,1047.38,1194.92,1414.94,297.25
Time to First Token (ms),493.44,222.78,1415.19,31580.25,262.09,313.97,314.10,314.50,390.15,494.75,1047.38,1194.92,1414.94,297.25
Time to Second Token (ms),13.04,1.38,93.75,834.70,1.48,1.63,1.69,1.80,16.74,18.53,19.00,19.47,47.36,12.84
Tokens In Flight (tokens),3850.92,0.00,5923.25,,,,,,4143.36,,5326.30,5598.62,5822.54,1422.04

Metric,Value
Benchmark Duration (sec),4.13
Input Token Throughput (tokens/sec),952.29
Output Token Throughput (tokens/sec),3963.00
Request Count,64.00
Request Throughput (requests/sec),15.48
Total Input Sequence Length (tokens),3937.00
Total Output Sequence Length (tokens),16384.00
Total Output Tokens (tokens),16384.00
Total Token Throughput (tokens/sec),4915.29
