Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5136.49,0.00,150349.80,,,,,,5647.65,,6462.95,6764.12,7192.57,3450.56
Active Decode Throughput Per User (tokens/sec/user),232.74,0.00,8501.78,,,,,,246.08,,284.09,296.44,440.32,166.82
Active Prefill Throughput (tokens/sec),1250.48,436.87,15547.95,,,,,,1157.53,,1678.81,1850.28,2482.46,930.91
Active Prefill Throughput Per User (tokens/sec/user),126.36,61.76,1183.47,,,,,,122.11,,155.58,168.90,208.59,55.46
Active Total Throughput (tokens/sec),6337.37,272.71,17505.04,,,,,,6329.88,,7112.75,7340.82,8648.90,1053.80
Credit-to-Start Latency (ms),0.80,0.54,1.64,509.71,0.57,0.61,0.63,0.70,0.77,0.87,0.96,1.03,1.29,0.14
Decode Duration (ms),1097.77,199.38,2191.34,702571.24,539.39,681.57,737.66,857.06,1027.04,1312.76,1584.02,1748.85,1962.47,331.42
E2E Output Token Throughput (tokens/sec/user),173.19,91.28,403.23,110838.47,98.25,114.12,124.17,143.71,168.00,194.47,220.73,243.54,326.14,43.09
Effective Concurrency,31.41,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,3.45
Effective Decode Concurrency,22.06,0.00,25.00,,,,,,23.00,,24.00,25.00,25.00,2.89
Effective Decode Throughput (tokens/sec),5122.83,0.00,150349.80,,,,,,5646.70,,6460.18,6764.12,7192.57,3456.11
Effective Decode Throughput Per User (tokens/sec/user),232.12,0.00,8501.78,,,,,,245.95,,283.97,296.44,440.32,167.03
Effective Latency (CO-aware) (ms),1564.13,635.67,2805.44,1001040.00,785.70,1052.00,1160.55,1315.60,1524.65,1782.06,2061.04,2243.98,2606.27,366.38
Effective Prefill Concurrency,9.35,0.00,32.00,,,,,,9.00,,12.00,12.00,14.00,2.59
Effective Prefill Throughput (tokens/sec),1213.94,0.00,15547.95,,,,,,1143.38,,1669.48,1827.48,2482.46,941.08
Effective Prefill Throughput Per User (tokens/sec/user),122.66,0.00,1183.47,,,,,,121.38,,154.99,168.90,208.59,58.65
Effective Total Throughput (tokens/sec),6336.76,0.00,17505.04,,,,,,6329.88,,7112.75,7340.82,8648.90,1055.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.13,23.00,94.00,30803.00,28.00,31.00,33.00,38.00,45.00,57.00,69.00,75.00,84.00,13.53
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.96,6.82,24.22,8293.83,8.03,8.78,9.28,10.43,12.17,15.12,18.03,19.53,21.70,3.32
HTTP Data Sent (KB),0.33,0.17,0.70,210.24,0.18,0.21,0.23,0.26,0.31,0.38,0.45,0.49,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1563.26,634.81,2804.46,1000484.47,784.88,1051.11,1159.70,1314.86,1523.78,1781.32,2060.14,2243.26,2605.42,366.39
HTTP Receiving (ms),1097.77,199.40,2191.34,702571.90,539.40,681.57,737.66,857.06,1027.04,1312.76,1584.02,1748.85,1962.48,331.42
HTTP Sending (ms),0.15,0.11,0.29,96.16,0.11,0.12,0.12,0.13,0.15,0.17,0.18,0.19,0.21,0.02
HTTP Total Time (ms),1563.26,634.81,2804.46,1000484.47,784.88,1051.11,1159.70,1314.86,1523.78,1781.32,2060.14,2243.26,2605.42,366.39
HTTP Waiting (TTFB) (ms),465.34,61.36,1098.49,297816.42,76.13,94.78,283.64,382.00,468.20,557.53,629.84,701.58,959.24,158.21
Input Sequence Length (tokens),60.42,23.00,141.00,38670.00,26.00,32.00,36.00,44.00,57.00,73.00,91.00,101.00,122.22,21.35
Inter Chunk Latency (ms),23.29,0.46,637.64,702571.24,1.03,17.81,19.53,20.36,21.12,22.31,30.34,42.76,46.80,18.59
Inter Token Latency (ms),4.31,0.78,8.59,2755.41,2.12,2.67,2.89,3.36,4.03,5.15,6.21,6.86,7.70,1.30
Output Sequence Length (tokens),255.98,254.00,257.00,163828.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.17
Output Token Count (tokens),255.98,254.00,257.00,163828.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.17
Output Token Throughput Per User (tokens/sec/user),255.20,116.37,1278.94,163328.21,129.94,145.81,160.98,194.25,248.29,297.53,345.69,374.14,472.85,90.30
Prefill Throughput Per User (tokens/sec/user),164.88,28.01,1436.74,105525.88,44.12,59.46,68.97,89.72,124.80,176.47,259.33,402.11,977.57,160.92
Request Latency (ms),1563.33,634.88,2804.54,1000530.29,784.95,1051.17,1159.77,1314.92,1523.84,1781.38,2060.22,2243.33,2605.50,366.39
Time to First Output Token (ms),465.56,61.60,1098.67,297959.05,76.36,95.06,283.91,382.21,468.38,557.74,630.02,701.83,959.50,158.20
Time to First Token (ms),465.56,61.60,1098.67,297959.05,76.36,95.06,283.91,382.21,468.38,557.74,630.02,701.83,959.50,158.20
Time to Second Token (ms),18.46,0.54,41.94,11816.39,1.76,12.68,16.52,17.79,18.51,19.36,20.13,20.69,40.79,3.93
Tokens In Flight (tokens),4724.73,0.00,6317.57,,,,,,4782.53,,5259.92,5412.07,5696.80,599.67

Metric,Value
Benchmark Duration (sec),31.85
Input Token Throughput (tokens/sec),1213.94
Output Token Throughput (tokens/sec),5142.92
Request Count,640.00
Request Throughput (requests/sec),20.09
Total Input Sequence Length (tokens),38670.00
Total Output Sequence Length (tokens),163828.00
Total Output Tokens (tokens),163828.00
Total Token Throughput (tokens/sec),6356.85


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
