Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),6444.79,25.09,35404.36,,,,,,6633.15,,6791.97,6920.66,13345.96,1858.97
Active Decode Throughput Per User (tokens/sec/user),202.46,25.09,1170.57,,,,,,207.29,,212.26,216.27,417.06,57.62
Active Prefill Throughput (tokens/sec),10411.87,216.04,11099.84,,,,,,10252.28,,11099.84,11099.84,11099.84,1111.18
Active Prefill Throughput Per User (tokens/sec/user),333.05,216.04,494.93,,,,,,320.38,,347.67,348.10,348.10,14.39
Active Total Throughput (tokens/sec),7088.80,205.32,11099.84,,,,,,6594.77,,10252.28,10990.74,11099.84,1374.12
Credit-to-Start Latency (ms),2.63,0.83,21.93,168.16,0.99,1.16,1.22,1.30,1.48,2.41,2.69,2.89,20.66,4.01
Decode Duration (ms),1240.77,1236.08,1278.09,79409.44,1236.10,1236.14,1236.18,1237.26,1241.58,1243.90,1244.21,1245.08,1260.42,5.82
E2E Output Token Throughput (tokens/sec/user),179.58,178.86,181.78,11493.05,179.15,179.35,179.37,179.40,179.50,179.56,179.60,179.66,181.73,0.49
Effective Concurrency,31.86,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,1.78
Effective Decode Concurrency,27.74,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.82
Effective Decode Throughput (tokens/sec),5699.77,0.00,35404.36,,,,,,6617.14,,6779.45,6900.64,13197.39,2702.35
Effective Decode Throughput Per User (tokens/sec/user),179.06,0.00,1170.57,,,,,,206.79,,211.86,215.82,412.42,84.42
Effective Latency (CO-aware) (ms),1428.11,1426.33,1430.20,91398.92,1426.35,1426.68,1426.74,1427.85,1428.31,1428.62,1428.96,1429.06,1429.53,0.81
Effective Prefill Concurrency,4.13,0.00,32.00,,,,,,0.00,,32.00,32.00,32.00,10.65
Effective Prefill Throughput (tokens/sec),1375.08,0.00,11099.84,,,,,,0.00,,10252.28,10791.22,11099.84,3548.16
Effective Prefill Throughput Per User (tokens/sec/user),43.99,0.00,494.93,,,,,,0.00,,320.38,346.87,348.10,112.88
Effective Total Throughput (tokens/sec),7074.85,0.00,11099.84,,,,,,6594.77,,10252.28,10990.74,11099.84,1408.25
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,16384.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.07,0.00,18.43,68.55,0.00,0.00,0.00,0.00,0.68,1.56,1.79,1.91,8.10,2.33
HTTP Connection Overhead (ms),1.07,0.00,18.43,68.55,0.00,0.00,0.00,0.00,0.68,1.56,1.79,1.91,8.10,2.33
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
