Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),6376.71,0.00,31144.57,,,,,,6634.97,,6858.17,7041.63,22117.13,2759.27
Active Decode Throughput Per User (tokens/sec/user),200.11,0.00,973.27,,,,,,207.34,,214.32,220.05,691.16,84.60
Active Prefill Throughput (tokens/sec),19261.95,343.51,23358.17,,,,,,19980.86,,22489.69,23317.56,23358.17,3529.11
Active Prefill Throughput Per User (tokens/sec/user),634.15,343.51,2180.60,,,,,,632.05,,711.16,728.67,729.94,64.83
Active Total Throughput (tokens/sec),7524.50,204.25,23358.17,,,,,,6558.44,,6608.78,19380.28,22222.19,3505.41
Credit-to-Start Latency (ms),1.05,0.60,2.11,671.33,0.64,0.69,0.73,0.81,0.97,1.21,1.54,1.69,1.88,0.31
Decode Duration (ms),1243.60,1231.97,1298.26,795900.94,1232.17,1234.21,1236.37,1239.86,1243.11,1245.94,1248.22,1248.77,1279.20,7.64
E2E Output Token Throughput (tokens/sec/user),191.19,186.61,193.02,122358.55,186.64,188.99,189.98,190.90,191.31,191.95,192.62,192.77,192.90,1.30
Effective Concurrency,31.92,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,1.31
Effective Decode Concurrency,29.65,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,8.24
Effective Decode Throughput (tokens/sec),6079.24,0.00,31144.57,,,,,,6626.47,,6848.65,7027.74,20872.81,3011.11
Effective Decode Throughput Per User (tokens/sec/user),190.78,0.00,973.27,,,,,,207.08,,214.02,219.62,652.28,92.76
Effective Latency (CO-aware) (ms),1340.06,1327.22,1373.17,857639.72,1328.08,1329.06,1330.06,1334.57,1339.10,1342.07,1348.80,1350.95,1372.70,9.28
Effective Prefill Concurrency,2.27,0.00,32.00,,,,,,0.00,,0.00,31.00,32.00,8.11
Effective Prefill Throughput (tokens/sec),1440.54,0.00,23358.17,,,,,,0.00,,0.00,19346.85,22023.14,5157.89
Effective Prefill Throughput Per User (tokens/sec/user),47.43,0.00,2180.60,,,,,,0.00,,0.00,621.68,708.63,167.75
