Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3801.68,0.00,8409.07,,,,,,2829.41,,6195.95,6471.65,7407.36,1624.09
Active Decode Throughput Per User (tokens/sec/user),129.97,0.00,1068.07,,,,,,95.26,,203.01,211.20,234.88,59.70
Active Prefill Throughput (tokens/sec),1025.65,157.33,9533.52,,,,,,905.36,,1674.84,1948.36,2574.51,782.28
Active Prefill Throughput Per User (tokens/sec/user),427.40,157.33,1212.77,,,,,,395.43,,598.72,663.37,878.05,135.30
Active Total Throughput (tokens/sec),4685.17,138.94,9533.52,,,,,,4630.45,,5349.52,5627.39,6126.34,664.26
Credit-to-Start Latency (ms),0.74,0.52,1.31,471.60,0.57,0.58,0.60,0.63,0.71,0.80,0.93,0.98,1.17,0.13
Decode Duration (ms),1979.54,699.88,4366.13,1266905.84,942.74,1173.94,1303.33,1551.44,1845.31,2268.10,2856.36,3113.52,3824.29,611.17
E2E Output Token Throughput (tokens/sec/user),129.72,56.93,287.37,83021.74,64.57,78.51,84.73,105.58,128.49,150.27,177.47,192.36,230.44,35.72
Effective Concurrency,31.64,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,2.56
Effective Decode Concurrency,29.40,0.00,32.00,,,,,,30.00,,31.00,32.00,32.00,3.29
Effective Decode Throughput (tokens/sec),3787.44,0.00,8409.07,,,,,,2828.21,,6181.04,6471.65,7407.36,1637.60
Effective Decode Throughput Per User (tokens/sec/user),129.48,0.00,1068.07,,,,,,95.25,,203.01,211.20,233.84,60.11
Effective Latency (CO-aware) (ms),2130.55,891.83,4514.94,1363552.44,1111.84,1331.51,1443.19,1703.54,1991.59,2425.40,3022.04,3261.46,3965.41,610.17
Effective Prefill Concurrency,2.23,0.00,32.00,,,,,,2.00,,4.00,5.00,6.00,2.42
Effective Prefill Throughput (tokens/sec),897.50,0.00,9533.52,,,,,,811.03,,1653.73,1900.75,2568.25,806.55
Effective Prefill Throughput Per User (tokens/sec/user),374.00,0.00,1212.77,,,,,,374.81,,593.20,645.78,875.26,189.71
Effective Total Throughput (tokens/sec),4684.94,0.00,9533.52,,,,,,4630.45,,5349.52,5627.39,6126.34,665.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,47.08,25.00,97.00,30132.00,27.00,30.00,33.00,37.00,44.00,54.25,67.00,73.00,88.00,13.61
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.97,6.75,23.48,7658.43,7.35,7.98,8.61,9.59,11.18,13.61,16.62,18.08,21.41,3.16
HTTP Data Sent (KB),0.33,0.17,0.70,210.24,0.18,0.21,0.23,0.26,0.31,0.38,0.45,0.49,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2129.75,890.78,4514.28,1363038.01,1111.03,1330.76,1442.47,1702.86,1990.93,2424.60,3021.17,3260.68,3964.62,610.18
HTTP Receiving (ms),1979.54,699.88,4366.13,1266908.29,942.74,1173.95,1303.33,1551.45,1845.31,2268.11,2856.37,3113.52,3824.29,611.17
HTTP Sending (ms),0.14,0.11,0.22,91.06,0.11,0.12,0.12,0.13,0.14,0.16,0.17,0.18,0.19,0.02
HTTP Total Time (ms),2129.75,890.78,4514.28,1363038.01,1111.03,1330.76,1442.47,1702.86,1990.93,2424.60,3021.17,3260.68,3964.62,610.18
HTTP Waiting (TTFB) (ms),150.06,112.22,191.52,96038.67,113.38,114.83,115.68,120.15,149.42,177.70,184.75,190.60,191.21,24.88
Input Sequence Length (tokens),60.42,23.00,141.00,38670.00,26.00,32.00,36.00,44.00,57.00,73.00,91.00,101.00,122.22,21.35
