Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3653.43,0.00,7125.71,,,,,,3558.01,,6636.44,6726.25,6846.44,2039.76
Active Decode Throughput Per User (tokens/sec/user),158.13,0.00,1034.90,,,,,,166.08,,210.89,294.02,632.06,103.62
Active Prefill Throughput (tokens/sec),1771.51,88.05,5285.48,,,,,,1371.16,,5142.51,5285.48,5285.48,1544.49
Active Prefill Throughput Per User (tokens/sec/user),343.81,88.05,702.37,,,,,,360.55,,505.91,598.89,679.90,144.36
Active Total Throughput (tokens/sec),4344.34,164.88,6057.06,,,,,,4903.35,,5394.08,5696.87,6057.06,1387.37
Credit-to-Start Latency (ms),0.95,0.66,1.29,60.50,0.66,0.68,0.72,0.77,0.98,1.07,1.15,1.22,1.27,0.17
Decode Duration (ms),1742.04,775.29,2903.92,111490.36,896.45,1114.04,1261.96,1382.18,1631.15,2031.82,2435.36,2608.30,2874.81,489.98
E2E Output Token Throughput (tokens/sec/user),133.90,77.02,206.32,8569.56,79.12,86.45,95.42,107.73,133.38,153.63,177.36,182.10,196.23,30.59
Effective Concurrency,27.72,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,8.26
Effective Decode Concurrency,23.90,0.00,32.00,,,,,,29.00,,32.00,32.00,32.00,10.12
Effective Decode Throughput (tokens/sec),3497.92,0.00,7125.71,,,,,,2698.35,,6626.81,6726.25,6846.44,2127.79
Effective Decode Throughput Per User (tokens/sec/user),151.40,0.00,1034.90,,,,,,162.29,,210.61,274.01,632.06,106.29
Effective Latency (CO-aware) (ms),2021.65,1242.06,3324.69,129385.81,1307.57,1406.84,1444.57,1666.22,1920.22,2377.70,2684.15,2963.99,3237.93,492.80
Effective Prefill Concurrency,3.82,0.00,32.00,,,,,,0.00,,8.00,31.00,32.00,8.17
Effective Prefill Throughput (tokens/sec),843.88,0.00,5285.48,,,,,,0.00,,2595.84,5142.51,5285.48,1385.33
Effective Prefill Throughput Per User (tokens/sec/user),163.78,0.00,702.37,,,,,,0.00,,457.05,505.91,679.90,198.53
Effective Total Throughput (tokens/sec),4341.80,0.00,6057.06,,,,,,4903.35,,5394.08,5696.87,6057.06,1390.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.52,28.00,81.00,3233.00,30.52,33.15,35.30,40.00,47.00,60.25,70.00,73.85,77.85,13.18
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.96,0.00,15.10,61.56,0.00,0.00,0.00,0.00,0.66,1.49,1.58,1.72,6.71,1.93
HTTP Connection Overhead (ms),0.96,0.00,15.10,61.56,0.00,0.00,0.00,0.00,0.66,1.49,1.58,1.72,6.71,1.93
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),12.79,7.56,19.85,818.29,8.17,8.79,9.32,10.28,12.09,15.09,17.30,18.21,19.19,3.06
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2020.57,1240.56,3323.49,129316.62,1306.41,1405.63,1443.39,1665.21,1919.24,2376.39,2682.97,2962.80,3236.64,492.75
