Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),6335.80,23.65,18149.04,,,,,,6459.64,,6718.05,6823.05,8836.06,1219.45
Active Decode Throughput Per User (tokens/sec/user),199.21,23.65,570.45,,,,,,201.86,,209.96,213.35,279.57,35.14
Active Prefill Throughput (tokens/sec),12083.02,304.32,14236.66,,,,,,11318.15,,14236.66,14236.66,14236.66,2503.16
Active Prefill Throughput Per User (tokens/sec/user),396.06,283.03,743.48,,,,,,353.69,,446.63,446.63,446.63,49.94
Active Total Throughput (tokens/sec),7118.20,202.33,14236.66,,,,,,6473.10,,11318.15,12072.88,14236.66,1981.13
Credit-to-Start Latency (ms),2.67,1.01,22.45,170.80,1.02,1.03,1.04,1.12,1.38,2.78,3.25,4.93,21.91,3.86
Decode Duration (ms),1261.87,1259.36,1293.50,80759.44,1259.37,1259.43,1259.44,1259.56,1262.96,1263.11,1263.17,1263.20,1274.46,4.36
E2E Output Token Throughput (tokens/sec/user),180.57,177.86,184.93,11556.48,178.20,178.45,178.46,178.51,180.88,182.49,182.52,182.74,184.72,2.11
Effective Concurrency,31.85,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,1.95
Effective Decode Concurrency,28.35,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,10.13
Effective Decode Throughput (tokens/sec),5728.14,0.00,18149.04,,,,,,6440.56,,6706.67,6810.02,8698.60,2196.63
Effective Decode Throughput Per User (tokens/sec/user),180.10,0.00,570.45,,,,,,201.27,,209.65,212.93,274.18,67.51
Effective Latency (CO-aware) (ms),1420.51,1405.16,1436.06,90912.48,1405.20,1405.26,1405.46,1405.74,1418.15,1435.22,1435.58,1435.73,1436.01,14.59
Effective Prefill Concurrency,3.50,0.00,32.00,,,,,,0.00,,31.00,32.00,32.00,9.92
Effective Prefill Throughput (tokens/sec),1381.93,0.00,14236.66,,,,,,0.00,,11318.15,12072.88,14236.66,3937.61
Effective Prefill Throughput Per User (tokens/sec/user),45.30,0.00,743.48,,,,,,0.00,,353.69,428.78,446.63,127.18
Effective Total Throughput (tokens/sec),7110.07,0.00,14236.66,,,,,,6473.10,,11318.15,12072.88,14236.66,1994.54
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.97,254.00,256.00,16382.00,255.26,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.25
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.04,0.00,20.05,66.40,0.00,0.00,0.00,0.00,0.67,1.48,1.59,1.68,8.56,2.51
HTTP Connection Overhead (ms),1.04,0.00,20.05,66.40,0.00,0.00,0.00,0.00,0.67,1.48,1.59,1.68,8.56,2.51
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),59.73,58.88,59.90,3822.68,59.29,59.63,59.63,59.68,59.75,59.79,59.85,59.86,59.90,0.13
HTTP Data Sent (KB),0.36,0.24,0.67,23.10,0.24,0.25,0.26,0.29,0.35,0.40,0.49,0.56,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1417.69,1384.26,1434.70,90732.22,1385.76,1400.77,1402.49,1402.73,1415.25,1433.88,1434.26,1434.32,1434.64,16.39
HTTP Receiving (ms),1261.89,1259.37,1293.52,80760.91,1259.38,1259.44,1259.46,1259.58,1263.00,1263.15,1263.21,1263.23,1274.48,4.36
HTTP Sending (ms),1.34,0.19,20.41,85.94,0.19,0.20,0.21,0.23,0.99,1.85,2.01,2.11,8.96,2.54
HTTP Total Time (ms),1418.73,1384.26,1453.90,90798.61,1385.76,1400.77,1402.49,1402.73,1416.01,1435.40,1435.80,1435.96,1442.87,17.55
HTTP Waiting (TTFB) (ms),154.46,109.62,169.61,9885.37,118.96,133.55,142.47,143.03,147.40,168.93,169.16,169.28,169.51,14.82
Input Sequence Length (tokens),61.52,28.00,129.00,3937.00,29.26,34.45,38.60,45.75,59.00,70.00,91.60,101.10,118.92,20.70
Inter Chunk Latency (ms),4.95,1.59,42.28,80759.44,3.00,4.66,4.74,4.86,4.94,5.04,5.12,5.22,6.97,0.64
Inter Token Latency (ms),4.95,4.94,5.07,316.72,4.94,4.94,4.94,4.94,4.95,4.95,4.95,4.95,5.01,0.02
Output Sequence Length (tokens),255.98,255.00,256.00,16383.00,255.63,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Count (tokens),71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,0.00
Output Token Throughput Per User (tokens/sec/user),202.07,197.14,202.48,12932.58,199.64,201.87,201.87,201.88,201.91,202.45,202.47,202.47,202.48,0.69
Prefill Throughput Per User (tokens/sec/user),399.29,162.92,894.94,25554.81,170.80,223.83,241.72,310.10,363.07,447.46,613.30,662.33,799.52,144.66
Reasoning Token Count (tokens),254.88,184.00,256.00,16312.00,229.36,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,8.93
Request Latency (ms),1417.84,1384.33,1434.94,90741.67,1385.85,1400.86,1402.58,1402.82,1415.43,1434.07,1434.46,1434.54,1434.88,16.45
Time to First Output Token (ms),1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,1087.54,0.00
Time to First Token (ms),155.97,109.94,171.86,9982.24,119.25,133.93,142.85,143.35,154.26,170.96,171.36,171.44,171.67,15.76
Time to Second Token (ms),2.51,1.59,42.28,160.68,1.59,1.66,1.67,1.76,1.79,1.83,1.85,1.94,20.57,5.07
Tokens In Flight (tokens),5617.34,0.00,10150.00,,,,,,5582.45,,9260.89,9708.95,10028.99,2585.68

Metric,Value
Benchmark Duration (sec),2.85
Input Token Throughput (tokens/sec),1381.93
Output Token Throughput (tokens/sec),5750.61
Request Count,64.00
Request Throughput (requests/sec),22.46
Total Input Sequence Length (tokens),3937.00
Total Output Sequence Length (tokens),16383.00
Total Output Tokens (tokens),71.00
Total Reasoning Tokens (tokens),16312.00
Total Token Throughput (tokens/sec),7132.53
