Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),5939.29,0.00,21924.79,,,,,,6467.84,,6773.29,6979.43,9202.47,1939.46
Active Decode Throughput Per User (tokens/sec/user),190.07,0.00,8057.59,,,,,,202.25,,212.40,221.13,318.17,68.46
Active Prefill Throughput (tokens/sec),10815.45,198.29,19087.98,,,,,,13550.34,,16753.56,18480.77,19087.98,6286.13
Active Prefill Throughput Per User (tokens/sec/user),635.82,198.29,2398.42,,,,,,481.56,,1251.89,1637.77,2398.42,407.47
Active Total Throughput (tokens/sec),7117.71,192.32,19284.10,,,,,,6425.57,,7615.21,14677.82,18477.83,2530.14
Credit-to-Start Latency (ms),1.05,0.58,14.32,672.00,0.62,0.65,0.70,0.76,0.88,1.10,1.46,1.67,3.77,0.80
Decode Duration (ms),1285.60,1246.92,1506.44,822786.08,1247.53,1253.45,1254.80,1257.83,1279.54,1306.59,1324.77,1356.75,1380.74,33.64
E2E Output Token Throughput (tokens/sec/user),181.27,164.85,190.96,116014.89,166.45,168.55,175.47,178.00,183.33,184.55,185.07,187.41,187.73,5.17
Effective Concurrency,31.89,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,1.30
Effective Decode Concurrency,29.01,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.01
Effective Decode Throughput (tokens/sec),5753.50,0.00,21924.79,,,,,,6460.38,,6765.84,6960.79,9085.82,2170.90
Effective Decode Throughput Per User (tokens/sec/user),184.12,0.00,8057.59,,,,,,202.05,,212.09,220.15,316.78,75.07
Effective Latency (CO-aware) (ms),1414.41,1341.67,1554.20,905223.41,1364.76,1366.91,1384.36,1387.89,1397.82,1439.38,1459.99,1521.07,1543.66,42.29
Effective Prefill Concurrency,2.88,0.00,32.00,,,,,,0.00,,1.00,31.00,32.00,8.90
Effective Prefill Throughput (tokens/sec),1363.35,0.00,19087.98,,,,,,0.00,,1637.77,14524.33,18477.83,4227.02
Effective Prefill Throughput Per User (tokens/sec/user),80.15,0.00,2398.42,,,,,,0.00,,414.94,537.56,1483.66,255.86
Effective Total Throughput (tokens/sec),7116.85,0.00,19284.10,,,,,,6425.57,,7615.21,14677.82,18477.83,2531.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.68,250.00,256.00,163636.00,251.00,254.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,0.90
