Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),782.40,0.00,2755.23,,,,,,780.58,,995.07,1014.41,1232.13,184.95
Active Decode Throughput Per User (tokens/sec/user),782.40,0.00,2755.23,,,,,,780.58,,995.07,1014.41,1232.13,184.95
Active Prefill Throughput (tokens/sec),561.26,111.75,2632.88,,,,,,111.75,,1452.12,1787.12,2632.88,631.09
Active Prefill Throughput Per User (tokens/sec/user),561.26,111.75,2632.88,,,,,,111.75,,1452.12,1787.12,2632.88,631.09
Active Total Throughput (tokens/sec),725.07,111.75,2632.88,,,,,,763.15,,1000.90,1025.97,1787.12,365.31
Credit-to-Start Latency (ms),0.81,0.63,1.13,8.13,0.64,0.66,0.69,0.71,0.75,0.90,1.00,1.07,1.12,0.15
Decode Duration (ms),325.79,254.77,518.52,3257.91,254.96,255.71,256.64,271.34,305.92,338.85,410.32,464.42,507.70,77.03
E2E Output Token Throughput (tokens/sec/user),643.55,297.07,865.72,6435.53,311.57,369.55,442.04,520.22,678.26,790.02,854.48,860.10,864.59,175.96
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.74,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.44
Effective Decode Throughput (tokens/sec),577.24,0.00,2755.23,,,,,,735.05,,978.90,1004.82,1180.37,379.03
Effective Decode Throughput Per User (tokens/sec/user),577.24,0.00,2755.23,,,,,,735.05,,978.90,1004.82,1180.37,379.03
Effective Latency (CO-aware) (ms),440.63,296.63,862.87,4406.33,297.00,298.51,300.39,325.79,378.24,493.90,589.84,726.35,835.57,163.66
Effective Prefill Concurrency,0.26,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.44
Effective Prefill Throughput (tokens/sec),144.93,0.00,2632.88,,,,,,0.00,,532.31,1025.97,1787.12,403.96
Effective Prefill Throughput Per User (tokens/sec/user),144.93,0.00,2632.88,,,,,,0.00,,532.31,1025.97,1787.12,403.96
Effective Total Throughput (tokens/sec),722.17,0.00,2632.88,,,,,,763.15,,1000.90,1025.97,1787.12,367.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.16,0.00,1.60,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.88,1.46,0.48
HTTP Connection Overhead (ms),0.16,0.00,1.60,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.88,1.46,0.48
