Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),879.78,0.00,4028.89,,,,,,864.31,,1209.28,1316.48,1580.77,243.95
Active Decode Throughput Per User (tokens/sec/user),879.78,0.00,4028.89,,,,,,864.31,,1209.28,1316.48,1580.77,243.95
Active Prefill Throughput (tokens/sec),1498.09,609.47,3120.70,,,,,,1382.41,,2214.21,2437.47,2535.67,497.70
Active Prefill Throughput Per User (tokens/sec/user),1498.09,609.47,3120.70,,,,,,1382.41,,2214.21,2437.47,2535.67,497.70
Active Total Throughput (tokens/sec),954.44,497.38,3120.70,,,,,,900.47,,1315.65,1647.83,2245.48,343.09
Credit-to-Start Latency (ms),0.66,0.45,0.92,66.08,0.46,0.50,0.54,0.60,0.66,0.72,0.77,0.84,0.87,0.10
Decode Duration (ms),289.84,152.18,512.68,28984.49,174.83,181.22,200.46,238.51,277.00,327.88,404.54,455.27,487.31,77.75
E2E Output Token Throughput (tokens/sec/user),818.13,463.30,1341.74,81813.37,487.22,518.69,569.19,697.60,809.14,924.29,1067.11,1138.40,1202.35,182.04
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),770.37,0.00,4028.89,,,,,,817.24,,1170.58,1292.35,1549.79,369.32
Effective Decode Throughput Per User (tokens/sec/user),770.37,0.00,4028.89,,,,,,817.24,,1170.58,1292.35,1549.79,369.32
Effective Latency (CO-aware) (ms),330.31,191.35,553.42,33030.96,213.62,225.57,240.65,277.61,317.01,367.21,450.49,494.20,526.10,78.22
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.33
Effective Prefill Throughput (tokens/sec),180.15,0.00,3120.70,,,,,,0.00,,1031.92,1550.83,2245.48,516.92
Effective Prefill Throughput Per User (tokens/sec/user),180.15,0.00,3120.70,,,,,,0.00,,1031.92,1550.83,2245.48,516.92
Effective Total Throughput (tokens/sec),950.52,0.00,3120.70,,,,,,900.46,,1315.65,1636.74,2245.48,347.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
