Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),891.76,0.00,3916.83,,,,,,878.00,,1197.22,1308.67,1508.17,240.46
Active Decode Throughput Per User (tokens/sec/user),891.76,0.00,3916.83,,,,,,878.00,,1197.22,1308.67,1508.17,240.46
Active Prefill Throughput (tokens/sec),1551.29,630.76,3029.84,,,,,,1452.92,,2368.20,2450.00,2563.72,519.44
Active Prefill Throughput Per User (tokens/sec/user),1551.29,630.76,3029.84,,,,,,1452.92,,2368.20,2450.00,2563.72,519.44
Active Total Throughput (tokens/sec),969.91,518.94,3029.84,,,,,,912.48,,1325.88,1670.66,2425.76,353.14
Credit-to-Start Latency (ms),0.71,0.52,1.01,70.73,0.53,0.58,0.60,0.65,0.70,0.75,0.85,0.89,1.00,0.10
Decode Duration (ms),285.95,149.49,491.39,28595.15,167.52,184.51,201.12,233.85,273.84,329.67,394.28,450.85,469.38,75.53
E2E Output Token Throughput (tokens/sec/user),830.28,483.33,1351.27,83027.92,504.65,523.60,590.30,696.34,820.15,941.96,1079.46,1151.72,1241.28,182.86
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),782.45,0.00,3916.83,,,,,,831.48,,1160.97,1292.89,1502.18,369.13
Effective Decode Throughput Per User (tokens/sec/user),782.45,0.00,3916.83,,,,,,831.48,,1160.97,1292.89,1502.18,369.13
Effective Latency (CO-aware) (ms),325.10,190.19,530.35,32509.78,207.00,222.97,237.88,272.42,312.81,367.80,434.49,489.62,508.14,75.77
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),182.97,0.00,3029.84,,,,,,0.00,,1000.33,1600.29,2425.76,531.21
