Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),812.71,0.00,2248.50,,,,,,814.86,,1024.29,1046.00,1424.54,199.16
Active Decode Throughput Per User (tokens/sec/user),812.71,0.00,2248.50,,,,,,814.86,,1024.29,1046.00,1424.54,199.16
Active Prefill Throughput (tokens/sec),572.06,107.13,3389.54,,,,,,107.13,,1656.63,2254.50,3389.54,752.78
Active Prefill Throughput Per User (tokens/sec/user),572.06,107.13,3389.54,,,,,,107.13,,1656.63,2254.50,3389.54,752.78
Active Total Throughput (tokens/sec),749.44,107.13,3389.54,,,,,,790.42,,1051.56,1051.56,2254.50,427.60
Credit-to-Start Latency (ms),0.81,0.67,1.19,8.10,0.68,0.68,0.68,0.70,0.73,0.82,1.07,1.13,1.18,0.17
Decode Duration (ms),313.64,242.50,499.47,3136.41,243.01,245.07,247.64,260.50,295.31,326.78,395.08,447.28,489.03,74.48
E2E Output Token Throughput (tokens/sec/user),675.40,292.11,926.13,6753.97,309.23,377.72,463.32,525.99,713.21,828.87,918.01,922.07,925.31,195.53
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.73,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.44
Effective Decode Throughput (tokens/sec),596.71,0.00,2248.50,,,,,,759.34,,1007.22,1041.12,1116.40,397.51
Effective Decode Throughput Per User (tokens/sec/user),596.71,0.00,2248.50,,,,,,759.34,,1007.22,1041.12,1116.40,397.51
Effective Latency (CO-aware) (ms),426.33,277.15,877.56,4263.28,277.39,278.35,279.56,310.54,359.68,490.06,566.09,721.83,846.42,172.56
Effective Prefill Concurrency,0.26,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.44
Effective Prefill Throughput (tokens/sec),149.82,0.00,3389.54,,,,,,0.00,,504.23,952.74,2254.50,460.08
Effective Prefill Throughput Per User (tokens/sec/user),149.82,0.00,3389.54,,,,,,0.00,,504.23,952.74,2254.50,460.08
Effective Total Throughput (tokens/sec),746.53,0.00,3389.54,,,,,,790.42,,1051.56,1051.56,2254.50,429.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.15,0.00,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.85,1.40,0.46
HTTP Connection Overhead (ms),0.15,0.00,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.85,1.40,0.46
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
