Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),947.11,0.00,14516.04,,,,,,923.77,,1271.46,1407.22,1807.61,280.79
Active Decode Throughput Per User (tokens/sec/user),947.11,0.00,14516.04,,,,,,923.77,,1271.46,1407.22,1807.61,280.79
Active Prefill Throughput (tokens/sec),1826.77,770.81,3638.11,,,,,,1682.32,,2761.45,2978.42,3156.73,620.22
Active Prefill Throughput Per User (tokens/sec/user),1826.77,770.81,3638.11,,,,,,1682.32,,2761.45,2978.42,3156.73,620.22
Active Total Throughput (tokens/sec),1042.22,540.79,3638.11,,,,,,978.01,,1454.48,1851.26,2805.29,412.59
Credit-to-Start Latency (ms),0.65,0.45,1.17,64.53,0.47,0.50,0.51,0.55,0.64,0.69,0.79,0.82,1.08,0.12
Decode Duration (ms),269.24,137.74,471.54,26924.15,160.61,174.89,186.79,219.61,257.48,313.80,366.51,418.95,448.04,70.92
E2E Output Token Throughput (tokens/sec/user),892.93,508.77,1513.47,89292.88,532.95,567.94,642.51,741.91,885.22,1014.60,1172.33,1237.68,1326.57,199.54
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),841.07,0.00,14516.04,,,,,,877.77,,1236.21,1386.34,1780.22,399.00
Effective Decode Throughput Per User (tokens/sec/user),841.07,0.00,14516.04,,,,,,877.77,,1236.21,1386.34,1780.22,399.00
Effective Latency (CO-aware) (ms),302.53,169.66,503.69,30252.91,193.56,207.46,218.99,252.89,289.90,345.74,398.98,451.25,480.93,70.88
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),196.68,0.00,3638.11,,,,,,0.00,,1009.46,1761.08,2805.29,601.68
Effective Prefill Throughput Per User (tokens/sec/user),196.68,0.00,3638.11,,,,,,0.00,,1009.46,1761.08,2805.29,601.68
Effective Total Throughput (tokens/sec),1037.74,0.00,3638.11,,,,,,977.57,,1454.48,1851.26,2805.29,417.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.92,6.97,20.07,1191.59,7.76,8.07,8.67,10.04,11.50,13.36,15.95,17.90,19.20,2.81
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
