Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),368.55,0.00,848.21,,,,,,368.12,,415.92,427.69,485.68,41.58
Active Decode Throughput Per User (tokens/sec/user),368.55,0.00,848.21,,,,,,368.12,,415.92,427.69,485.68,41.58
Active Prefill Throughput (tokens/sec),853.24,430.07,2349.96,,,,,,702.35,,1388.44,2349.96,2349.96,475.23
Active Prefill Throughput Per User (tokens/sec/user),853.24,430.07,2349.96,,,,,,702.35,,1388.44,2349.96,2349.96,475.23
Active Total Throughput (tokens/sec),415.95,301.09,2349.96,,,,,,371.71,,427.50,702.35,1388.44,210.10
Credit-to-Start Latency (ms),0.80,0.68,1.09,8.05,0.68,0.70,0.71,0.73,0.75,0.82,0.98,1.03,1.08,0.12
Decode Duration (ms),691.91,596.49,846.93,6919.06,599.69,612.47,628.46,632.42,686.78,704.77,800.86,823.89,842.32,74.14
E2E Output Token Throughput (tokens/sec/user),337.31,277.92,390.07,3373.05,279.75,287.07,296.23,309.02,342.56,362.60,371.96,381.01,388.26,33.70
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),331.75,0.00,848.21,,,,,,365.50,,412.14,427.40,464.36,117.31
Effective Decode Throughput Per User (tokens/sec/user),331.75,0.00,848.21,,,,,,365.50,,412.14,427.40,464.36,117.31
Effective Latency (CO-aware) (ms),767.72,657.06,922.23,7677.18,660.27,673.15,689.24,707.24,748.09,830.99,865.31,893.77,916.54,80.05
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),83.26,0.00,2349.96,,,,,,0.00,,0.00,702.35,1388.44,293.51
Effective Prefill Throughput Per User (tokens/sec/user),83.26,0.00,2349.96,,,,,,0.00,,0.00,702.35,1388.44,293.51
Effective Total Throughput (tokens/sec),415.02,0.00,2349.96,,,,,,371.71,,427.50,702.35,1388.44,210.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,39.30,34.00,48.00,393.00,34.18,34.90,35.80,36.00,39.00,40.00,45.30,46.65,47.73,4.12
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.15,0.00,1.48,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.82,1.35,0.44
HTTP Connection Overhead (ms),0.15,0.00,1.48,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.82,1.35,0.44
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),10.22,8.91,12.27,102.23,8.96,9.14,9.36,9.47,10.11,10.47,11.63,11.95,12.21,0.98
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),766.84,656.23,920.93,7668.35,659.44,672.29,688.36,706.27,747.26,830.20,864.50,892.72,915.29,79.99
HTTP Receiving (ms),691.91,596.49,846.97,6919.11,599.69,612.48,628.46,632.42,686.78,704.77,800.86,823.91,842.35,74.14
HTTP Sending (ms),0.32,0.12,1.88,3.16,0.12,0.12,0.13,0.13,0.14,0.16,0.35,1.12,1.73,0.52
HTTP Total Time (ms),766.98,656.23,922.41,7669.84,659.44,672.29,688.36,706.27,747.26,830.20,864.65,893.53,916.63,80.28
HTTP Waiting (TTFB) (ms),74.61,44.47,226.08,746.08,44.51,44.67,44.88,56.97,59.41,63.54,87.48,156.78,212.22,51.09
Input Sequence Length (tokens),64.00,28.00,113.00,640.00,28.81,32.05,36.10,45.50,60.50,69.75,106.70,109.85,112.37,26.12
Inter Chunk Latency (ms),18.07,12.91,21.17,6919.06,14.56,17.65,17.78,17.98,18.14,18.33,18.49,18.61,19.78,0.73
Inter Token Latency (ms),2.71,2.34,3.32,27.13,2.35,2.40,2.46,2.48,2.69,2.76,3.14,3.23,3.30,0.29
Output Sequence Length (tokens),256.00,256.00,256.00,2560.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
