Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),390.89,0.00,1307.51,,,,,,394.09,,489.21,542.86,584.94,81.80
Active Decode Throughput Per User (tokens/sec/user),390.89,0.00,1307.51,,,,,,394.09,,489.21,542.86,584.94,81.80
Active Prefill Throughput (tokens/sec),882.11,355.98,1701.99,,,,,,814.55,,1316.89,1423.48,1674.40,305.95
Active Prefill Throughput Per User (tokens/sec/user),882.11,355.98,1701.99,,,,,,814.55,,1316.89,1423.48,1674.40,305.95
Active Total Throughput (tokens/sec),437.01,201.72,1701.99,,,,,,410.29,,560.85,800.57,1316.15,186.75
Credit-to-Start Latency (ms),0.83,0.67,1.25,83.48,0.68,0.69,0.70,0.75,0.82,0.88,0.97,1.05,1.16,0.11
Decode Duration (ms),652.36,436.96,1264.12,65236.22,453.26,456.21,503.03,566.15,611.62,731.76,826.27,922.10,1028.05,139.24
E2E Output Token Throughput (tokens/sec/user),367.32,192.26,501.14,36731.77,232.63,261.73,286.45,318.31,377.75,403.87,456.56,485.10,490.59,63.04
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.29
Effective Decode Throughput (tokens/sec),353.39,0.00,1307.51,,,,,,383.69,,476.97,537.34,582.20,138.93
Effective Decode Throughput Per User (tokens/sec/user),353.39,0.00,1307.51,,,,,,383.69,,476.97,537.34,582.20,138.93
Effective Latency (CO-aware) (ms),720.80,511.67,1332.49,72079.61,522.56,528.63,561.60,634.59,678.63,804.99,894.49,978.84,1101.68,139.06
Effective Prefill Concurrency,0.09,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),82.64,0.00,1701.99,,,,,,0.00,,0.00,800.57,1316.15,273.56
Effective Prefill Throughput Per User (tokens/sec/user),82.64,0.00,1701.99,,,,,,0.00,,0.00,800.57,1316.15,273.56
Effective Total Throughput (tokens/sec),436.02,0.00,1701.99,,,,,,410.29,,560.85,800.57,1316.15,187.69
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36.30,25.00,70.00,3630.00,25.99,26.00,28.00,32.00,34.00,40.25,45.00,50.10,57.13,7.57
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),9.48,6.86,17.30,948.41,7.02,7.10,7.56,8.35,9.01,10.45,11.53,12.74,14.46,1.77
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),719.89,510.76,1331.44,71989.21,521.75,527.67,560.65,633.78,677.66,804.19,893.64,978.06,1100.79,139.05
HTTP Receiving (ms),652.37,436.96,1264.12,65236.60,453.26,456.21,503.03,566.16,611.62,731.76,826.28,922.10,1028.05,139.24
HTTP Sending (ms),0.15,0.11,0.20,14.85,0.12,0.12,0.13,0.13,0.14,0.17,0.18,0.18,0.20,0.02
HTTP Total Time (ms),719.89,510.76,1331.44,71989.21,521.75,527.67,560.65,633.78,677.66,804.19,893.64,978.06,1100.79,139.05
HTTP Waiting (TTFB) (ms),67.38,54.13,86.21,6737.75,54.41,55.54,58.97,65.92,67.40,70.03,72.31,74.11,85.70,5.47
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),18.48,11.57,23.24,65236.22,13.50,17.89,18.09,18.32,18.59,18.89,19.13,19.27,19.55,0.97
Inter Token Latency (ms),2.56,1.71,4.96,255.83,1.78,1.79,1.97,2.22,2.40,2.87,3.24,3.62,4.03,0.55
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),406.58,201.72,583.58,40657.98,248.15,276.54,308.61,348.48,417.00,450.41,506.95,558.96,562.60,76.79
Prefill Throughput Per User (tokens/sec/user),883.90,355.98,1702.00,88389.90,421.10,459.59,520.54,665.07,819.42,1103.81,1316.22,1426.24,1674.67,305.75
Reasoning Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),719.96,510.84,1331.54,71996.13,521.82,527.73,560.71,633.86,677.73,804.25,893.70,978.13,1100.87,139.06
Time to First Token (ms),67.60,54.33,86.41,6759.91,54.59,55.80,59.17,66.12,67.60,70.27,72.51,74.37,85.89,5.47
Time to Second Token (ms),13.59,11.57,15.67,1359.21,11.99,12.98,13.12,13.38,13.64,13.84,14.01,14.19,14.28,0.47
Tokens In Flight (tokens),173.68,0.00,383.00,,,,,,172.40,,284.60,302.27,332.78,81.97

Metric,Value
Benchmark Duration (sec),72.16
Input Token Throughput (tokens/sec),82.64
Output Token Throughput (tokens/sec),354.77
Request Count,100.00
Request Throughput (requests/sec),1.39
Total Input Sequence Length (tokens),5963.00
Total Output Sequence Length (tokens),25600.00
Total Reasoning Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),437.41
