Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),393.82,0.00,1372.82,,,,,,397.22,,493.41,544.72,586.08,81.49
Active Decode Throughput Per User (tokens/sec/user),393.82,0.00,1372.82,,,,,,397.22,,493.41,544.72,586.08,81.49
Active Prefill Throughput (tokens/sec),989.98,360.39,1941.05,,,,,,943.03,,1495.43,1662.37,1939.45,357.50
Active Prefill Throughput Per User (tokens/sec/user),989.98,360.39,1941.05,,,,,,943.03,,1495.43,1662.37,1939.45,357.50
Active Total Throughput (tokens/sec),444.55,204.43,1941.05,,,,,,403.32,,564.55,841.25,1448.19,210.23
Credit-to-Start Latency (ms),0.69,0.54,1.13,69.35,0.54,0.57,0.59,0.63,0.67,0.75,0.83,0.87,0.94,0.10
Decode Duration (ms),647.51,433.52,1247.38,64750.78,451.22,463.67,500.63,560.51,605.82,730.19,816.37,913.37,1018.05,137.49
E2E Output Token Throughput (tokens/sec/user),373.90,194.83,513.90,37389.84,237.22,266.07,291.49,323.20,385.44,411.21,464.60,497.68,512.19,64.92
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.91,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.28
Effective Decode Throughput (tokens/sec),359.62,0.00,1372.82,,,,,,388.14,,483.97,540.88,584.26,135.50
Effective Decode Throughput Per User (tokens/sec/user),359.62,0.00,1372.82,,,,,,388.14,,483.97,540.88,584.26,135.50
Effective Latency (CO-aware) (ms),708.43,498.98,1314.66,70843.49,500.53,515.15,551.69,623.35,664.96,792.78,878.97,963.05,1080.12,137.84
Effective Prefill Concurrency,0.08,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Prefill Throughput (tokens/sec),84.09,0.00,1941.05,,,,,,0.00,,0.00,841.25,1448.19,295.02
Effective Prefill Throughput Per User (tokens/sec/user),84.09,0.00,1941.05,,,,,,0.00,,0.00,841.25,1448.19,295.02
Effective Total Throughput (tokens/sec),443.72,0.00,1941.05,,,,,,403.32,,564.55,841.25,1448.19,210.92
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36.30,25.00,70.00,3630.00,25.99,26.00,28.00,32.00,34.00,40.25,45.00,50.10,57.13,7.57
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),9.48,6.86,17.30,948.41,7.02,7.10,7.56,8.35,9.01,10.45,11.53,12.74,14.46,1.77
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),707.68,498.08,1313.91,70768.04,499.76,514.34,550.95,622.49,664.12,792.08,878.20,962.12,1079.52,137.85
HTTP Receiving (ms),647.51,433.52,1247.38,64751.08,451.23,463.68,500.63,560.52,605.83,730.20,816.37,913.37,1018.05,137.49
HTTP Sending (ms),0.13,0.11,0.17,12.95,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.15,0.16,0.01
HTTP Total Time (ms),707.68,498.08,1313.91,70768.04,499.76,514.34,550.95,622.49,664.12,792.08,878.20,962.12,1079.52,137.85
HTTP Waiting (TTFB) (ms),60.04,47.60,82.06,6004.02,47.73,48.41,49.14,59.53,60.66,62.05,65.25,67.05,76.27,5.63
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),18.34,9.11,22.36,64750.78,13.71,17.77,17.94,18.16,18.43,18.73,18.98,19.14,19.46,0.90
Inter Token Latency (ms),2.54,1.70,4.89,253.92,1.77,1.82,1.96,2.20,2.38,2.86,3.20,3.58,3.99,0.54
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),409.49,204.43,588.21,40949.26,250.58,279.19,312.36,349.26,420.99,454.94,509.40,549.97,565.14,77.03
Prefill Throughput Per User (tokens/sec/user),998.12,360.39,1941.05,99811.64,466.78,512.68,586.06,725.26,943.90,1288.91,1496.89,1664.00,1939.46,359.61
Reasoning Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),707.74,498.15,1313.97,70774.15,499.81,514.39,551.01,622.55,664.18,792.14,878.25,962.19,1079.57,137.85
Time to First Token (ms),60.23,47.79,82.25,6023.37,47.91,48.59,49.34,59.74,60.86,62.26,65.47,67.25,76.46,5.63
Time to Second Token (ms),13.86,9.11,17.35,1385.74,11.17,12.99,13.34,13.49,13.93,14.28,14.48,14.60,14.75,0.80
Tokens In Flight (tokens),174.74,0.00,383.00,,,,,,173.49,,284.86,302.64,332.78,81.59

Metric,Value
Benchmark Duration (sec),70.91
Input Token Throughput (tokens/sec),84.09
Output Token Throughput (tokens/sec),361.03
Request Count,100.00
Request Throughput (requests/sec),1.41
Total Input Sequence Length (tokens),5963.00
Total Output Sequence Length (tokens),25600.00
Total Reasoning Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),445.13


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
