Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),317.83,0.00,947.37,,,,,,317.36,,329.27,333.70,341.36,14.68
Active Decode Throughput Per User (tokens/sec/user),317.83,0.00,947.37,,,,,,317.36,,329.27,333.70,341.36,14.68
Active Prefill Throughput (tokens/sec),2269.72,1051.15,3956.40,,,,,,2138.25,,3436.81,3610.54,3868.43,729.24
Active Prefill Throughput Per User (tokens/sec/user),2269.72,1051.15,3956.40,,,,,,2138.25,,3436.81,3610.54,3868.43,729.24
Active Total Throughput (tokens/sec),386.05,315.45,3956.40,,,,,,317.89,,318.03,318.09,2672.99,383.51
Credit-to-Start Latency (ms),1.00,0.66,2.84,200.46,0.76,0.79,0.82,0.89,0.97,1.11,1.20,1.25,1.32,0.19
Decode Duration (ms),802.23,801.34,806.13,160445.30,801.64,801.78,801.84,802.00,802.17,802.30,802.53,802.70,804.64,0.51
E2E Output Token Throughput (tokens/sec/user),307.93,302.96,308.86,61586.35,304.02,305.84,307.18,307.77,308.21,308.47,308.63,308.71,308.83,0.91
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),305.89,0.00,947.37,,,,,,317.12,,328.86,333.51,341.00,62.13
Effective Decode Throughput Per User (tokens/sec/user),305.89,0.00,947.37,,,,,,317.12,,328.86,333.51,341.00,62.13
Effective Latency (CO-aware) (ms),832.28,829.64,843.06,166456.17,829.90,830.17,830.29,830.85,831.55,832.75,834.66,838.13,840.94,2.37
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),79.11,0.00,3956.40,,,,,,0.00,,0.00,0.00,2672.99,437.99
Effective Prefill Throughput Per User (tokens/sec/user),79.11,0.00,3956.40,,,,,,0.00,,0.00,0.00,2672.99,437.99
Effective Total Throughput (tokens/sec),385.00,0.00,3956.40,,,,,,317.89,,318.03,318.09,2672.99,383.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.99,255.00,256.00,51198.00,255.99,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.10
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.72,59.42,59.93,11944.01,59.52,59.58,59.61,59.66,59.72,59.78,59.84,59.86,59.90,0.09
HTTP Data Sent (KB),0.35,0.20,0.72,70.46,0.21,0.23,0.24,0.27,0.33,0.41,0.50,0.55,0.65,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),831.22,828.80,842.05,166243.91,828.90,829.20,829.38,829.81,830.50,831.62,833.33,836.99,839.94,2.34
