Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),317.83,0.00,762.16,,,,,,317.36,,330.41,334.11,342.24,16.11
Active Decode Throughput Per User (tokens/sec/user),317.83,0.00,762.16,,,,,,317.36,,330.41,334.11,342.24,16.11
Active Prefill Throughput (tokens/sec),2257.77,1004.77,3874.21,,,,,,2177.06,,3355.59,3501.62,3874.21,717.71
Active Prefill Throughput Per User (tokens/sec/user),2257.77,1004.77,3874.21,,,,,,2177.06,,3355.59,3501.62,3874.21,717.71
Active Total Throughput (tokens/sec),387.87,316.93,3874.21,,,,,,317.93,,318.01,318.07,2541.29,386.74
Credit-to-Start Latency (ms),1.14,0.90,1.96,22.74,0.90,0.90,0.90,0.96,1.10,1.15,1.47,1.56,1.88,0.25
Decode Duration (ms),802.31,801.70,804.58,16046.15,801.73,801.86,801.88,801.94,802.07,802.27,802.56,804.24,804.51,0.72
E2E Output Token Throughput (tokens/sec/user),307.57,301.10,308.61,6151.37,301.98,305.48,306.59,307.33,308.11,308.44,308.47,308.48,308.59,1.65
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),305.45,0.00,762.16,,,,,,317.10,,330.05,334.02,341.29,63.50
Effective Decode Throughput Per User (tokens/sec/user),305.45,0.00,762.16,,,,,,317.10,,330.05,334.02,341.29,63.50
Effective Latency (CO-aware) (ms),833.50,830.62,851.75,16669.92,830.66,830.84,830.89,831.03,831.80,834.17,836.85,839.09,849.22,4.66
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),81.27,0.00,3874.21,,,,,,0.00,,0.00,0.00,2541.29,442.08
Effective Prefill Throughput Per User (tokens/sec/user),81.27,0.00,3874.21,,,,,,0.00,,0.00,0.00,2541.29,442.08
Effective Total Throughput (tokens/sec),386.72,0.00,3874.21,,,,,,317.93,,318.01,318.07,2541.29,386.74
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.95,255.00,256.00,5119.00,255.19,255.95,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.22
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.08,0.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.35,0.36
HTTP Connection Overhead (ms),0.08,0.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.35,0.36
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),59.74,59.54,59.83,1194.83,59.57,59.67,59.68,59.72,59.74,59.79,59.81,59.82,59.83,0.07
HTTP Data Sent (KB),0.39,0.25,0.61,7.79,0.26,0.26,0.27,0.34,0.38,0.42,0.54,0.55,0.60,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),832.29,829.46,849.97,16645.78,829.53,829.81,829.83,829.93,830.80,832.92,834.91,837.96,847.57,4.50
HTTP Receiving (ms),802.31,801.70,804.62,16046.27,801.74,801.87,801.88,801.94,802.08,802.27,802.56,804.24,804.54,0.73
HTTP Sending (ms),0.24,0.11,2.13,4.76,0.11,0.12,0.12,0.13,0.13,0.14,0.19,0.29,1.76,0.43
HTTP Total Time (ms),832.37,829.46,851.64,16647.45,829.53,829.81,829.83,829.93,830.80,832.92,834.91,838.04,848.92,4.84
HTTP Waiting (TTFB) (ms),29.74,27.22,43.22,594.75,27.26,27.40,27.59,27.78,28.38,29.47,32.82,35.39,41.66,3.63
Input Sequence Length (tokens),67.85,33.00,118.00,1357.00,33.38,34.90,41.30,59.75,65.50,72.50,102.00,111.35,116.67,21.50
Inter Chunk Latency (ms),3.15,1.58,7.58,16046.15,2.89,2.99,3.02,3.11,3.15,3.19,3.28,3.31,3.37,0.15
Inter Token Latency (ms),3.15,3.14,3.16,62.93,3.14,3.14,3.14,3.14,3.15,3.15,3.15,3.15,3.15,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),317.83,316.93,318.07,6356.67,316.96,317.07,317.73,317.85,317.93,317.98,318.00,318.01,318.06,0.29
Prefill Throughput Per User (tokens/sec/user),2276.14,1004.77,3874.20,45522.78,1049.76,1229.70,1417.07,1940.94,2247.93,2546.47,3370.19,3520.23,3803.41,707.16
Reasoning Token Count (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),832.36,829.52,850.21,16647.18,829.59,829.87,829.89,829.98,830.86,832.98,834.98,838.03,847.77,4.54
Time to First Token (ms),30.05,27.40,45.63,601.04,27.44,27.59,27.78,27.96,28.58,29.67,33.08,35.69,43.64,4.05
Time to Second Token (ms),1.88,1.58,2.23,37.65,1.59,1.60,1.67,1.76,1.88,2.04,2.07,2.11,2.21,0.17
Tokens In Flight (tokens),190.93,0.00,374.00,,,,,,191.00,,298.00,314.00,348.00,79.56

Metric,Value
Benchmark Duration (sec),16.69
Input Token Throughput (tokens/sec),81.27
Output Token Throughput (tokens/sec),306.65
Request Count,20.00
Request Throughput (requests/sec),1.20
Total Input Sequence Length (tokens),1357.00
Total Output Sequence Length (tokens),5120.00
Total Reasoning Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),387.92
