Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),303.60,0.00,5609.34,,,,,,303.19,,315.40,318.54,328.37,35.02
Active Decode Throughput Per User (tokens/sec/user),303.60,0.00,5609.34,,,,,,303.19,,315.40,318.54,328.37,35.02
Active Prefill Throughput (tokens/sec),2297.81,1007.62,4067.10,,,,,,2306.19,,3313.00,3570.00,4067.10,745.22
Active Prefill Throughput Per User (tokens/sec/user),2297.81,1007.62,4067.10,,,,,,2306.19,,3313.00,3570.00,4067.10,745.22
Active Total Throughput (tokens/sec),371.33,303.18,4067.10,,,,,,303.65,,303.77,304.01,2564.51,386.44
Credit-to-Start Latency (ms),1.07,0.79,2.03,21.34,0.80,0.84,0.92,0.94,1.02,1.10,1.18,1.27,1.87,0.24
Decode Duration (ms),839.91,838.80,841.08,16798.18,838.92,839.41,839.48,839.59,839.78,840.10,840.92,840.98,841.06,0.54
E2E Output Token Throughput (tokens/sec/user),294.45,288.46,295.33,5889.02,289.22,292.24,293.60,294.77,294.90,295.06,295.21,295.26,295.31,1.51
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),292.46,0.00,5609.34,,,,,,302.98,,315.09,318.41,328.15,66.63
Effective Decode Throughput Per User (tokens/sec/user),292.46,0.00,5609.34,,,,,,302.98,,315.09,318.41,328.15,66.63
Effective Latency (CO-aware) (ms),870.50,867.91,888.63,17410.09,867.92,867.96,868.14,868.66,869.01,869.68,873.85,876.94,886.29,4.59
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),77.82,0.00,4067.10,,,,,,0.00,,0.00,0.00,2564.51,437.68
Effective Prefill Throughput Per User (tokens/sec/user),77.82,0.00,4067.10,,,,,,0.00,,0.00,0.00,2564.51,437.68
Effective Total Throughput (tokens/sec),370.28,0.00,4067.10,,,,,,303.65,,303.77,304.01,2564.51,386.40
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.17,0.32
HTTP Connection Overhead (ms),0.07,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.17,0.32
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),59.75,59.67,59.83,1195.06,59.68,59.68,59.69,59.72,59.75,59.79,59.81,59.82,59.83,0.05
HTTP Data Sent (KB),0.39,0.25,0.61,7.79,0.26,0.26,0.27,0.34,0.38,0.42,0.54,0.55,0.60,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),869.36,866.77,887.26,17387.28,866.81,866.95,867.11,867.57,868.02,868.41,871.87,875.92,884.99,4.50
HTTP Receiving (ms),839.92,838.80,841.09,16798.32,838.93,839.42,839.48,839.60,839.79,840.11,840.95,840.99,841.07,0.54
HTTP Sending (ms),0.24,0.13,1.85,4.71,0.13,0.14,0.14,0.14,0.15,0.16,0.17,0.26,1.53,0.37
HTTP Total Time (ms),869.44,866.77,888.71,17388.73,866.81,866.95,867.11,867.57,868.02,868.41,871.87,875.99,886.16,4.79
HTTP Waiting (TTFB) (ms),29.21,27.02,44.47,584.25,27.03,27.08,27.16,27.37,27.86,28.42,32.80,35.84,42.74,4.01
Input Sequence Length (tokens),67.85,33.00,118.00,1357.00,33.38,34.90,41.30,59.75,65.50,72.50,102.00,111.35,116.67,21.50
