Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),548.51,0.00,2611.96,,,,,,548.68,,726.37,781.76,830.10,121.77
Active Decode Throughput Per User (tokens/sec/user),548.51,0.00,2611.96,,,,,,548.68,,726.37,781.76,830.10,121.77
Active Prefill Throughput (tokens/sec),850.41,123.37,2503.30,,,,,,522.57,,1710.69,2389.77,2503.30,717.43
Active Prefill Throughput Per User (tokens/sec/user),850.41,123.37,2503.30,,,,,,522.57,,1710.69,2389.77,2503.30,717.43
Active Total Throughput (tokens/sec),592.73,123.37,2503.30,,,,,,553.07,,778.45,1420.71,1791.72,313.85
Credit-to-Start Latency (ms),0.84,0.55,1.25,16.82,0.55,0.58,0.61,0.71,0.83,0.91,1.14,1.18,1.24,0.19
Decode Duration (ms),464.90,309.44,762.65,9297.93,312.89,326.67,335.51,410.67,454.77,518.65,579.03,599.45,730.01,102.40
E2E Output Token Throughput (tokens/sec/user),502.35,246.97,729.27,10047.10,260.08,312.49,368.31,430.10,510.42,555.40,675.04,694.62,722.34,119.41
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.85,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),466.66,0.00,2611.96,,,,,,524.02,,690.84,774.85,828.40,225.41
Effective Decode Throughput Per User (tokens/sec/user),466.66,0.00,2611.96,,,,,,524.02,,690.84,774.85,828.40,225.41
Effective Latency (CO-aware) (ms),545.52,351.86,1037.80,10910.45,355.33,369.18,380.00,461.91,502.74,596.27,697.52,822.19,994.68,157.34
Effective Prefill Concurrency,0.15,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.35
Effective Prefill Throughput (tokens/sec),124.17,0.00,2503.30,,,,,,0.00,,123.37,1420.71,1791.72,406.60
Effective Prefill Throughput Per User (tokens/sec/user),124.17,0.00,2503.30,,,,,,0.00,,123.37,1420.71,1791.72,406.60
Effective Total Throughput (tokens/sec),590.83,0.00,2503.30,,,,,,553.07,,778.45,1420.71,1791.72,315.13
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,53.40,36.00,87.00,1068.00,36.38,37.90,38.90,47.00,52.50,59.75,66.10,68.00,83.20,11.53
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.39,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.13,0.30
HTTP Connection Overhead (ms),0.07,0.00,1.39,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.13,0.30
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),13.47,9.48,21.30,269.49,9.57,9.92,10.07,12.04,13.33,14.82,16.47,16.89,20.42,2.68
HTTP Data Sent (KB),0.39,0.25,0.61,7.79,0.26,0.26,0.27,0.34,0.38,0.42,0.54,0.55,0.60,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),544.61,350.96,1036.35,10892.25,354.48,368.55,379.21,460.89,501.66,595.48,696.80,821.55,993.39,157.29
HTTP Receiving (ms),464.90,309.45,762.65,9298.06,312.89,326.67,335.52,410.67,454.77,518.66,579.03,599.45,730.01,102.40
HTTP Sending (ms),0.22,0.09,1.75,4.31,0.09,0.09,0.10,0.10,0.14,0.17,0.18,0.26,1.45,0.35
HTTP Total Time (ms),544.68,350.96,1037.75,10893.64,354.48,368.55,379.21,460.89,501.66,595.48,696.80,821.62,994.52,157.50
HTTP Waiting (TTFB) (ms),79.49,40.90,573.50,1589.89,40.95,41.14,41.24,41.97,42.64,46.22,73.51,243.03,507.40,120.08
Input Sequence Length (tokens),67.85,33.00,118.00,1357.00,33.38,34.90,41.30,59.75,65.50,72.50,102.00,111.35,116.67,21.50
Inter Chunk Latency (ms),8.87,3.45,11.82,9297.93,8.29,8.47,8.58,8.71,8.84,9.02,9.22,9.38,9.87,0.41
Inter Token Latency (ms),1.82,1.21,2.99,36.46,1.23,1.28,1.32,1.61,1.78,2.03,2.27,2.35,2.86,0.40
Output Sequence Length (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),573.53,334.36,824.07,11470.54,352.83,426.71,440.41,491.75,560.76,620.97,760.08,780.73,815.40,118.87
Prefill Throughput Per User (tokens/sec/user),1376.76,123.37,2503.29,27535.14,199.22,502.61,574.72,1060.81,1470.82,1665.10,1851.53,2395.44,2481.72,571.58
Reasoning Token Count (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),544.68,351.04,1036.55,10893.63,354.55,368.59,379.26,460.95,501.73,595.54,696.85,821.60,993.56,157.30
Time to First Token (ms),79.79,41.06,575.48,1595.70,41.10,41.29,41.48,42.18,42.84,46.39,73.74,243.29,509.04,120.45
Time to Second Token (ms),8.56,8.31,9.51,171.11,8.31,8.31,8.33,8.37,8.48,8.59,8.82,8.98,9.40,0.28
Tokens In Flight (tokens),175.73,0.00,374.00,,,,,,171.15,,290.86,309.58,344.46,83.38

Metric,Value
Benchmark Duration (sec),10.93
Input Token Throughput (tokens/sec),124.17
Output Token Throughput (tokens/sec),468.49
Request Count,20.00
Request Throughput (requests/sec),1.83
Total Input Sequence Length (tokens),1357.00
Total Output Sequence Length (tokens),5120.00
Total Reasoning Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),592.66
