Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),629.86,0.00,2308.35,,,,,,627.28,,830.02,880.49,1006.86,159.15
Active Decode Throughput Per User (tokens/sec/user),629.86,0.00,2308.35,,,,,,627.28,,830.02,880.49,1006.86,159.15
Active Prefill Throughput (tokens/sec),1544.50,644.68,2768.88,,,,,,1436.09,,2355.77,2458.10,2627.35,505.19
Active Prefill Throughput Per User (tokens/sec/user),1544.50,644.68,2768.88,,,,,,1436.09,,2355.77,2458.10,2627.35,505.19
Active Total Throughput (tokens/sec),717.11,294.87,2768.88,,,,,,647.86,,937.54,1412.51,2333.41,341.89
Credit-to-Start Latency (ms),0.84,0.50,1.20,168.43,0.60,0.67,0.70,0.76,0.82,0.93,1.00,1.07,1.11,0.12
Decode Duration (ms),404.85,224.93,864.78,80969.22,256.22,278.34,302.97,332.43,383.64,445.85,540.43,590.94,715.34,103.32
E2E Output Token Throughput (tokens/sec/user),598.59,282.43,948.46,119718.98,337.69,404.22,438.87,522.80,601.40,684.99,740.42,785.31,860.28,120.16
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),567.67,0.00,2308.35,,,,,,607.53,,822.67,873.39,991.58,241.10
Effective Decode Throughput Per User (tokens/sec/user),567.67,0.00,2308.35,,,,,,607.53,,822.67,873.39,991.58,241.10
Effective Latency (CO-aware) (ms),448.38,270.51,907.16,89676.32,298.38,326.88,346.70,374.55,426.49,490.37,584.25,634.26,759.02,103.39
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),146.80,0.00,2768.88,,,,,,0.00,,0.00,1412.51,2333.41,478.99
Effective Prefill Throughput Per User (tokens/sec/user),146.80,0.00,2768.88,,,,,,0.00,,0.00,1412.51,2333.41,478.99
Effective Total Throughput (tokens/sec),714.47,0.00,2768.88,,,,,,645.09,,937.54,1412.51,2333.41,344.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.65,27.00,98.00,9330.00,29.99,32.95,35.00,38.75,44.50,51.00,62.00,68.00,83.02,11.67
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
