Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),508.11,0.00,1586.01,,,,,,508.95,,603.60,646.02,748.32,85.65
Active Decode Throughput Per User (tokens/sec/user),508.11,0.00,1586.01,,,,,,508.95,,603.60,646.02,748.32,85.65
Active Prefill Throughput (tokens/sec),625.80,70.79,2156.82,,,,,,482.49,,1403.76,1471.37,2156.82,622.19
Active Prefill Throughput Per User (tokens/sec/user),625.80,70.79,2156.82,,,,,,482.49,,1403.76,1471.37,2156.82,622.19
Active Total Throughput (tokens/sec),529.02,70.79,2156.82,,,,,,507.66,,622.84,1221.90,1471.37,275.50
Credit-to-Start Latency (ms),0.86,0.65,1.25,17.19,0.65,0.65,0.67,0.71,0.83,1.02,1.08,1.16,1.23,0.18
Decode Duration (ms),501.86,353.47,692.26,10037.24,364.10,406.62,416.41,453.84,493.67,536.92,598.15,649.95,683.80,78.73
E2E Output Token Throughput (tokens/sec/user),456.05,163.02,637.76,9120.98,183.97,267.75,356.27,437.21,466.38,506.96,542.67,562.16,622.64,99.29
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.82,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.38
Effective Decode Throughput (tokens/sec),416.62,0.00,1586.01,,,,,,488.85,,594.44,637.51,743.47,210.07
Effective Decode Throughput Per User (tokens/sec/user),416.62,0.00,1586.01,,,,,,488.85,,594.44,637.51,743.47,210.07
Effective Latency (CO-aware) (ms),611.14,402.11,1571.47,12222.87,412.98,456.45,472.81,505.86,549.85,586.75,724.78,969.18,1451.01,245.11
Effective Prefill Concurrency,0.18,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.38
Effective Prefill Throughput (tokens/sec),110.85,0.00,2156.82,,,,,,0.00,,70.79,1221.90,1471.37,354.48
Effective Prefill Throughput Per User (tokens/sec/user),110.85,0.00,2156.82,,,,,,0.00,,70.79,1221.90,1471.37,354.48
Effective Total Throughput (tokens/sec),527.48,0.00,2156.82,,,,,,507.66,,622.84,1221.90,1471.37,276.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,51.05,37.00,71.00,1021.00,37.95,41.75,42.00,46.00,49.50,54.75,60.60,66.25,70.05,7.98
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.49,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.21,0.33
HTTP Connection Overhead (ms),0.07,0.00,1.49,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.21,0.33
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),12.92,9.69,17.69,258.34,9.89,10.70,10.88,11.77,12.57,13.77,15.10,16.44,17.44,1.87
HTTP Data Sent (KB),0.39,0.25,0.61,7.79,0.26,0.26,0.27,0.34,0.38,0.42,0.54,0.55,0.60,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),610.21,401.34,1570.11,12204.21,412.22,455.71,471.71,504.92,548.84,585.71,724.01,968.42,1449.77,245.04
HTTP Receiving (ms),501.87,353.48,692.27,10037.37,364.10,406.62,416.42,453.84,493.68,536.92,598.15,649.95,683.81,78.73
HTTP Sending (ms),0.23,0.12,1.89,4.58,0.12,0.13,0.13,0.13,0.14,0.14,0.15,0.31,1.58,0.38
HTTP Total Time (ms),610.29,401.34,1571.60,12205.70,412.22,455.71,471.71,504.92,548.84,585.71,724.01,968.49,1450.98,245.33
HTTP Waiting (TTFB) (ms),108.11,47.52,1000.88,2162.27,47.56,47.72,48.02,48.92,51.19,52.56,76.53,282.17,857.14,209.11
Input Sequence Length (tokens),67.85,33.00,118.00,1357.00,33.38,34.90,41.30,59.75,65.50,72.50,102.00,111.35,116.67,21.50
Inter Chunk Latency (ms),10.03,3.35,14.38,10037.24,8.90,9.38,9.51,9.72,10.00,10.34,10.57,10.69,11.13,0.58
Inter Token Latency (ms),1.97,1.39,2.71,39.36,1.43,1.59,1.63,1.78,1.94,2.11,2.35,2.55,2.68,0.31
Output Sequence Length (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),520.31,368.36,721.42,10406.29,373.17,392.42,426.62,475.13,516.59,561.88,612.40,627.76,702.68,79.72
Prefill Throughput Per User (tokens/sec/user),1178.99,70.79,2156.81,23579.88,149.01,461.91,558.66,866.92,1276.90,1402.62,1523.54,2001.30,2125.71,480.25
Reasoning Token Count (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),610.28,401.40,1570.32,12205.67,412.28,455.77,471.78,504.99,548.91,585.78,724.07,968.50,1449.96,245.07
Time to First Token (ms),108.42,47.73,1003.03,2168.44,47.77,47.92,48.23,49.12,51.41,52.77,76.83,282.49,858.92,209.52
Time to Second Token (ms),10.07,6.66,13.58,201.39,7.17,9.19,9.39,9.67,10.15,10.42,10.65,11.01,13.07,1.17
Tokens In Flight (tokens),173.51,0.00,374.00,,,,,,167.67,,292.80,310.81,347.89,84.95

Metric,Value
Benchmark Duration (sec),12.24
Input Token Throughput (tokens/sec),110.85
Output Token Throughput (tokens/sec),418.26
Request Count,20.00
Request Throughput (requests/sec),1.63
Total Input Sequence Length (tokens),1357.00
Total Output Sequence Length (tokens),5120.00
Total Reasoning Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),529.11
