Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),555.44,0.00,2800.82,,,,,,532.16,,761.94,809.27,921.21,143.48
Active Decode Throughput Per User (tokens/sec/user),555.44,0.00,2800.82,,,,,,532.16,,761.94,809.27,921.21,143.48
Active Prefill Throughput (tokens/sec),1334.61,559.60,2182.61,,,,,,1230.09,,1994.60,2118.08,2182.61,428.29
Active Prefill Throughput Per User (tokens/sec/user),1334.61,559.60,2182.61,,,,,,1230.09,,1994.60,2118.08,2182.61,428.29
Active Total Throughput (tokens/sec),630.07,361.90,2182.61,,,,,,554.54,,850.37,1203.29,1994.60,294.44
Credit-to-Start Latency (ms),0.77,0.59,1.35,77.20,0.61,0.64,0.65,0.68,0.73,0.83,0.98,1.00,1.07,0.13
Decode Duration (ms),459.09,270.35,704.62,45909.26,270.88,309.50,322.47,366.48,447.27,552.51,614.48,639.20,697.92,109.74
E2E Output Token Throughput (tokens/sec/user),528.45,340.48,803.61,52845.01,343.72,366.05,386.06,427.30,515.56,617.37,690.08,718.61,802.73,114.48
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),500.72,0.00,2800.82,,,,,,508.11,,753.89,804.40,912.71,214.38
Effective Decode Throughput Per User (tokens/sec/user),500.72,0.00,2800.82,,,,,,508.11,,753.89,804.40,912.71,214.38
Effective Latency (CO-aware) (ms),508.49,319.43,752.69,50849.33,319.58,357.25,371.75,415.33,497.30,599.92,663.82,700.19,745.66,110.07
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),127.44,0.00,2182.61,,,,,,0.00,,0.00,1203.29,1994.60,413.95
Effective Prefill Throughput Per User (tokens/sec/user),127.44,0.00,2182.61,,,,,,0.00,,0.00,1203.29,1994.60,413.95
Effective Total Throughput (tokens/sec),628.16,0.00,2182.61,,,,,,554.54,,850.37,1203.29,1994.60,296.02
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,47.53,28.00,74.00,4753.00,28.99,32.00,34.00,38.00,46.00,57.00,64.00,67.10,72.02,11.32
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.09,7.49,18.23,1208.71,7.82,8.44,8.95,9.86,11.75,14.29,15.92,16.68,17.76,2.64
HTTP Data Sent (KB),0.35,0.20,0.65,34.80,0.21,0.23,0.24,0.27,0.33,0.42,0.47,0.51,0.58,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),507.66,318.50,751.82,50765.78,318.85,356.19,370.92,414.61,496.48,599.05,663.08,699.31,744.72,110.06
HTTP Receiving (ms),459.10,270.35,704.62,45909.67,270.88,309.50,322.47,366.49,447.27,552.51,614.49,639.20,697.93,109.74
HTTP Sending (ms),0.13,0.11,0.18,13.44,0.12,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.18,0.01
HTTP Total Time (ms),507.66,318.50,751.82,50765.78,318.85,356.19,370.92,414.61,496.48,599.05,663.08,699.31,744.72,110.06
HTTP Waiting (TTFB) (ms),48.43,45.26,64.71,4842.67,45.43,46.07,46.41,47.07,47.98,48.66,49.97,51.74,58.53,2.69
Input Sequence Length (tokens),64.90,29.00,132.00,6490.00,33.95,35.00,40.90,48.75,59.50,82.00,93.40,99.10,128.04,21.88
Inter Chunk Latency (ms),9.87,2.39,14.29,45909.26,8.41,9.17,9.33,9.58,9.85,10.21,10.49,10.66,11.10,0.67
Inter Token Latency (ms),1.80,1.06,2.76,180.04,1.06,1.21,1.26,1.44,1.75,2.17,2.41,2.51,2.74,0.43
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),588.39,361.90,943.23,58838.80,365.37,398.95,415.01,461.54,570.13,695.81,790.79,823.93,941.37,141.89
Prefill Throughput Per User (tokens/sec/user),1332.12,559.61,2182.61,133211.64,696.38,756.09,838.67,1001.26,1220.27,1711.99,1993.11,2059.85,2174.29,425.47
Reasoning Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),507.72,318.56,751.89,50772.12,318.91,356.25,370.98,414.67,496.55,599.11,663.14,699.37,744.79,110.06
Time to First Token (ms),48.63,45.45,64.92,4862.86,45.61,46.29,46.63,47.28,48.18,48.88,50.19,51.94,58.71,2.69
Time to Second Token (ms),9.95,8.99,11.05,995.23,9.13,9.38,9.44,9.62,9.95,10.26,10.46,10.61,10.78,0.41
Tokens In Flight (tokens),179.40,0.00,388.00,,,,,,177.84,,291.57,310.00,339.46,82.79

Metric,Value
Accuracy (Overall) (ratio),
Accuracy (gsm8k) (ratio),
Accuracy Unparsed (Overall) (ratio),
Accuracy Unparsed (gsm8k) (ratio),
Benchmark Duration (sec),50.92
Input Token Throughput (tokens/sec),127.44
Output Token Throughput (tokens/sec),502.69
Request Count,100.00
Request Throughput (requests/sec),1.96
Total Input Sequence Length (tokens),6490.00
Total Output Sequence Length (tokens),25600.00
Total Reasoning Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),630.13


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
