Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),83.97,0.00,58001.28,,,,,,83.88,,86.63,87.68,98.18,27.94
Active Decode Throughput Per User (tokens/sec/user),83.97,0.00,58001.28,,,,,,83.88,,86.63,87.68,98.18,27.94
Active Prefill Throughput (tokens/sec),1276.81,614.51,2590.08,,,,,,1145.34,,1828.43,2126.02,2484.82,403.71
Active Prefill Throughput Per User (tokens/sec/user),1276.81,614.51,2590.08,,,,,,1145.34,,1828.43,2126.02,2484.82,403.71
Active Total Throughput (tokens/sec),103.92,78.40,2590.08,,,,,,83.81,,84.58,84.98,1082.44,161.62
Credit-to-Start Latency (ms),0.87,0.54,1.43,174.53,0.63,0.69,0.71,0.78,0.86,0.95,1.03,1.11,1.34,0.14
Decode Duration (ms),3036.62,2971.26,3252.61,607324.46,2989.35,3009.46,3015.86,3031.17,3042.63,3043.58,3044.13,3044.69,3045.71,20.08
E2E Output Token Throughput (tokens/sec/user),82.90,77.44,84.66,16579.58,82.55,82.62,82.64,82.67,82.81,83.04,83.51,83.73,84.07,0.53
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.13
Effective Decode Throughput (tokens/sec),82.51,0.00,58001.28,,,,,,83.86,,86.61,87.64,97.72,29.79
Effective Decode Throughput Per User (tokens/sec/user),82.51,0.00,58001.28,,,,,,83.86,,86.61,87.64,97.72,29.79
Effective Latency (CO-aware) (ms),3089.14,3024.67,3306.87,617827.82,3045.92,3058.40,3066.29,3083.71,3092.26,3097.55,3098.63,3099.45,3101.83,20.42
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.13
Effective Prefill Throughput (tokens/sec),21.34,0.00,2590.08,,,,,,0.00,,0.00,0.00,1082.44,171.79
Effective Prefill Throughput Per User (tokens/sec/user),21.34,0.00,2590.08,,,,,,0.00,,0.00,0.00,1082.44,171.79
Effective Total Throughput (tokens/sec),103.85,0.00,2590.08,,,,,,83.81,,84.58,84.98,1082.44,161.59
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,51200.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
