# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: d38970550586
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8102,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8102,gauge,sglang:startup_cuda_graph_time_seconds,seconds,2.7638,2.7638,2.7638,0.0000,2.7638,2.7638,2.7638,2.7638,2.7638,2.7638,2.7638,2.7638,2.7638,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_cuda_graph_time_seconds,seconds,32.6397,32.6397,32.6397,0.0000,32.6397,32.6397,32.6397,32.6397,32.6397,32.6397,32.6397,32.6397,32.6397,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_time_seconds,seconds,0.0190,0.0190,0.0190,0.0000,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_time_seconds,seconds,12.1498,12.1498,12.1498,0.0000,12.1498,12.1498,12.1498,12.1498,12.1498,12.1498,12.1498,12.1498,12.1498,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_time_seconds,seconds,50.7704,50.7704,50.7704,0.0000,50.7704,50.7704,50.7704,50.7704,50.7704,50.7704,50.7704,50.7704,50.7704,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:startup_time_seconds,seconds,59.0802,59.0802,59.0802,0.0000,59.0802,59.0802,59.0802,59.0802,59.0802,59.0802,59.0802,59.0802,59.0802,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8102,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8102,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8102,gauge,sglang:decode_sum_seq_lens,,208.5137,46.0000,397.0000,78.2038,63.5600,84.0000,103.0000,144.0000,208.0000,274.0000,312.0000,331.0000,362.0000,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8102,gauge,sglang:full_token_usage,,0.0007,0.0000,0.0014,0.0003,0.0002,0.0002,0.0003,0.0004,0.0007,0.0009,0.0011,0.0011,0.0013,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8102,gauge,sglang:gen_throughput,tokens/s,82.7070,0.0000,86.3091,5.0312,76.6042,76.8295,77.5320,83.6963,83.7800,83.8215,84.4922,85.5981,86.2618,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8102,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8102,gauge,sglang:kv_available_tokens,tokens,255086.2046,250278.0000,266576.0000,3808.1696,250571.0000,250965.6000,251189.6000,252325.0000,254359.0000,256437.0000,261508.4000,264033.0000,266049.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8102,gauge,sglang:kv_cache_memory_usage_gb,,16.5809,16.5809,16.5809,0.0000,16.5809,16.5809,16.5809,16.5809,16.5809,16.5809,16.5809,16.5809,16.5809,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8102,gauge,sglang:kv_evictable_tokens,tokens,16387.4060,5079.0000,21061.0000,3804.1976,5335.0000,7337.0000,9997.6000,15016.0000,17085.0000,19218.0000,20315.0000,20492.0000,21007.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8102,gauge,sglang:kv_used_tokens,tokens,186.3893,0.0000,386.0000,78.4512,47.0000,65.0000,81.0000,121.0000,186.0000,251.0000,291.0000,309.2000,345.4400,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8102,gauge,sglang:mamba_available_tokens,tokens,6.0856,0.0000,65.0000,14.7731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.4000,46.0000,60.0000,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8102,gauge,sglang:mamba_evictable_tokens,tokens,92.2929,37.0000,100.0000,14.7488,39.0000,52.0000,67.2000,98.0000,98.0000,99.0000,99.0000,99.0000,99.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
127.0.0.1:8102,gauge,sglang:mamba_usage,,0.0355,0.0000,0.0392,0.0053,0.0294,0.0294,0.0294,0.0294,0.0392,0.0392,0.0392,0.0392,0.0392,,,unified,,,qwen,0,,,0,0,The token usage for Mamba layers.
127.0.0.1:8102,gauge,sglang:mamba_used_tokens,tokens,3.6214,0.0000,4.0000,0.5418,3.0000,3.0000,3.0000,3.0000,4.0000,4.0000,4.0000,4.0000,4.0000,,,unified,,,qwen,0,,,0,0,Number of actively used state slots in the mamba SSM pool.
127.0.0.1:8102,gauge,sglang:max_total_num_tokens,tokens,271660.0000,271660.0000,271660.0000,0.0000,271660.0000,271660.0000,271660.0000,271660.0000,271660.0000,271660.0000,271660.0000,271660.0000,271660.0000,,,unified,,,qwen,0,,,0,0,Maximum total number of tokens in the KV cache pool.
127.0.0.1:8102,gauge,sglang:new_token_ratio,ratio,0.1136,0.0980,0.7000,0.0845,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.7000,,,unified,,,qwen,0,,,0,0,The new token ratio.
127.0.0.1:8102,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode prealloc queue.
