Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),403.46,0.00,59132.49,,,,,,400.52,,467.73,535.23,581.72,180.91
Active Decode Throughput Per User (tokens/sec/user),403.46,0.00,59132.49,,,,,,400.52,,467.73,535.23,581.72,180.91
Active Prefill Throughput (tokens/sec),920.00,401.94,1683.10,,,,,,924.82,,1376.14,1603.39,1683.10,340.78
Active Prefill Throughput Per User (tokens/sec/user),920.00,401.94,1683.10,,,,,,924.82,,1376.14,1603.39,1683.10,340.78
Active Total Throughput (tokens/sec),456.01,291.52,1683.10,,,,,,408.31,,550.15,924.82,1376.14,197.41
Credit-to-Start Latency (ms),0.59,0.47,0.94,11.89,0.47,0.47,0.50,0.54,0.56,0.59,0.77,0.80,0.91,0.11
Decode Duration (ms),632.03,463.51,874.74,12640.64,477.05,531.23,550.83,570.24,624.24,682.34,729.93,755.23,850.83,88.79
E2E Output Token Throughput (tokens/sec/user),370.49,272.35,483.59,7409.82,274.68,283.99,309.30,341.59,368.76,401.98,418.75,428.59,472.59,48.75
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),361.68,0.00,59132.49,,,,,,395.57,,464.94,508.72,578.73,210.83
Effective Decode Throughput Per User (tokens/sec/user),361.68,0.00,59132.49,,,,,,395.57,,464.94,508.72,578.73,210.83
Effective Latency (CO-aware) (ms),704.20,530.04,940.55,14084.05,543.69,598.29,611.91,637.42,694.74,750.10,828.90,902.44,932.93,97.70
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),93.40,0.00,1683.10,,,,,,0.00,,401.94,924.82,1376.14,298.32
Effective Prefill Throughput Per User (tokens/sec/user),93.40,0.00,1683.10,,,,,,0.00,,401.94,924.82,1376.14,298.32
Effective Total Throughput (tokens/sec),455.08,0.00,1683.10,,,,,,408.31,,550.15,924.82,1376.14,198.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36.50,27.00,50.00,730.00,27.76,30.80,31.90,33.00,36.00,39.25,43.00,43.35,48.67,5.03
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.18,0.32
HTTP Connection Overhead (ms),0.07,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.18,0.32
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),10.17,7.67,13.43,203.42,7.90,8.82,8.98,9.33,9.95,10.83,11.78,11.91,13.12,1.24
HTTP Data Sent (KB),0.35,0.22,0.58,7.07,0.22,0.22,0.23,0.30,0.34,0.38,0.50,0.52,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),703.54,529.32,939.91,14070.82,542.99,597.71,611.31,636.80,694.17,749.48,828.20,901.33,932.19,97.65
HTTP Receiving (ms),632.03,463.51,874.73,12640.63,477.05,531.23,550.83,570.24,624.24,682.34,729.95,755.23,850.83,88.79
HTTP Sending (ms),0.21,0.10,1.84,4.28,0.10,0.11,0.11,0.12,0.13,0.13,0.16,0.27,1.52,0.37
HTTP Total Time (ms),703.61,529.32,939.91,14072.27,542.99,597.71,611.31,636.80,694.17,749.48,828.35,902.71,932.47,97.79
HTTP Waiting (TTFB) (ms),71.30,59.68,169.62,1425.91,59.86,60.56,60.80,65.52,66.63,67.80,71.30,76.68,151.03,22.75
Input Sequence Length (tokens),65.85,31.00,116.00,1317.00,31.38,32.90,39.30,57.75,63.50,70.50,100.00,109.35,114.67,21.50
Inter Chunk Latency (ms),17.80,0.10,30.50,12640.64,11.36,17.01,17.57,17.76,17.93,18.12,18.33,18.46,24.01,1.62
Inter Token Latency (ms),2.48,1.82,3.43,49.57,1.87,2.08,2.16,2.24,2.45,2.68,2.86,2.96,3.34,0.35
