Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),399.93,0.00,1387.20,,,,,,393.54,,500.02,532.89,626.56,78.97
Active Decode Throughput Per User (tokens/sec/user),399.93,0.00,1387.20,,,,,,393.54,,500.02,532.89,626.56,78.97
Active Prefill Throughput (tokens/sec),1045.04,477.22,2141.20,,,,,,933.08,,1508.74,1796.84,2055.31,335.62
Active Prefill Throughput Per User (tokens/sec/user),1045.04,477.22,2141.20,,,,,,933.08,,1508.74,1796.84,2055.31,335.62
Active Total Throughput (tokens/sec),458.02,226.58,2141.20,,,,,,408.00,,572.13,909.75,1502.71,221.49
Credit-to-Start Latency (ms),0.79,0.58,2.43,158.24,0.59,0.64,0.67,0.72,0.78,0.85,0.90,0.95,1.04,0.15
Decode Duration (ms),637.60,391.25,1125.45,127519.98,427.25,477.80,499.40,552.61,624.46,696.64,787.83,838.90,982.06,118.42
E2E Output Token Throughput (tokens/sec/user),375.42,215.13,569.74,75084.08,244.17,284.67,298.88,336.29,371.26,417.77,453.43,475.34,519.07,60.96
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.91,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.29
Effective Decode Throughput (tokens/sec),363.07,0.00,1387.20,,,,,,384.74,,494.86,528.01,623.11,138.00
Effective Decode Throughput Per User (tokens/sec/user),363.07,0.00,1387.20,,,,,,384.74,,494.86,528.01,623.11,138.00
Effective Latency (CO-aware) (ms),701.49,450.03,1190.89,140297.80,493.83,539.61,565.34,613.55,690.42,761.87,857.46,900.03,1049.13,119.04
Effective Prefill Concurrency,0.09,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),93.89,0.00,2141.20,,,,,,0.00,,0.00,909.75,1502.71,315.31
Effective Prefill Throughput Per User (tokens/sec/user),93.89,0.00,2141.20,,,,,,0.00,,0.00,909.75,1502.71,315.31
Effective Total Throughput (tokens/sec),456.96,0.00,2141.20,,,,,,408.00,,572.13,909.75,1502.71,222.33
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36.74,23.00,64.00,7349.00,24.99,27.95,29.00,32.00,36.00,40.00,45.10,48.00,56.01,6.62
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),10.21,6.78,16.95,2041.22,7.41,8.03,8.36,9.00,10.01,11.07,12.34,12.98,15.01,1.64
HTTP Data Sent (KB),0.35,0.20,0.72,70.46,0.21,0.23,0.24,0.27,0.33,0.41,0.50,0.55,0.65,0.10
