# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: ba5de7ac430e
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8103,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8103,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.4142,1.4142,1.4142,0.0000,1.4142,1.4142,1.4142,1.4142,1.4142,1.4142,1.4142,1.4142,1.4142,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_cuda_graph_time_seconds,seconds,24.0087,24.0087,24.0087,0.0000,24.0087,24.0087,24.0087,24.0087,24.0087,24.0087,24.0087,24.0087,24.0087,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_cuda_graph_time_seconds,seconds,4.6505,4.6505,4.6505,0.0000,4.6505,4.6505,4.6505,4.6505,4.6505,4.6505,4.6505,4.6505,4.6505,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_time_seconds,seconds,0.4044,0.4044,0.4044,0.0000,0.4044,0.4044,0.4044,0.4044,0.4044,0.4044,0.4044,0.4044,0.4044,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_time_seconds,seconds,11.3721,11.3721,11.3721,0.0000,11.3721,11.3721,11.3721,11.3721,11.3721,11.3721,11.3721,11.3721,11.3721,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_time_seconds,seconds,45.1414,45.1414,45.1414,0.0000,45.1414,45.1414,45.1414,45.1414,45.1414,45.1414,45.1414,45.1414,45.1414,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:startup_time_seconds,seconds,53.8030,53.8030,53.8030,0.0000,53.8030,53.8030,53.8030,53.8030,53.8030,53.8030,53.8030,53.8030,53.8030,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8103,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8103,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8103,gauge,sglang:decode_sum_seq_lens,,199.4316,65.0000,366.0000,78.4066,66.4600,83.0000,98.0000,136.7500,192.5000,262.0000,306.7000,333.0000,356.0000,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8103,gauge,sglang:full_token_usage,,0.0007,0.0000,0.0018,0.0003,0.0004,0.0004,0.0004,0.0005,0.0006,0.0009,0.0012,0.0014,0.0016,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8103,gauge,sglang:gen_throughput,tokens/s,384.0669,0.0000,577.2366,70.3269,214.9525,276.0390,309.1991,344.0411,384.6857,431.8510,468.7200,490.1964,536.4457,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8103,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8103,gauge,sglang:kv_available_tokens,tokens,199013.6061,194667.0000,203223.0000,2309.4979,194903.2000,195509.4000,195771.1000,197072.7500,199223.0000,200977.2500,202086.9000,202520.0000,203127.0300,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8103,gauge,sglang:kv_cache_memory_usage_gb,,12.5618,12.5618,12.5618,0.0000,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8103,gauge,sglang:kv_evictable_tokens,tokens,6651.5236,2479.0000,10828.0000,2305.1247,2543.0000,3201.7500,3575.0000,4708.2500,6371.0000,8642.0000,9864.5000,10110.0000,10811.2700,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8103,gauge,sglang:kv_used_tokens,tokens,146.8703,0.0000,377.0000,63.7511,75.2300,79.3000,86.0000,99.0000,127.0000,176.0000,251.7000,287.4000,322.0000,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8103,gauge,sglang:mamba_available_tokens,tokens,0.0094,0.0000,2.0000,0.1372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8103,gauge,sglang:mamba_evictable_tokens,tokens,14.3703,14.0000,16.0000,0.4931,14.0000,14.0000,14.0000,14.0000,14.0000,15.0000,15.0000,15.0000,15.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
127.0.0.1:8103,gauge,sglang:mamba_usage,,0.2011,0.0000,0.2222,0.0301,0.1667,0.1667,0.1667,0.1667,0.2222,0.2222,0.2222,0.2222,0.2222,,,unified,,,qwen,0,,,0,0,The token usage for Mamba layers.
127.0.0.1:8103,gauge,sglang:mamba_used_tokens,tokens,3.6203,0.0000,4.0000,0.5411,3.0000,3.0000,3.0000,3.0000,4.0000,4.0000,4.0000,4.0000,4.0000,,,unified,,,qwen,0,,,0,0,Number of actively used state slots in the mamba SSM pool.
127.0.0.1:8103,gauge,sglang:max_total_num_tokens,tokens,205812.0000,205812.0000,205812.0000,0.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,,,unified,,,qwen,0,,,0,0,Maximum total number of tokens in the KV cache pool.
127.0.0.1:8103,gauge,sglang:new_token_ratio,ratio,0.1239,0.0980,0.7000,0.1001,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.3465,0.6428,,,unified,,,qwen,0,,,0,0,The new token ratio.
127.0.0.1:8103,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode prealloc queue.
127.0.0.1:8103,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode transfer queue.
127.0.0.1:8103,gauge,sglang:num_grammar_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the grammar waiting queue.
127.0.0.1:8103,gauge,sglang:num_pages,,205812.0000,205812.0000,205812.0000,0.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,205812.0000,,,unified,,,qwen,0,,,0,0,Number of KV cache pages.
127.0.0.1:8103,gauge,sglang:num_prefill_bootstrap_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill bootstrap queue.
127.0.0.1:8103,gauge,sglang:num_prefill_inflight_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill inflight queue.
127.0.0.1:8103,gauge,sglang:num_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the waiting queue.
127.0.0.1:8103,gauge,sglang:num_running_reqs,requests,0.5094,0.0000,1.0000,0.5005,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,The number of running requests.
127.0.0.1:8103,gauge,sglang:num_unique_running_routing_keys,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of unique routing keys in running batch.
127.0.0.1:8103,gauge,sglang:num_used_tokens,tokens,146.8703,0.0000,377.0000,63.7511,75.2300,79.3000,86.0000,99.0000,127.0000,176.0000,251.7000,287.4000,322.0000,,,unified,,,qwen,0,,,0,0,The number of used tokens.
127.0.0.1:8103,gauge,sglang:page_size,tokens,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,KV cache page size in tokens.
127.0.0.1:8103,gauge,sglang:pending_prealloc_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for pending preallocated tokens (not preallocated yet).
127.0.0.1:8103,gauge,sglang:spec_accept_length,,7.3865,3.8500,10.9000,1.2883,4.0500,5.4000,5.7400,6.6000,7.3500,8.3000,9.0500,9.4600,10.1750,,,unified,,,qwen,0,,,0,0,Mean acceptance length of speculative decoding (accepted drafts + bonus token per forward).
127.0.0.1:8103,gauge,sglang:spec_accept_rate,,0.4258,0.1900,0.6600,0.0859,0.2033,0.2933,0.3160,0.3733,0.4233,0.4867,0.5367,0.5640,0.6117,,,unified,,,qwen,0,,,0,0,Speculative acceptance rate (`accepted drafts / proposed drafts` in batch).
127.0.0.1:8103,gauge,sglang:spec_block_accept_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Mean uncapped full-block accept length per verify step (accept + cap-trimmed drafts; exact only in DSpark cap-accept mode).
127.0.0.1:8103,gauge,sglang:spec_cap_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,"Mean DSpark confidence-scheduled verify window per verify step, incl the bonus slot (0 when no cap is scheduled)."
127.0.0.1:8103,gauge,sglang:spec_num_draft_tokens,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_draft_tokens (decouples from steps under topk>1).
127.0.0.1:8103,gauge,sglang:spec_num_steps,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_steps.
127.0.0.1:8103,gauge,sglang:startup_available_gpu_memory_gb,,11.2872,11.2872,11.2872,0.0000,11.2872,11.2872,11.2872,11.2872,11.2872,11.2872,11.2872,11.2872,11.2872,,,unified,,,qwen,0,,,0,0,Available GPU memory in GB at startup.
127.0.0.1:8103,gauge,sglang:swa_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the SWA pool (hybrid-SWA only).
127.0.0.1:8103,gauge,sglang:swa_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the SWA pool.
127.0.0.1:8103,gauge,sglang:swa_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for SWA layers.
