Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),81.11,0.00,219.85,,,,,,81.08,,83.69,84.58,87.46,3.47
Active Decode Throughput Per User (tokens/sec/user),81.11,0.00,219.85,,,,,,81.08,,83.69,84.58,87.46,3.47
Active Prefill Throughput (tokens/sec),1131.18,412.26,2389.94,,,,,,1067.53,,1712.65,1880.39,2225.71,407.25
Active Prefill Throughput Per User (tokens/sec/user),1131.18,412.26,2389.94,,,,,,1067.53,,1712.65,1880.39,2225.71,407.25
Active Total Throughput (tokens/sec),100.23,79.29,2389.94,,,,,,81.23,,81.25,81.25,1015.24,150.75
Credit-to-Start Latency (ms),0.97,0.56,5.52,194.24,0.66,0.73,0.75,0.83,0.92,1.02,1.14,1.30,1.79,0.38
Decode Duration (ms),3143.85,3137.36,3216.19,628769.79,3138.19,3138.37,3138.49,3138.91,3139.33,3140.47,3141.16,3214.75,3215.71,17.36
E2E Output Token Throughput (tokens/sec/user),79.95,77.98,80.17,15989.83,78.16,78.28,79.93,80.03,80.09,80.11,80.13,80.14,80.16,0.46
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),79.58,0.00,219.85,,,,,,81.04,,83.67,84.55,87.37,11.56
Effective Decode Throughput Per User (tokens/sec/user),79.58,0.00,219.85,,,,,,81.04,,83.67,84.55,87.37,11.56
Effective Latency (CO-aware) (ms),3203.11,3194.22,3283.64,640622.67,3194.35,3195.22,3195.60,3196.51,3197.46,3199.73,3204.75,3271.16,3276.11,18.63
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.13
Effective Prefill Throughput (tokens/sec),20.58,0.00,2389.94,,,,,,0.00,,0.00,0.00,1015.24,160.85
Effective Prefill Throughput Per User (tokens/sec/user),20.58,0.00,2389.94,,,,,,0.00,,0.00,0.00,1015.24,160.85
Effective Total Throughput (tokens/sec),100.16,0.00,2389.94,,,,,,81.23,,81.25,81.25,1015.24,150.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,51200.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.21,58.95,59.54,11841.17,59.04,59.09,59.11,59.16,59.21,59.25,59.29,59.32,59.38,0.08
HTTP Data Sent (KB),0.35,0.20,0.72,70.46,0.21,0.23,0.24,0.27,0.33,0.41,0.50,0.55,0.65,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3202.07,3193.25,3282.64,640414.80,3193.70,3194.22,3194.60,3195.49,3196.49,3198.59,3202.76,3270.32,3275.13,18.63
HTTP Receiving (ms),3143.85,3137.37,3216.19,628770.49,3138.19,3138.38,3138.50,3138.91,3139.33,3140.48,3141.17,3214.76,3215.71,17.36
HTTP Sending (ms),0.15,0.12,0.53,29.87,0.12,0.12,0.13,0.13,0.14,0.16,0.17,0.18,0.24,0.04
HTTP Total Time (ms),3202.07,3193.25,3282.64,640414.80,3193.70,3194.22,3194.60,3195.49,3196.49,3198.59,3202.76,3270.32,3275.13,18.63
HTTP Waiting (TTFB) (ms),58.07,54.55,118.56,11614.45,54.60,54.97,55.21,55.58,56.77,58.51,60.59,62.50,82.42,6.34
Input Sequence Length (tokens),65.94,29.00,139.00,13188.00,32.99,35.95,41.00,47.75,61.00,79.25,98.00,108.55,132.06,23.43
Inter Chunk Latency (ms),12.33,6.70,17.93,628769.79,11.25,11.81,11.94,12.13,12.32,12.53,12.73,12.86,13.32,0.51
Inter Token Latency (ms),12.33,12.30,12.61,2465.76,12.31,12.31,12.31,12.31,12.31,12.32,12.32,12.61,12.61,0.07
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,51200.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,51200.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),81.11,79.29,81.28,16222.64,79.30,79.32,81.18,81.20,81.23,81.24,81.25,81.25,81.26,0.44
Prefill Throughput Per User (tokens/sec/user),1138.13,412.26,2389.94,227625.07,570.32,608.97,687.16,819.98,1068.05,1384.09,1714.30,1882.84,2226.72,405.69
Request Latency (ms),3202.14,3193.31,3282.71,640428.43,3193.77,3194.28,3194.66,3195.55,3196.54,3198.67,3202.84,3270.39,3275.20,18.63
Time to First Output Token (ms),58.29,54.75,118.86,11658.65,54.78,55.21,55.41,55.80,56.98,58.77,60.81,62.74,82.66,6.34
Time to First Token (ms),58.29,54.75,118.86,11658.65,54.78,55.21,55.41,55.80,56.98,58.77,60.81,62.74,82.66,6.34
Time to Second Token (ms),11.49,10.10,16.56,2298.48,10.44,10.99,11.05,11.25,11.45,11.60,11.79,11.86,14.35,0.62
Tokens In Flight (tokens),191.51,0.00,395.00,,,,,,192.00,,296.00,314.00,347.00,78.62

Metric,Value
Benchmark Duration (sec),640.87
Input Token Throughput (tokens/sec),20.58
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),79.89
Request Count,200.00
