Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),307.76,0.00,24930.15,,,,,,306.35,,312.05,322.39,329.84,187.90
Active Decode Throughput Per User (tokens/sec/user),307.76,0.00,24930.15,,,,,,306.35,,312.05,322.39,329.84,187.90
Active Prefill Throughput (tokens/sec),2036.00,635.24,3938.61,,,,,,2101.54,,2889.17,3894.71,3938.61,894.92
Active Prefill Throughput Per User (tokens/sec/user),2036.00,635.24,3938.61,,,,,,2101.54,,2889.17,3894.71,3938.61,894.92
Active Total Throughput (tokens/sec),372.69,306.33,3938.61,,,,,,307.09,,310.81,312.30,2467.31,371.60
Credit-to-Start Latency (ms),0.78,0.59,1.66,15.50,0.60,0.63,0.64,0.68,0.72,0.75,0.94,1.01,1.53,0.22
Decode Duration (ms),828.57,816.51,832.44,16571.41,817.26,820.23,823.71,826.70,830.47,832.01,832.27,832.28,832.41,4.28
E2E Output Token Throughput (tokens/sec/user),297.47,273.63,303.00,5949.46,278.12,296.09,297.37,297.83,298.32,299.09,300.25,300.66,302.53,5.63
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),295.52,0.00,24930.15,,,,,,306.23,,311.39,322.26,329.28,193.70
Effective Decode Throughput Per User (tokens/sec/user),295.52,0.00,24930.15,,,,,,306.23,,311.39,322.26,329.28,193.70
Effective Latency (CO-aware) (ms),861.69,845.52,936.54,17233.77,846.83,852.05,854.17,856.60,858.89,860.29,861.63,865.61,922.36,17.57
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),76.31,0.00,3938.61,,,,,,0.00,,0.00,0.00,2467.31,423.76
Effective Prefill Throughput Per User (tokens/sec/user),76.31,0.00,3938.61,,,,,,0.00,,0.00,0.00,2467.31,423.76
Effective Total Throughput (tokens/sec),371.83,0.00,3938.61,,,,,,307.09,,310.81,312.30,2467.31,371.60
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.95,255.00,256.00,5119.00,255.19,255.95,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.22
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.16,0.31
HTTP Connection Overhead (ms),0.07,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.16,0.31
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),63.15,63.05,63.28,1262.96,63.05,63.06,63.06,63.08,63.14,63.23,63.24,63.26,63.28,0.08
HTTP Data Sent (KB),0.35,0.22,0.58,7.07,0.22,0.22,0.23,0.30,0.34,0.38,0.50,0.52,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),860.85,844.84,935.39,17217.06,846.15,851.41,852.56,855.87,858.07,859.51,860.83,864.82,921.28,17.51
HTTP Receiving (ms),828.57,816.52,832.44,16571.47,817.26,820.23,823.72,826.71,830.47,832.01,832.27,832.28,832.41,4.28
HTTP Sending (ms),0.21,0.11,1.79,4.13,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.25,1.48,0.36
HTTP Total Time (ms),860.92,844.84,936.82,17218.49,846.15,851.41,852.56,855.87,858.07,859.51,860.83,864.89,922.44,17.81
HTTP Waiting (TTFB) (ms),32.07,23.88,106.63,641.46,24.16,25.25,25.75,27.56,28.23,28.76,31.00,37.73,92.85,17.22
Input Sequence Length (tokens),65.85,31.00,116.00,1317.00,31.38,32.90,39.30,57.75,63.50,70.50,100.00,109.35,114.67,21.50
Inter Chunk Latency (ms),3.25,0.00,11.82,16571.41,0.12,3.09,3.13,3.24,3.26,3.28,3.30,3.32,3.89,0.64
Inter Token Latency (ms),3.25,3.20,3.26,64.99,3.20,3.22,3.23,3.24,3.26,3.26,3.26,3.26,3.26,0.02
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),307.77,306.33,312.30,6155.34,306.34,306.39,306.39,306.49,307.06,308.46,309.57,310.89,312.02,1.60
