Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),307.92,0.00,83734.37,,,,,,306.32,,317.97,322.74,328.38,195.04
Active Decode Throughput Per User (tokens/sec/user),307.92,0.00,83734.37,,,,,,306.32,,317.97,322.74,328.38,195.04
Active Prefill Throughput (tokens/sec),2266.00,1115.37,4593.10,,,,,,2062.59,,3300.55,3573.10,4251.88,703.15
Active Prefill Throughput Per User (tokens/sec/user),2266.00,1115.37,4593.10,,,,,,2062.59,,3300.55,3573.10,4251.88,703.15
Active Total Throughput (tokens/sec),374.39,303.97,4593.10,,,,,,307.32,,311.38,313.84,2518.33,377.52
Credit-to-Start Latency (ms),0.91,0.54,2.11,182.52,0.57,0.70,0.77,0.81,0.92,1.00,1.06,1.10,1.15,0.15
Decode Duration (ms),828.13,807.43,838.91,165625.53,810.99,817.64,821.39,825.13,829.87,832.08,832.41,832.58,833.94,5.16
E2E Output Token Throughput (tokens/sec/user),298.65,293.84,306.69,59729.05,294.96,296.38,296.75,297.13,298.21,299.53,301.25,302.80,305.71,2.04
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),296.77,0.00,83734.37,,,,,,306.22,,316.64,322.62,327.64,199.93
Effective Decode Throughput Per User (tokens/sec/user),296.77,0.00,83734.37,,,,,,306.22,,316.64,322.62,327.64,199.93
Effective Latency (CO-aware) (ms),858.14,835.63,871.82,171628.02,838.37,846.39,850.59,855.61,859.29,862.48,863.58,864.69,868.69,5.83
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),76.74,0.00,4593.10,,,,,,0.00,,0.00,0.00,2518.33,429.83
Effective Prefill Throughput Per User (tokens/sec/user),76.74,0.00,4593.10,,,,,,0.00,,0.00,0.00,2518.33,429.83
Effective Total Throughput (tokens/sec),373.51,0.00,4593.10,,,,,,307.32,,311.38,313.84,2518.33,377.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.94,255.00,256.00,51189.00,255.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.23
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),63.12,62.89,63.32,12623.45,62.94,62.98,63.01,63.06,63.12,63.18,63.23,63.25,63.29,0.08
HTTP Data Sent (KB),0.35,0.20,0.72,70.46,0.21,0.23,0.24,0.27,0.33,0.41,0.50,0.55,0.65,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),857.17,834.67,871.15,171434.16,837.34,845.39,849.55,854.63,858.40,861.51,862.62,863.70,867.87,5.84
HTTP Receiving (ms),828.13,807.43,838.91,165625.90,810.99,817.64,821.39,825.13,829.87,832.08,832.41,832.58,833.94,5.16
HTTP Sending (ms),0.13,0.11,0.32,25.08,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.16,0.02
HTTP Total Time (ms),857.17,834.67,871.15,171434.16,837.34,845.39,849.55,854.63,858.40,861.51,862.62,863.70,867.87,5.84
HTTP Waiting (TTFB) (ms),28.92,24.99,38.63,5783.18,25.22,25.73,26.05,26.82,29.57,30.25,30.98,31.57,36.48,2.20
Input Sequence Length (tokens),65.94,29.00,139.00,13188.00,32.99,35.95,41.00,47.75,61.00,79.25,98.00,108.55,132.06,23.43
Inter Chunk Latency (ms),3.25,0.00,14.75,165625.53,0.12,3.09,3.11,3.25,3.26,3.28,3.29,3.31,3.94,0.70
Inter Token Latency (ms),3.25,3.17,3.29,649.52,3.18,3.21,3.22,3.24,3.25,3.26,3.26,3.27,3.27,0.02
