Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),929.97,0.00,167857.47,,,,,,902.54,,1246.79,1365.85,1711.58,474.54
Active Decode Throughput Per User (tokens/sec/user),929.97,0.00,167857.47,,,,,,902.54,,1246.79,1365.85,1711.58,474.54
Active Prefill Throughput (tokens/sec),1969.16,839.27,3914.53,,,,,,1797.24,,2846.55,3240.53,3729.17,621.14
Active Prefill Throughput Per User (tokens/sec/user),1969.16,839.27,3914.53,,,,,,1797.24,,2846.55,3240.53,3729.17,621.14
Active Total Throughput (tokens/sec),1043.07,503.40,3914.53,,,,,,959.52,,1475.20,1856.54,2868.30,438.66
Credit-to-Start Latency (ms),0.53,0.36,0.85,106.60,0.39,0.40,0.41,0.46,0.52,0.58,0.67,0.73,0.77,0.10
Decode Duration (ms),274.19,169.95,506.55,54838.52,170.27,182.12,200.06,218.15,259.97,319.83,374.50,397.74,445.70,68.02
E2E Output Token Throughput (tokens/sec/user),871.46,471.98,1273.83,174292.63,534.01,591.70,625.68,722.32,869.20,1015.23,1111.22,1180.97,1257.07,182.75
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),826.00,0.00,167857.47,,,,,,850.34,,1221.75,1337.27,1679.41,534.69
Effective Decode Throughput Per User (tokens/sec/user),826.00,0.00,167857.47,,,,,,850.34,,1221.75,1337.27,1679.41,534.69
Effective Latency (CO-aware) (ms),308.21,201.49,542.92,61642.39,204.31,217.36,230.93,252.70,295.09,355.08,409.69,433.15,479.97,68.44
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),213.60,0.00,3914.53,,,,,,0.00,,1254.14,1856.54,2868.30,645.63
Effective Prefill Throughput Per User (tokens/sec/user),213.60,0.00,3914.53,,,,,,0.00,,1254.14,1856.54,2868.30,645.63
Effective Total Throughput (tokens/sec),1039.60,0.00,3914.53,,,,,,959.52,,1475.20,1856.54,2868.30,442.03
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,47.21,30.00,86.00,9442.00,30.00,32.00,35.00,38.00,45.00,55.00,64.10,68.00,75.01,11.35
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
