# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: fde90fa766b0
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8000,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,12.2603,12.2603,12.2603,0.0000,12.2603,12.2603,12.2603,12.2603,12.2603,12.2603,12.2603,12.2603,12.2603,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,10.0892,10.0892,10.0892,0.0000,10.0892,10.0892,10.0892,10.0892,10.0892,10.0892,10.0892,10.0892,10.0892,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,8.7167,8.7167,8.7167,0.0000,8.7167,8.7167,8.7167,8.7167,8.7167,8.7167,8.7167,8.7167,8.7167,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,0.7967,0.7967,0.7967,0.0000,0.7967,0.7967,0.7967,0.7967,0.7967,0.7967,0.7967,0.7967,0.7967,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,3.2129,3.2129,3.2129,0.0000,3.2129,3.2129,3.2129,3.2129,3.2129,3.2129,3.2129,3.2129,3.2129,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,46.8007,46.8007,46.8007,0.0000,46.8007,46.8007,46.8007,46.8007,46.8007,46.8007,46.8007,46.8007,46.8007,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,54.2040,54.2040,54.2040,0.0000,54.2040,54.2040,54.2040,54.2040,54.2040,54.2040,54.2040,54.2040,54.2040,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8000,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
