Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),84.08,0.00,1201.87,,,,,,83.91,,86.93,88.11,100.80,9.73
Active Decode Throughput Per User (tokens/sec/user),84.08,0.00,1201.87,,,,,,83.91,,86.93,88.11,100.80,9.73
Active Prefill Throughput (tokens/sec),1148.38,522.59,2031.19,,,,,,1140.28,,1851.21,1955.20,2031.19,420.16
Active Prefill Throughput Per User (tokens/sec/user),1148.38,522.59,2031.19,,,,,,1140.28,,1851.21,1955.20,2031.19,420.16
Active Total Throughput (tokens/sec),103.83,83.70,2031.19,,,,,,83.93,,85.14,85.25,1131.26,154.62
Credit-to-Start Latency (ms),0.86,0.57,1.85,17.18,0.59,0.67,0.68,0.72,0.80,0.92,1.01,1.05,1.69,0.25
Decode Duration (ms),3032.35,2991.03,3045.50,60647.06,2991.82,2994.98,3012.76,3030.77,3038.16,3043.50,3044.22,3044.37,3045.28,15.64
E2E Output Token Throughput (tokens/sec/user),82.85,80.53,84.10,1656.90,80.91,82.46,82.60,82.65,82.81,82.98,83.49,83.99,84.07,0.68
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),82.46,0.00,1201.87,,,,,,83.87,,86.90,88.10,100.42,15.04
Effective Decode Throughput Per User (tokens/sec/user),82.46,0.00,1201.87,,,,,,83.87,,86.90,88.10,100.42,15.04
Effective Latency (CO-aware) (ms),3090.55,3044.88,3167.65,61811.07,3045.67,3048.84,3067.10,3085.52,3092.36,3098.49,3100.35,3104.72,3155.07,23.67
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.13
Effective Prefill Throughput (tokens/sec),21.30,0.00,2031.19,,,,,,0.00,,0.00,0.00,1131.26,165.16
Effective Prefill Throughput Per User (tokens/sec/user),21.30,0.00,2031.19,,,,,,0.00,,0.00,0.00,1131.26,165.16
Effective Total Throughput (tokens/sec),103.76,0.00,2031.19,,,,,,83.93,,85.14,85.25,1131.26,154.60
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,1.49,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.21,0.33
HTTP Connection Overhead (ms),0.07,0.00,1.49,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.21,0.33
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),63.09,62.92,63.22,1261.81,62.94,63.00,63.01,63.04,63.10,63.13,63.17,63.21,63.22,0.07
HTTP Data Sent (KB),0.35,0.22,0.58,7.07,0.22,0.22,0.23,0.30,0.34,0.38,0.50,0.52,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3089.63,3044.08,3166.42,61792.54,3044.87,3048.01,3066.21,3084.86,3091.35,3097.51,3099.35,3103.82,3153.90,23.60
