Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),79.30,0.00,177.83,,,,,,79.29,,81.53,82.26,84.32,2.33
Active Decode Throughput Per User (tokens/sec/user),79.30,0.00,177.83,,,,,,79.29,,81.53,82.26,84.32,2.33
Active Prefill Throughput (tokens/sec),1066.75,515.76,1976.15,,,,,,1122.42,,1400.01,1724.65,1976.15,363.93
Active Prefill Throughput Per User (tokens/sec/user),1066.75,515.76,1976.15,,,,,,1122.42,,1400.01,1724.65,1976.15,363.93
Active Total Throughput (tokens/sec),97.90,79.27,1976.15,,,,,,79.31,,79.33,79.34,1066.90,143.23
Credit-to-Start Latency (ms),0.97,0.65,2.31,19.34,0.66,0.70,0.75,0.81,0.87,1.00,1.12,1.23,2.09,0.34
Decode Duration (ms),3215.56,3213.91,3216.98,64311.27,3213.97,3214.24,3214.90,3215.34,3215.47,3215.80,3216.65,3216.80,3216.94,0.71
E2E Output Token Throughput (tokens/sec/user),78.11,77.02,78.28,1562.29,77.13,77.56,77.71,78.18,78.25,78.26,78.27,78.28,78.28,0.31
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.14
Effective Decode Throughput (tokens/sec),77.75,0.00,177.83,,,,,,79.26,,81.52,82.22,84.31,11.21
Effective Decode Throughput Per User (tokens/sec/user),77.75,0.00,177.83,,,,,,79.26,,81.52,82.22,84.31,11.21
Effective Latency (CO-aware) (ms),3278.26,3270.90,3324.86,65565.20,3270.98,3271.31,3271.39,3271.86,3272.54,3275.86,3294.95,3301.50,3320.19,13.10
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.14
Effective Prefill Throughput (tokens/sec),20.08,0.00,1976.15,,,,,,0.00,,0.00,0.00,1066.90,153.32
Effective Prefill Throughput Per User (tokens/sec/user),20.08,0.00,1976.15,,,,,,0.00,,0.00,0.00,1066.90,153.32
Effective Total Throughput (tokens/sec),97.83,0.00,1976.15,,,,,,79.31,,79.33,79.34,1066.90,143.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.73,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.41,0.38
HTTP Connection Overhead (ms),0.09,0.00,1.73,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.41,0.38
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),59.21,58.99,59.33,1184.14,59.01,59.09,59.11,59.17,59.22,59.26,59.28,59.30,59.33,0.08
HTTP Data Sent (KB),0.35,0.22,0.58,7.07,0.22,0.22,0.23,0.30,0.34,0.38,0.50,0.52,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3277.21,3270.05,3323.45,65544.21,3270.11,3270.36,3270.51,3270.91,3271.69,3274.58,3294.20,3300.61,3318.88,13.05
HTTP Receiving (ms),3215.57,3213.94,3216.98,64311.36,3214.00,3214.24,3214.91,3215.35,3215.47,3215.80,3216.65,3216.81,3216.95,0.71
HTTP Sending (ms),0.27,0.12,2.20,5.32,0.13,0.13,0.13,0.14,0.17,0.18,0.19,0.33,1.82,0.44
HTTP Total Time (ms),3277.30,3270.05,3325.19,65545.94,3270.11,3270.36,3270.51,3270.91,3271.69,3274.58,3294.20,3300.70,3320.29,13.36
HTTP Waiting (TTFB) (ms),61.38,54.29,107.32,1227.52,54.38,54.75,54.83,54.97,55.75,59.15,79.54,83.83,102.62,13.02
Input Sequence Length (tokens),65.85,31.00,116.00,1317.00,31.38,32.90,39.30,57.75,63.50,70.50,100.00,109.35,114.67,21.50
Inter Chunk Latency (ms),12.61,7.55,17.59,64311.27,11.82,12.15,12.26,12.43,12.61,12.80,12.97,13.09,13.32,0.36
Inter Token Latency (ms),12.61,12.60,12.62,252.20,12.60,12.60,12.61,12.61,12.61,12.61,12.61,12.61,12.62,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),79.30,79.27,79.34,1586.04,79.27,79.27,79.28,79.30,79.30,79.31,79.32,79.33,79.34,0.02
Prefill Throughput Per User (tokens/sec/user),1089.75,515.76,1976.15,21794.95,526.95,571.72,623.17,797.93,1124.12,1271.60,1432.47,1737.23,1928.37,361.14
Request Latency (ms),3277.29,3270.11,3323.68,65545.86,3270.18,3270.43,3270.57,3270.98,3271.76,3274.65,3294.29,3300.70,3319.09,13.08
Time to First Output Token (ms),61.73,54.48,109.78,1234.59,54.59,55.01,55.07,55.22,56.00,59.38,79.80,84.20,104.66,13.41
Time to First Token (ms),61.73,54.48,109.78,1234.59,54.59,55.01,55.07,55.22,56.00,59.38,79.80,84.20,104.66,13.41
Time to Second Token (ms),11.59,10.44,12.15,231.75,10.58,11.13,11.22,11.46,11.63,11.85,11.94,12.02,12.12,0.36
Tokens In Flight (tokens),191.37,0.00,372.00,,,,,,191.00,,296.00,312.00,346.00,78.09

Metric,Value
Benchmark Duration (sec),65.59
Input Token Throughput (tokens/sec),20.08
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),78.06
Request Count,20.00
Request Throughput (requests/sec),0.30
Total Input Sequence Length (tokens),1317.00
Total Output Sequence Length (tokens),5120.00
Total Output Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),98.14
