Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),356.22,0.00,1293.91,,,,,,356.14,,440.65,462.07,524.06,68.62
Active Decode Throughput Per User (tokens/sec/user),356.22,0.00,1293.91,,,,,,356.14,,440.65,462.07,524.06,68.62
Active Prefill Throughput (tokens/sec),755.29,308.26,1725.83,,,,,,711.37,,1133.88,1270.05,1597.99,276.24
Active Prefill Throughput Per User (tokens/sec/user),755.29,308.26,1725.83,,,,,,711.37,,1133.88,1270.05,1597.99,276.24
Active Total Throughput (tokens/sec),399.60,210.21,1725.83,,,,,,367.92,,498.39,727.97,1137.38,165.75
Credit-to-Start Latency (ms),0.72,0.53,1.42,143.03,0.55,0.57,0.58,0.63,0.71,0.78,0.84,0.88,0.98,0.11
Decode Duration (ms),715.83,476.35,1213.05,143166.79,511.21,551.74,573.22,613.75,691.30,776.94,896.19,994.30,1127.34,137.72
E2E Output Token Throughput (tokens/sec/user),327.22,196.96,453.27,65444.78,209.79,236.57,259.58,294.39,329.60,364.82,388.77,401.59,427.97,50.46
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),316.92,0.00,1293.91,,,,,,345.02,,437.40,458.29,520.15,129.02
Effective Decode Throughput Per User (tokens/sec/user),316.92,0.00,1293.91,,,,,,345.02,,437.40,458.29,520.15,129.02
Effective Latency (CO-aware) (ms),803.85,565.59,1300.51,160770.66,598.94,638.14,659.45,702.30,777.44,870.44,986.79,1082.99,1221.05,138.18
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),81.95,0.00,1725.83,,,,,,0.00,,423.92,727.97,1137.38,251.92
Effective Prefill Throughput Per User (tokens/sec/user),81.95,0.00,1725.83,,,,,,0.00,,423.92,727.97,1137.38,251.92
Effective Total Throughput (tokens/sec),398.87,0.00,1725.83,,,,,,367.92,,498.39,727.97,1137.38,166.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36.78,25.00,62.00,7356.00,26.98,28.95,30.00,32.00,36.00,40.00,46.10,51.00,56.03,6.82
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),9.54,6.78,15.42,1908.98,7.24,7.62,7.90,8.44,9.30,10.31,11.74,12.91,14.19,1.59
HTTP Data Sent (KB),0.35,0.20,0.72,70.46,0.21,0.23,0.24,0.27,0.33,0.41,0.50,0.55,0.65,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),803.07,564.72,1299.71,160614.66,598.12,637.39,658.43,701.67,776.63,869.54,986.16,1082.08,1220.22,138.17
HTTP Receiving (ms),715.84,476.35,1213.06,143167.66,511.22,551.74,573.23,613.76,691.31,776.94,896.19,994.31,1127.34,137.72
HTTP Sending (ms),0.14,0.12,0.28,27.41,0.12,0.12,0.12,0.13,0.13,0.14,0.16,0.16,0.19,0.02
HTTP Total Time (ms),803.07,564.72,1299.71,160614.66,598.12,637.39,658.43,701.67,776.63,869.54,986.16,1082.08,1220.22,138.17
HTTP Waiting (TTFB) (ms),87.10,68.94,133.66,17419.60,70.63,75.69,82.36,85.43,87.11,89.46,92.64,94.74,102.36,6.29
Input Sequence Length (tokens),65.94,29.00,139.00,13188.00,32.99,35.95,41.00,47.75,61.00,79.25,98.00,108.55,132.06,23.43
Inter Chunk Latency (ms),20.01,11.54,48.73,143166.79,15.39,17.82,19.63,19.85,20.06,20.39,20.70,20.87,23.06,1.26
Inter Token Latency (ms),2.81,1.87,4.76,561.45,2.00,2.16,2.25,2.41,2.71,3.05,3.51,3.90,4.42,0.54
OSL Mismatch Diff % (%),-0.00,-0.39,0.00,-0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Output Sequence Length (tokens),256.00,255.00,256.00,51199.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Count (tokens),256.00,255.00,256.00,51199.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.07
Output Token Throughput Per User (tokens/sec/user),368.03,210.21,535.33,73605.18,226.20,256.46,284.55,328.21,368.87,415.40,444.85,462.17,498.83,63.17
Prefill Throughput Per User (tokens/sec/user),759.87,308.26,1725.83,151974.02,370.17,403.22,463.27,538.18,716.66,928.69,1134.20,1273.46,1598.18,277.20
Request Latency (ms),803.14,564.78,1299.78,160627.63,598.18,637.46,658.50,701.72,776.70,869.61,986.22,1082.14,1220.28,138.17
Time to First Output Token (ms),87.30,69.11,133.88,17460.84,70.84,75.88,82.61,85.64,87.31,89.65,92.86,94.96,102.58,6.29
Time to First Token (ms),87.30,69.11,133.88,17460.84,70.84,75.88,82.61,85.64,87.31,89.65,92.86,94.96,102.58,6.29
Time to Second Token (ms),15.93,11.54,31.04,3186.82,12.24,14.47,14.74,15.22,15.74,16.23,16.84,17.33,25.84,1.98
Tokens In Flight (tokens),178.94,0.00,395.00,,,,,,177.67,,291.50,310.50,344.80,83.35

Metric,Value
Benchmark Duration (sec),160.92
Input Token Throughput (tokens/sec),81.95
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),318.16
Request Count,200.00
Request Throughput (requests/sec),1.24
Total Input Sequence Length (tokens),13188.00
Total Output Sequence Length (tokens),51199.00
Total Output Tokens (tokens),51199.00
Total Token Throughput (tokens/sec),400.11
