Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),361.57,0.00,1083.84,,,,,,358.46,,432.07,480.68,550.75,67.37
Active Decode Throughput Per User (tokens/sec/user),361.57,0.00,1083.84,,,,,,358.46,,432.07,480.68,550.75,67.37
Active Prefill Throughput (tokens/sec),707.53,298.62,1404.61,,,,,,727.96,,1066.72,1343.87,1404.61,295.55
Active Prefill Throughput Per User (tokens/sec/user),707.53,298.62,1404.61,,,,,,727.96,,1066.72,1343.87,1404.61,295.55
Active Total Throughput (tokens/sec),401.90,277.00,1404.61,,,,,,368.62,,544.84,741.29,1343.87,161.49
Credit-to-Start Latency (ms),0.78,0.59,1.08,15.59,0.59,0.60,0.67,0.69,0.76,0.85,0.97,0.99,1.07,0.13
Decode Duration (ms),705.26,468.03,920.58,14105.16,479.79,526.86,585.09,612.28,682.70,801.66,862.77,901.26,916.71,120.62
E2E Output Token Throughput (tokens/sec/user),329.70,235.25,464.06,6593.94,238.65,252.24,258.17,289.39,331.88,369.44,381.34,416.33,454.51,55.14
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),318.80,0.00,1083.84,,,,,,350.61,,428.50,478.66,546.94,132.80
Effective Decode Throughput Per User (tokens/sec/user),318.80,0.00,1083.84,,,,,,350.61,,428.50,478.66,546.94,132.80
Effective Latency (CO-aware) (ms),799.11,552.34,1089.30,15982.14,565.08,616.03,672.58,693.91,772.30,885.37,992.43,1016.06,1074.65,133.65
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),82.33,0.00,1404.61,,,,,,0.00,,324.54,741.29,1343.87,248.26
Effective Prefill Throughput Per User (tokens/sec/user),82.33,0.00,1404.61,,,,,,0.00,,324.54,741.29,1343.87,248.26
Effective Total Throughput (tokens/sec),401.13,0.00,1404.61,,,,,,368.62,,544.84,741.29,1343.87,162.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,35.55,24.00,46.00,711.00,24.57,26.85,29.70,31.00,34.50,40.25,43.20,45.05,45.81,5.87
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.08,0.00,1.58,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.28,0.34
HTTP Connection Overhead (ms),0.08,0.00,1.58,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.28,0.34
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),9.24,6.47,11.67,184.84,6.63,7.26,7.79,8.27,9.02,10.32,11.04,11.44,11.63,1.36
HTTP Data Sent (KB),0.35,0.22,0.58,7.07,0.22,0.22,0.23,0.30,0.34,0.38,0.50,0.52,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),798.26,551.60,1087.99,15965.12,564.32,615.21,671.75,692.92,771.41,884.62,991.58,1015.08,1073.40,133.59
HTTP Receiving (ms),705.26,468.03,920.58,14105.25,479.80,526.87,585.09,612.29,682.71,801.67,862.77,901.26,916.71,120.63
HTTP Sending (ms),0.23,0.11,2.04,4.66,0.11,0.11,0.12,0.12,0.13,0.14,0.18,0.31,1.69,0.42
HTTP Total Time (ms),798.33,551.60,1089.57,15966.70,564.32,615.21,671.75,692.92,771.41,884.62,991.58,1015.15,1074.68,133.77
HTTP Waiting (TTFB) (ms),92.76,68.22,228.76,1855.21,69.97,76.96,82.83,84.45,85.64,88.77,92.88,101.89,203.39,31.67
Input Sequence Length (tokens),65.85,31.00,116.00,1317.00,31.38,32.90,39.30,57.75,63.50,70.50,100.00,109.35,114.67,21.50
Inter Chunk Latency (ms),20.41,12.29,23.34,14105.16,14.69,19.60,20.22,20.42,20.60,20.76,20.87,21.00,21.26,1.05
Inter Token Latency (ms),2.77,1.84,3.61,55.31,1.88,2.07,2.29,2.40,2.68,3.14,3.38,3.53,3.59,0.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),372.75,277.00,544.84,7454.92,278.19,282.94,295.62,318.13,373.58,416.47,436.30,484.35,532.74,66.83
Prefill Throughput Per User (tokens/sec/user),748.15,298.62,1404.61,14963.10,303.54,323.24,382.22,631.58,736.24,831.01,1094.43,1346.91,1393.07,282.66
Request Latency (ms),798.33,551.66,1088.22,15966.55,564.38,615.28,671.82,692.98,771.48,884.68,991.65,1015.15,1073.60,133.61
Time to First Output Token (ms),93.07,68.43,231.06,1861.39,70.17,77.14,83.03,84.64,85.83,88.98,93.08,102.30,205.31,32.12
Time to First Token (ms),93.07,68.43,231.06,1861.39,70.17,77.14,83.03,84.64,85.83,88.98,93.08,102.30,205.31,32.12
Time to Second Token (ms),14.92,12.29,16.55,298.45,12.68,14.22,14.49,14.63,14.91,15.18,15.91,15.99,16.44,0.82
Tokens In Flight (tokens),176.86,0.00,372.00,,,,,,174.18,,290.09,306.79,339.50,82.62

Metric,Value
Benchmark Duration (sec),15.99
Input Token Throughput (tokens/sec),82.33
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),320.05
Request Count,20.00
Request Throughput (requests/sec),1.25
Total Input Sequence Length (tokens),1317.00
Total Output Sequence Length (tokens),5120.00
Total Output Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),402.38
