# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: cd5e769b2f0b
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8000,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,5.3250,5.3250,5.3250,0.0000,5.3250,5.3250,5.3250,5.3250,5.3250,5.3250,5.3250,5.3250,5.3250,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,33.1160,33.1160,33.1160,0.0000,33.1160,33.1160,33.1160,33.1160,33.1160,33.1160,33.1160,33.1160,33.1160,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,0.0227,0.0227,0.0227,0.0000,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,2.6871,2.6871,2.6871,0.0000,2.6871,2.6871,2.6871,2.6871,2.6871,2.6871,2.6871,2.6871,2.6871,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,52.1215,52.1215,52.1215,0.0000,52.1215,52.1215,52.1215,52.1215,52.1215,52.1215,52.1215,52.1215,52.1215,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:startup_time_seconds,seconds,60.0160,60.0160,60.0160,0.0000,60.0160,60.0160,60.0160,60.0160,60.0160,60.0160,60.0160,60.0160,60.0160,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8000,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8000,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8000,gauge,sglang:decode_sum_seq_lens,,212.6590,47.0000,396.0000,79.7486,66.1800,87.8000,106.0000,143.0000,215.0000,278.5000,319.2000,334.0000,358.2800,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8000,gauge,sglang:full_token_usage,,0.0002,0.0000,0.0004,0.0001,0.0000,0.0001,0.0001,0.0001,0.0002,0.0003,0.0003,0.0003,0.0004,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8000,gauge,sglang:gen_throughput,tokens/s,260.5190,0.0000,322.5907,101.2659,0.0000,0.0000,0.0000,259.4541,305.8533,306.1531,310.4023,314.7818,321.5211,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8000,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8000,gauge,sglang:kv_available_tokens,tokens,928882.5202,903863.0000,954046.0000,14584.7293,904209.6000,906197.0000,908742.0000,916294.0000,928891.0000,941489.0000,949014.0000,951550.0000,953588.2800,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8000,gauge,sglang:kv_cache_memory_usage_gb,,29.2704,29.2704,29.2704,0.0000,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8000,gauge,sglang:kv_evictable_tokens,tokens,30067.9094,5079.0000,55201.0000,14581.4397,5379.2800,7337.0000,9844.0000,17489.5000,30152.0000,42673.0000,50186.0000,52693.0000,54699.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8000,gauge,sglang:kv_used_tokens,tokens,179.5703,0.0000,365.0000,83.4729,0.0000,52.0000,71.6000,115.5000,182.0000,246.5000,287.0000,309.0000,344.6400,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8000,gauge,sglang:mamba_available_tokens,tokens,345.4066,181.0000,511.0000,95.1928,183.0000,196.0000,215.0000,264.0000,344.0000,426.0000,478.0000,492.0000,506.0000,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8000,gauge,sglang:mamba_evictable_tokens,tokens,199.0829,37.0000,365.0000,95.1657,39.1800,52.0000,66.0000,118.0000,201.0000,281.0000,329.0000,348.0000,362.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
127.0.0.1:8000,gauge,sglang:mamba_usage,,0.0064,0.0000,0.0073,0.0015,0.0000,0.0055,0.0055,0.0055,0.0073,0.0073,0.0073,0.0073,0.0073,,,unified,,,qwen,0,,,0,0,The token usage for Mamba layers.
