Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),860.07,0.00,65229.30,,,,,,834.41,,1214.94,1251.26,1567.11,602.47
Active Decode Throughput Per User (tokens/sec/user),860.07,0.00,65229.30,,,,,,834.41,,1214.94,1251.26,1567.11,602.47
Active Prefill Throughput (tokens/sec),1726.14,630.34,3117.50,,,,,,1755.03,,2737.85,2984.00,3117.50,697.13
Active Prefill Throughput Per User (tokens/sec/user),1726.14,630.34,3117.50,,,,,,1755.03,,2737.85,2984.00,3117.50,697.13
Active Total Throughput (tokens/sec),958.80,587.13,3117.50,,,,,,859.37,,1271.52,1831.17,2984.00,418.74
Credit-to-Start Latency (ms),0.62,0.40,1.20,12.45,0.40,0.42,0.50,0.53,0.55,0.68,0.74,0.91,1.14,0.17
Decode Duration (ms),296.49,200.55,434.31,5929.78,200.89,202.25,205.87,231.63,275.40,375.59,395.19,422.69,431.99,76.59
E2E Output Token Throughput (tokens/sec/user),803.89,545.10,1106.86,16077.85,548.01,559.65,598.79,621.45,797.76,920.30,1079.03,1083.36,1102.16,177.27
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),759.30,0.00,65229.30,,,,,,718.30,,1196.18,1248.69,1544.11,630.05
Effective Decode Throughput Per User (tokens/sec/user),759.30,0.00,65229.30,,,,,,718.30,,1196.18,1248.69,1544.11,630.05
Effective Latency (CO-aware) (ms),335.26,231.71,470.27,6705.21,232.74,236.84,237.77,278.77,321.84,412.60,428.15,457.98,467.82,74.81
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),196.08,0.00,3117.50,,,,,,0.00,,630.34,1831.17,2984.00,596.00
Effective Prefill Throughput Per User (tokens/sec/user),196.08,0.00,3117.50,,,,,,0.00,,630.34,1831.17,2984.00,596.00
Effective Total Throughput (tokens/sec),955.38,0.00,3117.50,,,,,,859.37,,1271.52,1831.17,2984.00,421.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.95,35.00,74.00,1019.00,35.00,35.00,35.90,39.50,47.00,64.25,67.50,72.10,73.62,12.83
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.08,0.00,1.66,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.34,0.36
HTTP Connection Overhead (ms),0.08,0.00,1.66,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.34,0.36
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),13.72,9.71,19.33,274.37,9.73,9.83,9.98,11.04,12.85,16.93,17.66,18.81,19.23,3.12
HTTP Data Sent (KB),0.35,0.22,0.58,7.07,0.22,0.22,0.23,0.30,0.34,0.38,0.50,0.52,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
