Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),304.04,0.00,8907.45,,,,,,303.23,,317.55,320.19,334.53,40.16
Active Decode Throughput Per User (tokens/sec/user),304.04,0.00,8907.45,,,,,,303.23,,317.55,320.19,334.53,40.16
Active Prefill Throughput (tokens/sec),2291.91,1036.76,3958.31,,,,,,2132.13,,3462.09,3629.74,3890.90,741.34
Active Prefill Throughput Per User (tokens/sec/user),2291.91,1036.76,3958.31,,,,,,2132.13,,3462.09,3629.74,3890.90,741.34
Active Total Throughput (tokens/sec),369.98,301.16,3958.31,,,,,,303.62,,303.77,318.19,2689.98,380.74
Credit-to-Start Latency (ms),1.03,0.66,3.70,206.58,0.73,0.83,0.86,0.94,1.02,1.09,1.21,1.24,1.34,0.23
Decode Duration (ms),838.61,800.02,843.98,167722.93,800.71,839.39,839.54,839.69,839.86,840.06,840.19,840.28,841.93,6.94
E2E Output Token Throughput (tokens/sec/user),295.13,290.20,308.58,59026.08,292.17,292.68,294.02,294.70,294.93,295.08,295.20,295.30,307.48,2.45
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),293.17,0.00,8907.45,,,,,,302.95,,317.38,320.06,333.86,68.87
Effective Decode Throughput Per User (tokens/sec/user),293.17,0.00,8907.45,,,,,,302.95,,317.38,320.06,333.86,68.87
Effective Latency (CO-aware) (ms),868.42,830.61,878.22,173683.66,833.78,867.96,868.20,868.53,869.02,869.83,871.42,875.66,876.60,6.87
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),75.82,0.00,3958.31,,,,,,0.00,,0.00,0.00,2686.10,431.51
Effective Prefill Throughput Per User (tokens/sec/user),75.82,0.00,3958.31,,,,,,0.00,,0.00,0.00,2686.10,431.51
Effective Total Throughput (tokens/sec),368.98,0.00,3958.31,,,,,,303.62,,303.77,318.19,2686.10,380.71
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.98,255.00,256.00,51196.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
