Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),344.80,0.00,49559.79,,,,,,343.63,,408.06,504.85,541.84,204.66
Active Decode Throughput Per User (tokens/sec/user),344.80,0.00,49559.79,,,,,,343.63,,408.06,504.85,541.84,204.66
Active Prefill Throughput (tokens/sec),830.01,359.87,1666.89,,,,,,822.69,,1652.94,1666.89,1666.89,440.05
Active Prefill Throughput Per User (tokens/sec/user),830.01,359.87,1666.89,,,,,,822.69,,1652.94,1666.89,1666.89,440.05
Active Total Throughput (tokens/sec),390.62,280.38,1666.89,,,,,,348.03,,511.58,691.96,1652.94,203.87
Credit-to-Start Latency (ms),0.89,0.73,1.26,8.91,0.73,0.74,0.74,0.78,0.84,0.89,1.17,1.21,1.25,0.17
Decode Duration (ms),739.55,498.45,909.50,7395.51,509.79,555.15,611.84,685.69,731.87,821.95,894.88,902.19,908.03,118.15
E2E Output Token Throughput (tokens/sec/user),322.14,263.44,457.84,3221.41,263.64,264.44,265.43,271.26,322.45,339.81,376.76,417.30,449.73,56.72
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),311.51,0.00,49559.79,,,,,,319.80,,407.39,504.03,541.84,219.57
Effective Decode Throughput Per User (tokens/sec/user),311.51,0.00,49559.79,,,,,,319.80,,407.39,504.03,541.84,219.57
Effective Latency (CO-aware) (ms),817.55,559.88,973.01,8175.50,572.22,621.58,683.27,754.48,794.72,945.17,965.65,969.33,972.28,127.24
Effective Prefill Concurrency,0.09,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),78.18,0.00,1666.89,,,,,,0.00,,0.00,691.96,1652.94,277.53
Effective Prefill Throughput Per User (tokens/sec/user),78.18,0.00,1666.89,,,,,,0.00,,0.00,691.96,1652.94,277.53
Effective Total Throughput (tokens/sec),389.69,0.00,1666.89,,,,,,348.03,,511.58,691.96,1652.94,204.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,42.60,29.00,52.00,426.00,29.63,32.15,35.30,39.50,42.00,47.50,51.10,51.55,51.91,6.67
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,1.79,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.98,1.63,0.54
HTTP Connection Overhead (ms),0.18,0.00,1.79,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.98,1.63,0.54
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),11.69,8.37,13.97,116.88,8.52,9.14,9.91,10.89,11.57,12.87,13.80,13.88,13.95,1.63
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),816.57,559.08,971.67,8165.67,571.41,620.72,682.36,753.61,793.87,944.24,964.28,967.97,970.93,127.10
HTTP Receiving (ms),739.55,498.46,909.50,7395.55,509.79,555.15,611.84,685.69,731.87,821.95,894.88,902.19,908.04,118.15
