Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),414.12,0.00,54469.54,,,,,,408.48,,520.45,564.72,654.68,137.44
Active Decode Throughput Per User (tokens/sec/user),414.12,0.00,54469.54,,,,,,408.48,,520.45,564.72,654.68,137.44
Active Prefill Throughput (tokens/sec),936.62,380.11,1822.70,,,,,,869.62,,1323.64,1502.05,1822.70,298.46
Active Prefill Throughput Per User (tokens/sec/user),936.62,380.11,1822.70,,,,,,869.62,,1323.64,1502.05,1822.70,298.46
Active Total Throughput (tokens/sec),463.08,264.71,1822.70,,,,,,421.18,,597.47,862.44,1322.66,192.44
Credit-to-Start Latency (ms),0.87,0.72,1.28,86.96,0.73,0.76,0.78,0.80,0.83,0.90,1.02,1.10,1.20,0.11
Decode Duration (ms),615.74,426.60,963.33,61574.46,426.73,446.68,491.97,517.42,596.92,677.06,788.67,857.14,893.80,118.64
E2E Output Token Throughput (tokens/sec/user),387.95,249.44,526.23,38794.87,266.95,277.62,300.27,345.87,387.01,437.43,462.68,501.73,524.98,64.62
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.29
Effective Decode Throughput (tokens/sec),374.32,0.00,54469.54,,,,,,399.80,,513.45,560.78,641.31,178.80
Effective Decode Throughput Per User (tokens/sec/user),374.32,0.00,54469.54,,,,,,399.80,,513.45,560.78,641.31,178.80
Effective Latency (CO-aware) (ms),680.28,487.27,1027.17,68027.91,488.42,511.05,554.21,586.01,662.49,740.99,853.60,923.14,959.76,119.91
Effective Prefill Concurrency,0.09,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),87.54,0.00,1822.70,,,,,,0.00,,0.00,862.44,1322.66,287.49
Effective Prefill Throughput Per User (tokens/sec/user),87.54,0.00,1822.70,,,,,,0.00,,0.00,862.44,1322.66,287.49
Effective Total Throughput (tokens/sec),461.86,0.00,1822.70,,,,,,421.18,,597.47,862.44,1322.66,193.65
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,35.53,25.00,55.00,3553.00,25.00,26.00,27.90,30.00,34.50,39.00,45.10,49.00,51.04,6.64
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),9.90,7.27,14.65,989.66,7.28,7.56,8.08,8.54,9.66,10.76,12.33,13.08,13.74,1.63
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),679.33,486.41,1026.22,67932.60,487.56,510.14,553.31,585.16,661.40,740.11,852.49,922.02,958.96,119.91
HTTP Receiving (ms),615.75,426.60,963.33,61574.56,426.73,446.68,491.97,517.42,596.93,677.07,788.67,857.13,893.80,118.64
HTTP Sending (ms),0.17,0.14,0.22,17.42,0.14,0.15,0.16,0.16,0.17,0.19,0.20,0.20,0.21,0.02
HTTP Total Time (ms),679.33,486.41,1026.22,67932.60,487.56,510.14,553.31,585.16,661.40,740.11,852.49,922.02,958.96,119.91
HTTP Waiting (TTFB) (ms),63.41,48.32,94.56,6340.62,55.82,56.49,57.63,58.65,63.43,65.80,68.84,72.11,88.65,6.25
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),17.83,0.17,49.55,61574.46,11.10,15.33,17.53,17.75,17.93,18.12,18.35,18.59,24.67,1.82
Inter Token Latency (ms),2.41,1.67,3.78,241.48,1.67,1.75,1.93,2.03,2.34,2.66,3.09,3.36,3.51,0.47
Output Sequence Length (tokens),255.99,255.00,256.00,25599.00,255.99,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.10
Output Token Count (tokens),255.99,255.00,256.00,25599.00,255.99,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.10
Output Token Throughput Per User (tokens/sec/user),428.78,264.71,597.76,42877.76,285.31,297.50,323.34,376.63,427.26,492.83,518.53,570.88,597.56,78.07
Prefill Throughput Per User (tokens/sec/user),929.03,380.11,1822.70,92903.14,463.77,528.58,597.21,722.88,866.60,1076.89,1322.76,1464.46,1763.61,296.74
Request Latency (ms),679.41,486.48,1026.30,67940.95,487.64,510.24,553.40,585.24,661.49,740.18,852.59,922.13,959.04,119.91
Time to First Output Token (ms),63.66,48.59,94.84,6366.49,56.07,56.76,57.92,58.92,63.71,66.07,69.08,72.42,88.94,6.25
Time to First Token (ms),63.66,48.59,94.84,6366.49,56.07,56.76,57.92,58.92,63.71,66.07,69.08,72.42,88.94,6.25
Time to Second Token (ms),13.46,5.83,23.33,1346.39,11.40,12.46,12.69,13.01,13.44,13.81,14.12,14.34,17.18,1.45
