# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: a8fcd5d1dd64
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8551,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8551,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.3799,1.3799,1.3799,0.0000,1.3799,1.3799,1.3799,1.3799,1.3799,1.3799,1.3799,1.3799,1.3799,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_cuda_graph_time_seconds,seconds,24.1402,24.1402,24.1402,0.0000,24.1402,24.1402,24.1402,24.1402,24.1402,24.1402,24.1402,24.1402,24.1402,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.5458,1.5458,1.5458,0.0000,1.5458,1.5458,1.5458,1.5458,1.5458,1.5458,1.5458,1.5458,1.5458,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_time_seconds,seconds,0.3893,0.3893,0.3893,0.0000,0.3893,0.3893,0.3893,0.3893,0.3893,0.3893,0.3893,0.3893,0.3893,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_time_seconds,seconds,10.1103,10.1103,10.1103,0.0000,10.1103,10.1103,10.1103,10.1103,10.1103,10.1103,10.1103,10.1103,10.1103,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_time_seconds,seconds,40.8624,40.8624,40.8624,0.0000,40.8624,40.8624,40.8624,40.8624,40.8624,40.8624,40.8624,40.8624,40.8624,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:startup_time_seconds,seconds,50.0388,50.0388,50.0388,0.0000,50.0388,50.0388,50.0388,50.0388,50.0388,50.0388,50.0388,50.0388,50.0388,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8551,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8551,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8551,gauge,sglang:decode_sum_seq_lens,,208.0773,43.0000,387.0000,81.0576,81.0000,93.3000,106.6000,141.0000,197.0000,277.5000,320.0000,337.8000,368.0000,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8551,gauge,sglang:full_token_usage,,0.0007,0.0000,0.0016,0.0003,0.0003,0.0004,0.0004,0.0005,0.0006,0.0009,0.0012,0.0014,0.0015,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8551,gauge,sglang:gen_throughput,tokens/s,387.1438,0.0000,536.4186,83.3967,13.3231,254.6551,282.0273,354.5710,395.2932,443.4084,475.5554,494.5639,533.1030,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8551,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8551,gauge,sglang:kv_available_tokens,tokens,201575.6522,200017.0000,203733.0000,1010.4909,200159.2600,200314.7000,200399.2000,200593.0000,201543.0000,202331.0000,203067.2000,203451.9000,203662.7000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8551,gauge,sglang:kv_cache_memory_usage_gb,,12.5618,12.5618,12.5618,0.0000,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8551,gauge,sglang:kv_evictable_tokens,tokens,4093.7198,1977.0000,5495.0000,1004.4201,2038.0000,2237.0000,2585.8000,3379.0000,4137.0000,5069.0000,5296.8000,5320.0000,5491.3400,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8551,gauge,sglang:kv_used_tokens,tokens,142.6280,0.0000,335.0000,64.8830,66.3000,74.0000,81.0000,94.0000,123.0000,178.5000,244.8000,279.2000,316.8200,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8551,gauge,sglang:mamba_available_tokens,tokens,0.0193,0.0000,2.0000,0.1961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8551,gauge,sglang:mamba_evictable_tokens,tokens,14.4638,14.0000,16.0000,0.5190,14.0000,14.0000,14.0000,14.0000,14.0000,15.0000,15.0000,15.0000,15.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
