# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: eb8fadeed428
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8566,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8566,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.4186,1.4186,1.4186,0.0000,1.4186,1.4186,1.4186,1.4186,1.4186,1.4186,1.4186,1.4186,1.4186,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_cuda_graph_time_seconds,seconds,24.8390,24.8390,24.8390,0.0000,24.8390,24.8390,24.8390,24.8390,24.8390,24.8390,24.8390,24.8390,24.8390,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.4952,1.4952,1.4952,0.0000,1.4952,1.4952,1.4952,1.4952,1.4952,1.4952,1.4952,1.4952,1.4952,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_time_seconds,seconds,0.3862,0.3862,0.3862,0.0000,0.3862,0.3862,0.3862,0.3862,0.3862,0.3862,0.3862,0.3862,0.3862,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_time_seconds,seconds,11.6091,11.6091,11.6091,0.0000,11.6091,11.6091,11.6091,11.6091,11.6091,11.6091,11.6091,11.6091,11.6091,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_time_seconds,seconds,43.0516,43.0516,43.0516,0.0000,43.0516,43.0516,43.0516,43.0516,43.0516,43.0516,43.0516,43.0516,43.0516,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:startup_time_seconds,seconds,51.8182,51.8182,51.8182,0.0000,51.8182,51.8182,51.8182,51.8182,51.8182,51.8182,51.8182,51.8182,51.8182,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8566,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8566,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8566,gauge,sglang:decode_sum_seq_lens,,591.8996,43.0000,934.0000,147.5128,258.2800,353.0000,395.0000,510.0000,575.0000,698.0000,761.0000,868.0000,912.9400,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8566,gauge,sglang:full_token_usage,,0.0026,0.0000,0.0050,0.0007,0.0010,0.0015,0.0017,0.0021,0.0027,0.0031,0.0035,0.0038,0.0046,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8566,gauge,sglang:gen_throughput,tokens/s,930.6654,0.0000,1198.9286,125.7117,675.0662,780.2526,817.9260,868.8321,931.4819,999.2612,1063.5091,1080.4250,1181.1651,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8566,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8566,gauge,sglang:kv_available_tokens,tokens,197414.4409,192004.0000,203045.0000,3229.0252,192004.0000,192447.8000,192982.2000,194584.5000,197213.0000,200384.0000,201825.6000,202260.0000,202710.0800,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8566,gauge,sglang:kv_cache_memory_usage_gb,,12.5618,12.5618,12.5618,0.0000,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,12.5618,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8566,gauge,sglang:kv_evictable_tokens,tokens,7855.9642,2574.0000,13208.0000,3228.2177,2739.5800,3002.0000,3372.8000,4776.0000,8044.0000,10666.5000,12362.2000,12849.2000,13147.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8566,gauge,sglang:kv_used_tokens,tokens,540.5950,0.0000,1019.0000,152.2207,209.8200,307.5000,357.0000,422.5000,552.0000,635.0000,727.0000,786.4000,941.7600,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8566,gauge,sglang:mamba_available_tokens,tokens,0.0538,0.0000,6.0000,0.4249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8566,gauge,sglang:mamba_evictable_tokens,tokens,7.3513,6.0000,12.0000,1.0519,6.0000,6.0000,6.0000,7.0000,7.0000,8.0000,8.0000,9.0000,11.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
