# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 20214039d82c
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8558,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8558,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.3415,1.3415,1.3415,0.0000,1.3415,1.3415,1.3415,1.3415,1.3415,1.3415,1.3415,1.3415,1.3415,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_cuda_graph_time_seconds,seconds,23.9524,23.9524,23.9524,0.0000,23.9524,23.9524,23.9524,23.9524,23.9524,23.9524,23.9524,23.9524,23.9524,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.5340,1.5340,1.5340,0.0000,1.5340,1.5340,1.5340,1.5340,1.5340,1.5340,1.5340,1.5340,1.5340,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_time_seconds,seconds,0.4295,0.4295,0.4295,0.0000,0.4295,0.4295,0.4295,0.4295,0.4295,0.4295,0.4295,0.4295,0.4295,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_time_seconds,seconds,10.6455,10.6455,10.6455,0.0000,10.6455,10.6455,10.6455,10.6455,10.6455,10.6455,10.6455,10.6455,10.6455,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8558,gauge,sglang:startup_time_seconds,seconds,41.3378,41.3378,41.3378,0.0000,41.3378,41.3378,41.3378,41.3378,41.3378,41.3378,41.3378,41.3378,41.3378,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
