Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2115.50,185.95,3840.23,,,,,,2407.03,,3033.16,3190.66,3412.36,776.09
Active Decode Throughput Per User (tokens/sec/user),143.63,42.11,754.66,,,,,,161.40,,196.78,204.31,225.71,55.39
Active Prefill Throughput (tokens/sec),729.53,192.12,5930.74,,,,,,612.92,,1169.28,1427.59,1853.48,540.79
Active Prefill Throughput Per User (tokens/sec/user),461.79,192.12,1085.74,,,,,,441.58,,677.14,764.32,1047.97,170.04
Active Total Throughput (tokens/sec),2609.12,292.56,5930.74,,,,,,2571.83,,3101.36,3275.98,3876.43,443.81
Credit-to-Start Latency (ms),0.85,0.65,1.31,272.92,0.68,0.72,0.74,0.77,0.83,0.91,1.00,1.05,1.24,0.11
Decode Duration (ms),1779.13,834.48,3572.96,569321.10,961.40,1080.54,1176.74,1380.04,1673.24,2147.24,2482.13,2880.48,3250.91,532.12
E2E Output Token Throughput (tokens/sec/user),143.31,68.75,259.09,45860.28,75.88,85.18,98.44,112.05,141.42,168.67,194.72,207.02,231.90,37.36
Effective Concurrency,15.85,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,1.14
Effective Decode Concurrency,14.71,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,1.69
Effective Decode Throughput (tokens/sec),2107.69,0.00,3840.23,,,,,,2400.06,,3033.16,3190.66,3412.36,785.21
Effective Decode Throughput Per User (tokens/sec/user),143.10,0.00,754.66,,,,,,161.16,,196.63,204.31,225.71,55.97
Effective Latency (CO-aware) (ms),1918.29,988.89,3724.39,613852.64,1104.87,1237.38,1315.51,1518.59,1810.99,2281.29,2601.43,3006.22,3374.88,530.14
Effective Prefill Concurrency,1.14,0.00,16.00,,,,,,1.00,,2.00,3.00,4.00,1.38
Effective Prefill Throughput (tokens/sec),501.27,0.00,5930.74,,,,,,475.60,,1094.77,1287.15,1756.75,561.58
Effective Prefill Throughput Per User (tokens/sec/user),317.30,0.00,1085.74,,,,,,346.74,,617.83,713.80,1035.58,256.35
Effective Total Throughput (tokens/sec),2608.95,0.00,5930.74,,,,,,2571.83,,3101.36,3275.98,3876.43,444.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,47.80,26.00,95.00,15296.00,28.00,30.00,32.00,38.00,45.00,57.00,65.00,74.05,84.00,13.52
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.13,6.94,23.06,3882.83,7.47,8.03,8.47,9.87,11.45,14.28,16.18,18.34,20.55,3.14
HTTP Data Sent (KB),0.33,0.17,0.70,105.68,0.19,0.21,0.23,0.26,0.31,0.39,0.45,0.50,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1917.36,987.99,3723.48,613554.15,1103.96,1236.50,1314.62,1517.70,1810.15,2280.47,2600.45,3005.36,3373.90,530.15
HTTP Receiving (ms),1779.14,834.49,3572.96,569323.74,961.40,1080.55,1176.74,1380.05,1673.24,2147.25,2482.14,2880.49,3250.91,532.12
HTTP Sending (ms),0.17,0.13,0.28,54.34,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.20,0.22,0.02
HTTP Total Time (ms),1917.36,987.99,3723.48,613554.15,1103.96,1236.50,1314.62,1517.70,1810.15,2280.47,2600.45,3005.36,3373.90,530.15
HTTP Waiting (TTFB) (ms),138.05,110.80,220.31,44176.07,112.60,116.22,117.42,119.30,128.46,151.71,172.12,173.34,193.00,21.09
Input Sequence Length (tokens),60.64,24.00,134.00,19406.00,27.19,32.00,36.90,43.75,56.00,75.25,92.00,101.00,124.62,22.18
Inter Chunk Latency (ms),38.02,9.34,107.47,569321.10,24.21,28.65,29.03,29.73,30.61,43.26,61.32,62.99,68.42,13.97
Inter Token Latency (ms),6.98,3.27,14.01,2232.70,3.77,4.24,4.61,5.41,6.56,8.42,9.73,11.30,12.75,2.09
Output Sequence Length (tokens),255.99,255.00,257.00,81917.00,255.19,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Output Token Throughput Per User (tokens/sec/user),155.79,71.37,305.58,49853.18,78.44,88.53,102.73,118.76,152.40,184.78,216.70,235.99,265.26,44.30
Prefill Throughput Per User (tokens/sec/user),448.83,167.76,1085.74,143625.89,193.03,223.76,250.73,307.13,422.41,550.05,683.89,764.36,1035.56,179.92
Reasoning Token Count (tokens),255.99,255.00,257.00,81917.00,255.19,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.12
Request Latency (ms),1917.44,988.07,3723.56,613579.71,1104.03,1236.58,1314.71,1517.78,1810.23,2280.54,2600.53,3005.44,3373.98,530.15
Time to First Token (ms),138.31,111.06,220.55,44258.61,112.85,116.46,117.66,119.58,128.75,151.95,172.36,173.63,193.24,21.09
Time to Second Token (ms),37.14,27.36,80.59,11885.92,27.39,27.90,28.77,29.59,30.46,32.98,61.29,62.97,66.44,13.29
Tokens In Flight (tokens),2825.84,0.00,3910.34,,,,,,2857.60,,3275.51,3389.03,3651.68,396.44

Metric,Value
Benchmark Duration (sec),38.71
Input Token Throughput (tokens/sec),501.27
Output Token Throughput (tokens/sec),2115.95
Request Count,320.00
Request Throughput (requests/sec),8.27
Total Input Sequence Length (tokens),19406.00
Total Output Sequence Length (tokens),81917.00
Total Reasoning Tokens (tokens),81917.00
Total Token Throughput (tokens/sec),2617.22


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
