Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2317.57,0.00,6558.48,,,,,,2769.95,,4424.25,4692.37,5027.42,1665.42
Active Decode Throughput Per User (tokens/sec/user),313.54,0.00,1111.00,,,,,,412.28,,565.91,596.49,645.15,209.55
Active Prefill Throughput (tokens/sec),914.42,194.09,3342.73,,,,,,822.60,,1427.06,1539.16,3342.73,441.80
Active Prefill Throughput Per User (tokens/sec/user),709.38,194.09,1561.39,,,,,,632.26,,1170.43,1341.53,1539.16,304.65
Active Total Throughput (tokens/sec),2853.32,425.73,4279.25,,,,,,2811.52,,3478.72,3678.93,3878.45,467.97
Credit-to-Start Latency (ms),0.81,0.59,1.37,129.23,0.63,0.64,0.67,0.72,0.80,0.87,0.96,1.02,1.18,0.12
Decode Duration (ms),780.19,378.91,1441.54,124830.31,383.85,445.99,491.95,597.65,731.45,945.74,1116.92,1238.12,1404.29,245.69
E2E Output Token Throughput (tokens/sec/user),315.75,162.78,533.21,50520.17,171.33,194.40,211.85,248.68,312.07,367.33,442.49,472.88,520.64,86.55
Effective Concurrency,7.90,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.65
Effective Decode Concurrency,7.05,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.12
Effective Decode Throughput (tokens/sec),2302.53,0.00,6558.48,,,,,,2744.19,,4422.04,4689.45,5018.41,1670.41
Effective Decode Throughput Per User (tokens/sec/user),311.51,0.00,1111.00,,,,,,409.40,,565.44,596.49,645.15,210.38
Effective Latency (CO-aware) (ms),875.63,480.93,1573.57,140100.90,492.59,542.14,579.48,697.77,821.14,1030.20,1209.34,1317.77,1495.24,245.56
Effective Prefill Concurrency,0.85,0.00,8.00,,,,,,1.00,,2.00,2.00,3.00,0.99
Effective Prefill Throughput (tokens/sec),550.45,0.00,3342.73,,,,,,552.79,,1264.52,1465.00,1930.75,563.77
Effective Prefill Throughput Per User (tokens/sec/user),427.02,0.00,1561.39,,,,,,431.33,,1049.77,1220.30,1465.00,420.05
Effective Total Throughput (tokens/sec),2852.98,0.00,4279.25,,,,,,2811.52,,3478.72,3678.93,3878.45,469.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.28,24.00,87.00,7725.00,26.59,30.95,33.00,38.00,46.00,57.00,66.00,73.05,83.00,13.43
HTTP Chunks Sent,1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.25,6.74,21.18,1960.03,7.33,8.35,8.68,9.92,11.65,14.28,16.39,17.99,20.33,3.11
HTTP Data Sent (KB),0.33,0.18,0.70,53.20,0.19,0.21,0.22,0.25,0.31,0.39,0.46,0.52,0.60,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),874.75,480.05,1572.63,139960.68,491.72,541.30,578.47,696.84,820.27,1029.38,1208.33,1316.84,1494.37,245.57
HTTP Receiving (ms),780.20,378.92,1441.55,124831.48,383.86,446.00,491.96,597.66,731.46,945.75,1116.93,1238.13,1404.29,245.69
HTTP Sending (ms),0.15,0.12,0.20,24.13,0.12,0.13,0.13,0.14,0.15,0.17,0.18,0.18,0.19,0.02
HTTP Total Time (ms),874.75,480.05,1572.63,139960.68,491.72,541.30,578.47,696.84,820.27,1029.38,1208.33,1316.84,1494.37,245.57
HTTP Waiting (TTFB) (ms),94.41,70.61,168.26,15105.07,71.29,73.75,74.29,76.10,79.34,119.23,125.30,131.09,166.75,24.79
Input Sequence Length (tokens),60.96,24.00,133.00,9753.00,27.59,30.00,35.00,44.00,56.50,74.25,93.00,103.00,125.82,22.99
Inter Chunk Latency (ms),16.50,7.07,84.06,124830.31,9.15,9.64,9.89,10.35,10.78,11.43,54.36,56.61,61.66,15.31
Inter Token Latency (ms),3.06,1.49,5.65,489.56,1.51,1.75,1.93,2.35,2.87,3.71,4.38,4.86,5.51,0.96
Output Sequence Length (tokens),255.98,255.00,257.00,40957.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.18
Output Token Count (tokens),46.00,46.00,46.00,46.00,46.00,46.00,46.00,46.00,46.00,46.00,46.00,46.00,46.00,0.00
Output Token Throughput Per User (tokens/sec/user),360.44,176.89,672.98,57669.77,181.59,205.96,228.31,269.63,348.63,426.08,518.35,571.80,664.32,113.67
Prefill Throughput Per User (tokens/sec/user),684.86,194.09,1561.39,109577.34,231.53,298.06,342.87,457.44,596.19,864.70,1132.69,1275.90,1495.41,308.06
Reasoning Token Count (tokens),255.69,209.00,257.00,40911.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,3.71
Request Latency (ms),874.82,480.11,1572.70,139971.68,491.78,541.37,578.54,696.92,820.34,1029.45,1208.42,1316.90,1494.43,245.57
Time to First Output Token (ms),963.82,963.82,963.82,963.82,963.82,963.82,963.82,963.82,963.82,963.82,963.82,963.82,963.82,0.00
Time to First Token (ms),94.63,70.81,168.47,15141.37,71.52,73.98,74.56,76.34,79.55,119.45,125.51,131.30,166.95,24.79
Time to Second Token (ms),17.01,7.82,59.49,2722.18,9.10,9.65,9.88,10.24,10.72,11.28,54.37,55.53,58.67,15.71
Tokens In Flight (tokens),1381.39,0.00,2156.96,,,,,,1397.70,,1720.38,1778.64,1939.98,279.66

Metric,Value
Benchmark Duration (sec),17.72
Input Token Throughput (tokens/sec),550.45
Output Token Throughput (tokens/sec),2311.56
Request Count,160.00
Request Throughput (requests/sec),9.03
Total Input Sequence Length (tokens),9753.00
Total Output Sequence Length (tokens),40957.00
Total Output Tokens (tokens),46.00
Total Reasoning Tokens (tokens),40911.00
Total Token Throughput (tokens/sec),2862.01
