Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2571.86,225.00,7085.65,,,,,,2949.60,,4460.29,4872.00,5002.87,1627.13
Active Decode Throughput Per User (tokens/sec/user),377.17,55.91,1927.85,,,,,,463.88,,589.34,610.93,641.34,213.52
Active Prefill Throughput (tokens/sec),1397.44,439.63,3187.76,,,,,,1150.38,,3187.76,3187.76,3187.76,902.55
Active Prefill Throughput Per User (tokens/sec/user),761.50,362.87,1167.44,,,,,,797.49,,1167.44,1167.44,1167.44,265.90
Active Total Throughput (tokens/sec),2987.38,439.63,4238.83,,,,,,3181.08,,3654.05,3654.05,4238.83,686.57
Credit-to-Start Latency (ms),1.08,0.83,1.37,17.26,0.84,0.86,0.90,0.96,1.13,1.17,1.21,1.25,1.34,0.14
Decode Duration (ms),674.33,311.52,1029.47,10789.34,324.40,375.90,410.16,502.88,648.52,902.78,941.16,976.84,1018.94,220.59
E2E Output Token Throughput (tokens/sec/user),354.12,217.09,554.86,5665.98,220.32,233.22,238.61,253.34,335.46,421.23,508.95,530.15,549.92,108.48
Effective Concurrency,7.37,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.58
Effective Decode Concurrency,6.28,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,2.42
Effective Decode Throughput (tokens/sec),2373.91,0.00,7085.65,,,,,,2822.32,,4366.68,4872.00,5002.87,1706.95
Effective Decode Throughput Per User (tokens/sec/user),348.14,0.00,1927.85,,,,,,443.29,,581.53,609.91,641.34,228.45
Effective Latency (CO-aware) (ms),792.87,462.55,1180.38,12685.85,466.90,484.28,504.32,612.39,764.28,1011.92,1074.14,1100.72,1164.45,231.27
Effective Prefill Concurrency,1.09,0.00,8.00,,,,,,0.00,,2.00,8.00,8.00,2.17
Effective Prefill Throughput (tokens/sec),608.61,0.00,3187.76,,,,,,0.00,,1212.93,3187.76,3187.76,913.71
Effective Prefill Throughput Per User (tokens/sec/user),331.65,0.00,1167.44,,,,,,0.00,,1150.38,1167.44,1167.44,416.36
Effective Total Throughput (tokens/sec),2982.52,0.00,4238.83,,,,,,3181.08,,3654.05,3654.05,4238.83,696.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.06,31.00,66.00,769.00,31.15,31.75,32.50,36.25,49.50,58.25,62.00,63.00,65.40,11.64
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.83,0.00,1.88,13.23,0.00,0.00,0.00,0.00,0.73,1.65,1.77,1.80,1.86,0.83
HTTP Connection Overhead (ms),0.83,0.00,1.88,13.23,0.00,0.00,0.00,0.00,0.73,1.65,1.77,1.80,1.86,0.83
HTTP Connection Reused (ratio),0.50,0.00,1.00,8.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),12.20,8.30,16.45,195.24,8.33,8.44,8.62,9.39,12.54,14.57,15.40,15.67,16.29,2.70
HTTP Data Sent (KB),0.38,0.24,0.59,6.13,0.24,0.25,0.28,0.33,0.37,0.41,0.53,0.55,0.58,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),791.65,461.19,1179.07,12666.45,465.58,483.12,503.26,611.19,763.16,1010.91,1072.65,1099.31,1163.12,231.19
HTTP Receiving (ms),674.36,311.57,1029.51,10789.69,324.44,375.91,410.17,502.90,648.55,902.79,941.19,976.86,1018.98,220.59
HTTP Sending (ms),1.13,0.19,2.30,18.06,0.19,0.19,0.19,0.20,1.04,2.02,2.21,2.29,2.29,0.94
HTTP Total Time (ms),792.48,462.96,1180.71,12679.68,467.08,483.56,503.26,611.19,764.01,1010.91,1074.29,1100.94,1164.76,231.51
HTTP Waiting (TTFB) (ms),116.17,75.69,147.74,1858.70,76.22,78.34,80.85,88.67,114.40,147.57,147.72,147.74,147.74,29.80
Input Sequence Length (tokens),65.38,28.00,113.00,1046.00,29.35,34.75,39.50,55.50,62.00,69.50,101.00,107.75,111.95,22.32
Inter Chunk Latency (ms),14.33,3.23,80.91,10789.34,5.94,9.73,10.06,10.35,10.71,11.23,14.50,59.00,64.22,13.17
Inter Token Latency (ms),2.64,1.22,4.04,42.31,1.27,1.47,1.61,1.97,2.54,3.54,3.69,3.83,4.00,0.87
Output Sequence Length (tokens),256.00,256.00,256.00,4096.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),427.20,247.70,818.57,6835.12,250.42,261.29,271.04,282.51,393.76,509.03,622.31,685.94,792.04,158.29
Prefill Throughput Per User (tokens/sec/user),613.02,186.96,1167.44,9808.38,200.96,256.93,283.19,388.66,593.92,802.15,1009.12,1154.65,1164.88,286.29
Reasoning Token Count (tokens),256.00,256.00,256.00,4096.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Request Latency (ms),791.79,461.38,1179.23,12668.59,465.75,483.22,503.33,611.26,763.28,1010.98,1072.87,1099.51,1163.29,231.22
Time to First Token (ms),117.45,75.97,150.13,1879.25,76.50,78.62,81.13,88.96,115.61,149.80,149.96,150.05,150.11,30.78
Time to Second Token (ms),13.81,9.22,59.21,220.91,9.22,9.22,9.27,9.38,10.39,11.17,15.94,30.26,53.42,12.02
Tokens In Flight (tokens),1294.51,0.00,2046.34,,,,,,1377.96,,1832.62,1863.77,1976.09,440.45

Metric,Value
Benchmark Duration (sec),1.72
Input Token Throughput (tokens/sec),608.61
