Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2284.99,0.00,6058.94,,,,,,2572.14,,3428.53,3574.16,3881.42,956.73
Active Decode Throughput Per User (tokens/sec/user),156.89,0.00,1299.63,,,,,,177.27,,220.55,231.79,277.82,76.94
Active Prefill Throughput (tokens/sec),813.90,183.01,6089.91,,,,,,676.38,,1382.14,1544.92,2239.78,601.30
Active Prefill Throughput Per User (tokens/sec/user),482.40,183.01,1228.32,,,,,,447.55,,721.24,832.02,1086.89,173.40
Active Total Throughput (tokens/sec),2817.41,341.72,6089.91,,,,,,2745.86,,3393.85,3616.66,4082.78,473.73
Credit-to-Start Latency (ms),0.84,0.60,1.80,269.55,0.62,0.66,0.69,0.74,0.82,0.92,1.02,1.09,1.35,0.15
Decode Duration (ms),1642.82,573.22,3765.28,525703.63,846.92,992.40,1087.79,1301.96,1509.16,1951.21,2391.44,2596.85,3059.13,507.99
E2E Output Token Throughput (tokens/sec/user),155.60,65.96,354.36,49791.55,80.53,94.66,101.08,122.13,156.59,178.51,213.09,227.11,256.21,42.54
Effective Concurrency,15.84,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,1.28
Effective Decode Concurrency,14.66,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,1.84
Effective Decode Throughput (tokens/sec),2275.94,0.00,6058.94,,,,,,2555.93,,3428.53,3574.16,3881.42,965.56
Effective Decode Throughput Per User (tokens/sec/user),156.27,0.00,1299.63,,,,,,177.19,,220.50,231.79,277.82,77.42
Effective Latency (CO-aware) (ms),1775.28,723.38,3881.97,568088.84,1000.06,1128.07,1202.24,1435.40,1635.60,2096.88,2536.97,2704.83,3179.70,506.66
Effective Prefill Concurrency,1.17,0.00,16.00,,,,,,1.00,,2.00,3.00,4.00,1.45
Effective Prefill Throughput (tokens/sec),541.27,0.00,6089.91,,,,,,454.84,,1247.98,1450.88,2153.99,622.91
Effective Prefill Throughput Per User (tokens/sec/user),320.81,0.00,1228.32,,,,,,356.27,,655.36,766.58,1065.70,268.02
Effective Total Throughput (tokens/sec),2817.21,0.00,6089.91,,,,,,2745.86,,3393.85,3616.66,4082.78,474.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.86,26.00,109.00,15634.00,29.00,30.00,33.00,39.00,45.00,57.25,70.00,75.05,87.81,14.22
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.39,6.95,26.29,3964.27,7.71,8.04,8.72,10.07,11.51,14.38,17.32,18.45,21.41,3.30
HTTP Data Sent (KB),0.33,0.17,0.70,105.68,0.19,0.21,0.23,0.26,0.31,0.39,0.45,0.50,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1774.36,722.34,3881.08,567794.34,999.11,1127.12,1201.28,1433.99,1634.75,2096.05,2536.20,2703.93,3178.87,506.67
HTTP Receiving (ms),1642.83,573.23,3765.29,525706.08,846.93,992.42,1087.81,1301.97,1509.17,1951.22,2391.45,2596.86,3059.14,507.99
HTTP Sending (ms),0.16,0.12,0.29,50.59,0.12,0.13,0.13,0.14,0.15,0.17,0.19,0.19,0.22,0.02
HTTP Total Time (ms),1774.36,722.34,3881.08,567794.34,999.11,1127.12,1201.28,1433.99,1634.75,2096.05,2536.20,2703.93,3178.87,506.67
HTTP Waiting (TTFB) (ms),131.37,100.85,190.38,42037.67,102.66,104.83,106.62,111.06,123.87,147.61,167.98,173.18,188.50,23.11
Input Sequence Length (tokens),60.64,24.00,134.00,19406.00,27.19,32.00,36.90,43.75,56.00,75.25,92.00,101.00,124.62,22.18
Inter Chunk Latency (ms),34.33,6.35,122.13,525703.63,22.38,24.21,24.61,25.49,26.76,34.99,59.87,62.04,66.63,14.94
Inter Token Latency (ms),6.44,2.25,14.77,2061.64,3.32,3.89,4.27,5.11,5.92,7.65,9.38,10.19,12.00,1.99
Output Sequence Length (tokens),255.99,255.00,257.00,81918.00,255.19,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Output Token Throughput Per User (tokens/sec/user),169.89,67.72,444.85,54363.99,83.36,98.18,106.63,130.69,168.97,195.86,234.43,256.95,301.18,52.07
Prefill Throughput Per User (tokens/sec/user),473.66,165.59,1228.32,151570.53,186.26,227.34,260.83,338.47,431.80,577.29,717.84,832.36,1086.89,190.65
Reasoning Token Count (tokens),255.99,255.00,257.00,81918.00,255.19,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Request Latency (ms),1774.44,722.42,3881.16,567819.29,999.20,1127.19,1201.37,1434.10,1634.83,2096.12,2536.27,2704.01,3178.94,506.67
Time to First Token (ms),131.61,101.07,190.70,42115.66,102.92,105.07,106.87,111.31,124.12,147.85,168.26,173.43,188.76,23.11
Time to Second Token (ms),35.45,23.33,69.46,11343.30,23.50,24.35,24.64,25.49,27.12,55.43,60.32,61.94,65.15,14.83
Tokens In Flight (tokens),2824.57,0.00,4026.48,,,,,,2841.18,,3325.78,3444.09,3689.49,441.51

Metric,Value
Benchmark Duration (sec),35.85
Input Token Throughput (tokens/sec),541.27
Output Token Throughput (tokens/sec),2284.86
Request Count,320.00
Request Throughput (requests/sec),8.93
Total Input Sequence Length (tokens),19406.00
Total Output Sequence Length (tokens),81918.00
Total Reasoning Tokens (tokens),81918.00
Total Token Throughput (tokens/sec),2826.13
