Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3514.04,141.32,7101.38,,,,,,2747.70,,6206.62,6540.09,6856.06,1838.73
Active Decode Throughput Per User (tokens/sec/user),145.22,65.21,792.06,,,,,,144.92,,203.01,213.40,552.11,79.98
Active Prefill Throughput (tokens/sec),1862.82,88.93,6190.52,,,,,,1058.93,,6190.52,6190.52,6190.52,1903.23
Active Prefill Throughput Per User (tokens/sec/user),388.43,88.93,763.06,,,,,,351.17,,657.76,763.06,763.06,169.37
Active Total Throughput (tokens/sec),4121.75,88.93,6190.52,,,,,,4455.91,,5746.72,6190.52,6190.52,1551.59
Credit-to-Start Latency (ms),1.06,0.69,1.60,67.63,0.70,0.77,0.82,0.94,1.03,1.18,1.31,1.37,1.49,0.19
Decode Duration (ms),1850.03,1040.78,3408.57,118402.19,1040.81,1154.16,1212.18,1469.35,1801.86,2160.00,2407.12,2865.70,3198.56,509.31
E2E Output Token Throughput (tokens/sec/user),128.65,68.77,188.91,8233.83,73.03,82.83,95.11,107.86,129.84,146.24,169.75,174.33,188.91,28.18
Effective Concurrency,27.27,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,8.40
Effective Decode Concurrency,24.08,0.00,32.00,,,,,,29.00,,32.00,32.00,32.00,10.04
Effective Decode Throughput (tokens/sec),3318.74,0.00,7101.38,,,,,,2417.72,,6188.63,6540.09,6856.06,1959.89
Effective Decode Throughput Per User (tokens/sec/user),137.15,0.00,792.06,,,,,,140.70,,202.67,213.40,549.49,84.55
Effective Latency (CO-aware) (ms),2096.22,1356.18,3723.55,134158.32,1356.26,1469.53,1509.18,1749.92,1972.64,2374.76,2693.82,3093.23,3513.74,501.10
Effective Prefill Concurrency,3.19,0.00,32.00,,,,,,0.00,,7.00,32.00,32.00,7.76
Effective Prefill Throughput (tokens/sec),800.66,0.00,6190.52,,,,,,0.00,,2107.01,6190.52,6190.52,1551.55
Effective Prefill Throughput Per User (tokens/sec/user),166.95,0.00,763.06,,,,,,0.00,,527.39,642.54,763.06,222.05
Effective Total Throughput (tokens/sec),4119.40,0.00,6190.52,,,,,,4455.91,,5746.72,6190.52,6190.52,1554.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,49.88,34.00,86.00,3192.00,34.63,35.15,37.00,40.00,46.00,56.25,69.70,76.85,82.22,12.77
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
